Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9590585,2017-06-07,Akademiske yrker,Filialbestyrer ved Vikna folkebibliotek avd Austafjord ,"['filialbestyr', 'vikn', 'folkebibliotek', 'avd', 'austafjord']",0
9590653,2017-06-07,Akademiske yrker,DPSet har tre allmennpoliklinikker og et team for gruppebehandling team for traumatiserte flyktninger og en regional poliklinikk for hørsel og psykisk helse som er samorganisert med allmennpoliklinikkene ,"['dpset', 'tre', 'allmennpoliklinikk', 'team', 'gruppebehandling', 'team', 'traumatiser', 'flyktning', 'regional', 'poliklinikk', 'hørsel', 'psykisk', 'hels', 'samorganiser', 'allmennpoliklinikk']",0
9590653,2017-06-07,Akademiske yrker,En enhet for behandling av spiseforstyrrelser og en Døgnenheten med plasser fordelt på akutt korttidsseksjon og en allmennseksjon ,"['enh', 'behandling', 'spiseforstyrr', 'døgnen', 'plass', 'fordelt', 'akutt', 'korttidsseksjon', 'allmennseksjon']",0
9590653,2017-06-07,Akademiske yrker,DPSet har flere ambulante team ART ambulant ressursteam ACT aktivt oppsøkende behandlingsteam AAT ambulant akutteam og samt team for tidlig avklaring ,"['dpset', 'fler', 'ambulant', 'team', 'art', 'ambulant', 'ressursteam', 'act', 'aktiv', 'oppsøk', 'behandlingsteam', 'aat', 'ambulant', 'akutteam', 'samt', 'team', 'tid', 'avklaring']",0
9590653,2017-06-07,Akademiske yrker,Psykolog psykologspesialist søkes til nytt poliklinisk team for rask og tidlig avklaring ved Tiller DPS ,"['psykolog', 'psykologspesialist', 'søk', 'nytt', 'poliklinisk', 'team', 'rask', 'tid', 'avklaring', 'till', 'dps']",0
9590653,2017-06-07,Akademiske yrker,Fast stilling ledig for psykolog psykologspesialist fra august ,"['fast', 'stilling', 'led', 'psykolog', 'psykologspesialist', 'august']",0
9590653,2017-06-07,Akademiske yrker,Formålet med en rask avklaring er å gi riktig helsehjelp og unngå unødig ventetid ,"['formål', 'rask', 'avklaring', 'gi', 'rikt', 'helsehjelp', 'unngå', 'unød', 'ventetid']",0
9590653,2017-06-07,Akademiske yrker,Arbeidsmetoden er basert på teamarbeid og utstrakt samarbeid både med andre enheter internt i egen avdeling og eksternt som fastlege og NAV mm ,"['arbeidsmetod', 'baser', 'teamarbeid', 'utstrakt', 'samarbeid', 'båd', 'andr', 'enhet', 'internt', 'egen', 'avdeling', 'eksternt', 'fast', 'nav', 'mm']",0
9590653,2017-06-07,Akademiske yrker,Teamet ble etablert som eget team i mai i år og er fortsatt under utvikling både ift funksjon og antall ansatte i teamet ,"['team', 'etabler', 'eget', 'team', 'mai', 'år', 'fortsatt', 'und', 'utvikling', 'båd', 'ift', 'funksjon', 'antall', 'ansatt', 'team']",0
9590653,2017-06-07,Akademiske yrker,Psykolog psykologspesialist ,"['psykolog', 'psykologspesialist']",0
9590653,2017-06-07,Akademiske yrker,Mulighet for forskning ,"['mul', 'forskning']",0
9590653,2017-06-07,Akademiske yrker,og fagutvikling ,['fagutvikling'],0
9590653,2017-06-07,Akademiske yrker,Utfordrende og spennende arbeidsoppgaver og et godt arbeidsmiljø ,"['utfordr', 'spenn', 'arbeidsoppgav', 'godt', 'arbeidsmiljø']",0
9590653,2017-06-07,Akademiske yrker,Stillingen lønnes etter gjeldende regler avhengig av kvalifikasjoner ,"['stilling', 'lønn', 'gjeld', 'regl', 'avheng', 'kvalifikasjon']",0
9590653,2017-06-07,Akademiske yrker,Velkommen som søker til utfordrende og spennende arbeidsoppgaver ,"['velkomm', 'søk', 'utfordr', 'spenn', 'arbeidsoppgav']",0
9590653,2017-06-07,Akademiske yrker,Kontaktinformasjon ,['kontaktinformasjon'],0
9590653,2017-06-07,Akademiske yrker, Overlege seksjonsleder AAT ,"['seksjonsled', 'aat']",0
9590653,2017-06-07,Akademiske yrker, Avd ,['avd'],0
9590653,2017-06-07,Akademiske yrker,Tiller ,['till'],0
9590653,2017-06-07,Akademiske yrker,Nøkkelinformasjon ,['nøkkelinformasjon'],0
9590653,2017-06-07,Akademiske yrker,Ref ,['ref'],0
9590653,2017-06-07,Akademiske yrker,nr ,['nr'],0
