Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9580503,2017-05-19,Barne- og ungdomsarbeid,Barne ,['barn'],0
9650514,2017-10-11,Barne- og ungdomsarbeid,Det er nå ledig inntil fast assistent barne ,"['led', 'inntil', 'fast', 'assistent', 'barn']",0
9650514,2017-10-11,Barne- og ungdomsarbeid,og ungdomsarbeider inntil fast Mære skole ,"['ungdomsarbeid', 'inntil', 'fast', 'mær', 'skol']",0
9650514,2017-10-11,Barne- og ungdomsarbeid, Assistent barne ,"['assistent', 'barn']",0
9650514,2017-10-11,Barne- og ungdomsarbeid,Idnr ,['idnr'],0
9664071,2017-11-03,Barne- og ungdomsarbeid,For elektronisk søknadsskjema ,"['elektronisk', 'søknadsskjem']",0
9664071,2017-11-03,Barne- og ungdomsarbeid,nr ,['nr'],0
9664071,2017-11-03,Barne- og ungdomsarbeid,Ref ,['ref'],0
9664071,2017-11-03,Barne- og ungdomsarbeid,Nøkkelinformasjon ,['nøkkelinformasjon'],0
9664071,2017-11-03,Barne- og ungdomsarbeid,Revsnes ,['revsn'],0
9664071,2017-11-03,Barne- og ungdomsarbeid, Pedagogisk leder ,"['pedagogisk', 'led']",0
9664071,2017-11-03,Barne- og ungdomsarbeid, Rektor ,['rektor'],0
9664071,2017-11-03,Barne- og ungdomsarbeid,Kontaktinformasjon ,['kontaktinformasjon'],0
9650514,2017-10-11,Barne- og ungdomsarbeid,og ungdomsarbeiderstilling ,['ungdomsarbeiderstilling'],0
9664071,2017-11-03,Barne- og ungdomsarbeid,og avtaleverk ,['avtaleverk'],0
9664071,2017-11-03,Barne- og ungdomsarbeid,Lønns ,['lønn'],0
9664071,2017-11-03,Barne- og ungdomsarbeid,Motivasjon for å bidra til barns utvikling ,"['motivasjon', 'bidr', 'barn', 'utvikling']",0
9664071,2017-11-03,Barne- og ungdomsarbeid,Stillingen er i barnehagen ,"['stilling', 'barnehag']",0
9664071,2017-11-03,Barne- og ungdomsarbeid,Det skjer i barnehagen og skolens kantine ,"['skjer', 'barnehag', 'skol', 'kantin']",0
9664071,2017-11-03,Barne- og ungdomsarbeid,I tillegg serveres barna varmlunsj daglig ,"['tillegg', 'server', 'barn', 'varmlunsj', 'dag']",0
9664071,2017-11-03,Barne- og ungdomsarbeid,Omgivelsene er svært idylliske med skog fjell og hav i nærheten ,"['omgiv', 'svært', 'idyllisk', 'skog', 'fjell', 'hav', 'nær']",0
9664071,2017-11-03,Barne- og ungdomsarbeid,og skolehverdagen unik ,"['skolehverdag', 'unik']",0
9664071,2017-11-03,Barne- og ungdomsarbeid,Oppvekstsenterets beliggenhet i Stokksund gjør barnehage ,"['oppvekstsenter', 'beliggen', 'stokksund', 'gjør', 'barnehag']",0
