Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9863444,2018-08-23,Butikk- og salgsarbeid,og generell kompetanse ,"['generell', 'kompetans']",0
9868306,2018-08-30,Butikk- og salgsarbeid,uansett stilling ,"['uansett', 'stilling']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Dette er avgjørende for alle ,"['dett', 'avgjør', 'all']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Man må være trygg for å gjøre en god jobb ,"['må', 'vær', 'trygg', 'gjør', 'god', 'jobb']",0
9868306,2018-08-30,Butikk- og salgsarbeid,I POWER har vi et utrykk som vi kaller ,"['pow', 'utrykk', 'kall']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Fantastisk ,['fantastisk'],0
9868306,2018-08-30,Butikk- og salgsarbeid,Ja ,[],0
9868306,2018-08-30,Butikk- og salgsarbeid,Det er helt sant og noe vi skal bevise i årene som kommer ,"['helt', 'sant', 'bevis', 'åren', 'komm']",0
9868306,2018-08-30,Butikk- og salgsarbeid,For her i POWER har vi alltid brukt for dyktige medarbeidere ,"['pow', 'alltid', 'brukt', 'dykt', 'medarbeider']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Uansett situasjon lavsesong høysesong eller finanskrise ,"['uansett', 'situasjon', 'lavsesong', 'høysesong', 'ell', 'finanskris']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Alle våre medarbeidere skal ha en mulighet til utvikling som passer seg og sine ambisjoner men som også dekker POWER sine mål om å prestere best i bransjen ,"['all', 'medarbeider', 'mul', 'utvikling', 'pass', 'ambisjon', 'dekk', 'pow', 'mål', 'prester', 'best', 'bransj']",0
9868306,2018-08-30,Butikk- og salgsarbeid,I POWER ønsker vi at du først skal bli den beste utgaven av deg selv akkurat der du er nå ,"['pow', 'ønsk', 'først', 'best', 'utgav', 'akkurat']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Du skal bli en Champion ,['champion'],0
9868306,2018-08-30,Butikk- og salgsarbeid,Du vet hva du gjør for å forsikre deg om at salget eller jobben blir skikkelig utført ,"['vet', 'gjør', 'forsikr', 'salg', 'ell', 'jobb', 'skikk', 'utført']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Du setter deg inn i kundens behov og ønske ,"['sett', 'kund', 'behov', 'ønsk']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Du beholder roen i til tider stressende og utfordrende situasjoner ,"['behold', 'roen', 'tid', 'stress', 'utfordr', 'situasjon']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Vi vet at det er avgjørende for alle medarbeidere ,"['vet', 'avgjør', 'all', 'medarbeider']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Du lærer av dine feil ,"['lær', 'feil']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Hos oss handler det om å bli sett men også om å få andre til å se deg ,"['hos', 'handl', 'sett', 'få', 'andr', 'se']",0
9868306,2018-08-30,Butikk- og salgsarbeid,POWER ,['pow'],0
9780420,2018-04-20,Butikk- og salgsarbeid,Du er mer interessert i moter og trender enn de fleste ,"['mer', 'interesser', 'trend', 'flest']",0
9780420,2018-04-20,Butikk- og salgsarbeid,Du er til å stole på og du er over år og kan jobbe på dagtid kveldstid og i helger ,"['stol', 'år', 'jobb', 'dagtid', 'kveldstid', 'helg']",0
9780420,2018-04-20,Butikk- og salgsarbeid,Vi tilbyr ,['tilbyr'],0
9780420,2018-04-20,Butikk- og salgsarbeid,En stilling for deg som ønsker å jobbe med salg av klær ,"['stilling', 'ønsk', 'jobb', 'salg', 'klær']",0
9780420,2018-04-20,Butikk- og salgsarbeid,En stilling for deg som ønsker å bidra med økte resultater gjennom god kundeservice ,"['stilling', 'ønsk', 'bidr', 'økt', 'resultat', 'gjennom', 'god', 'kundeservic']",0
9780420,2018-04-20,Butikk- og salgsarbeid,En stilling i et hektisk miljø der vi mottar ukentlige nyheter i butikk ,"['stilling', 'hektisk', 'miljø', 'mott', 'ukent', 'nyhet', 'butikk']",0
9780420,2018-04-20,Butikk- og salgsarbeid,En stilling i en bedrift med fokus på moteklær til den voksne damen ,"['stilling', 'bedrift', 'fokus', 'moteklær', 'voksn', 'dam']",0
9868306,2018-08-30,Butikk- og salgsarbeid,I POWER ønsker vi alltid å ligge ett steg foran fordi vi vet at smarte effektive løsninger holder prisene lave samtidig som det gir den beste handleopplevelsen for kundene ,"['pow', 'ønsk', 'alltid', 'ligg', 'steg', 'foran', 'vet', 'smart', 'effektiv', 'løsning', 'hold', 'pris', 'lav', 'samtid', 'gir', 'best', 'handleopplev', 'kund']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Å jobbe i POWER betyr å ta del i kulturen som består av MOT GLEDE og BEGEISTRING ,"['jobb', 'pow', 'betyr', 'ta', 'del', 'kultur', 'består', 'gled', 'begeistring']",0
9868306,2018-08-30,Butikk- og salgsarbeid,En POWER ,['pow'],0
9868306,2018-08-30,Butikk- og salgsarbeid,medarbeider har MOT til å gå foran kan GLEDE seg over kollegaenes suksess og BEGEISTRE kundene med kunnskap om teknologi ,"['medarbeid', 'gå', 'foran', 'gled', 'kollega', 'suksess', 'begeistr', 'kund', 'kunnskap', 'teknologi']",0
9868306,2018-08-30,Butikk- og salgsarbeid,POWER Norge er et selskap eid av POWER International ,"['pow', 'norg', 'selskap', 'eid', 'pow', 'international']",0
9868306,2018-08-30,Butikk- og salgsarbeid,POWER International eies av AWILHELMSEN AS og ,"['pow', 'international', 'eies', 'awilhelms', 'as']",0
9868306,2018-08-30,Butikk- og salgsarbeid,AS ved ,['as'],0
9868306,2018-08-30,Butikk- og salgsarbeid,Det norskeide konsernet driver også POWER i Danmark Finland og Sverige ,"['norskeid', 'konsern', 'driv', 'pow', 'danmark', 'finland', 'sver']",0
9868306,2018-08-30,Butikk- og salgsarbeid,søker engasjert selger med MOT GLEDE og BEGEISTRING ,"['søk', 'engasjer', 'selg', 'gled', 'begeistring']",0
9868306,2018-08-30,Butikk- og salgsarbeid,for alle gjør feil ,"['all', 'gjør', 'feil']",0
9868306,2018-08-30,Butikk- og salgsarbeid,Søknadsfrist ,['søknadsfrist'],0
9813728,2018-06-01,Butikk- og salgsarbeid,Til vår avdeling i Lofoten søker vi etter en energisk vikar tilkallingsvikar ,"['avdeling', 'lofot', 'søk', 'energisk', 'vik', 'tilkallingsvik']",0
9829961,2018-06-22,Butikk- og salgsarbeid,Vi tilbyr et godt arbeidsmiljø i moderne lokaler i Bodø sentrum hvor innovasjon og endring er en del av kulturen ,"['tilbyr', 'godt', 'arbeidsmiljø', 'modern', 'lokal', 'bodø', 'sentrum', 'innovasjon', 'endring', 'del', 'kultur']",0
9829961,2018-06-22,Butikk- og salgsarbeid,Gode muligheter for faglig og personlig utvikling ,"['god', 'mul', 'fag', 'person', 'utvikling']",0
9829961,2018-06-22,Butikk- og salgsarbeid,Konkurransedyktige betingelser felles bonusordning og gode forsikrings ,"['konkurransedykt', 'beting', 'fell', 'bonusordning', 'god', 'forsikring']",0
9829961,2018-06-22,Butikk- og salgsarbeid,og pensjonsordninger ,['pensjonsordning'],0
9829961,2018-06-22,Butikk- og salgsarbeid,Søknadsfrist ,['søknadsfrist'],0
9781693,2018-04-23,Butikk- og salgsarbeid,Er du en butikkleder med høyt resultatfokus ,"['butikkled', 'høyt', 'resultatfokus']",0
9781693,2018-04-23,Butikk- og salgsarbeid,Personalledelse utvikling og motivering av dine ansatte ,"['personalled', 'utvikling', 'motivering', 'ansatt']",0
9781693,2018-04-23,Butikk- og salgsarbeid,Er resultatfokusert og har stor arbeidskapasitet ,"['resultatfokuser', 'stor', 'arbeidskapasit']",0
9781693,2018-04-23,Butikk- og salgsarbeid,Har interesse for interiør design moter og trender ,"['interess', 'interiør', 'design', 'trend']",0
9781693,2018-04-23,Butikk- og salgsarbeid,En lederstilling med utviklingsmuligheter ,"['lederstilling', 'utviklingsmu']",0
9781693,2018-04-23,Butikk- og salgsarbeid,Karrieremuligheter hos en av de ledende aktørene innen interiør i norsk detaljhandel ,"['karrieremu', 'hos', 'led', 'aktør', 'interiør', 'norsk', 'detaljhandel']",0
9781693,2018-04-23,Butikk- og salgsarbeid,Konkurransedyktig lønn og bonusordning ,"['konkurransedykt', 'lønn', 'bonusordning']",0
9781693,2018-04-23,Butikk- og salgsarbeid,En spennende jobb med daglige utfordringer ,"['spenn', 'jobb', 'dag', 'utfordring']",0
9845235,2018-07-18,Butikk- og salgsarbeid,Jackog ,['jackog'],0
