Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9532051,2017-02-20,Butikk- og salgsarbeid,Vi opplever stor etterspørsel etter våre biler og tjenester og har behov for å styrke staben i Trondheim ytterligere ,"['opplev', 'stor', 'etterspørsel', 'bil', 'tjenest', 'behov', 'styrk', 'stab', 'trondheim', 'ytterliger']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Gode utviklingsmuligheter ,"['god', 'utviklingsmu']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Gode lønnsbetingelser ,"['god', 'lønnsbeting']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Spennende reiser ,"['spenn', 'reis']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Et inspirerende miljø ,"['inspirer', 'miljø']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Konkurranser med spennende premier ,"['konkurrans', 'spenn', 'premi']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Vi ser etter deg som ,['ser'],0
9562368,2017-04-18,Butikk- og salgsarbeid,Er over år ,['år'],0
9562368,2017-04-18,Butikk- og salgsarbeid,Har et mål om å tjene mye penger ,"['mål', 'tjen', 'mye', 'peng']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Ønsker å være en del av et fantastisk arbeidsmiljø ,"['ønsk', 'vær', 'del', 'fantastisk', 'arbeidsmiljø']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Ønsker en karriere innenfor salg og markedsføring ,"['ønsk', 'karrier', 'innenfor', 'salg', 'markedsføring']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Har ambisjoner om å bygge deg en god CV innen salg og ledelse ,"['ambisjon', 'bygg', 'god', 'cv', 'salg', 'led']",0
9562368,2017-04-18,Butikk- og salgsarbeid,For å søke stillingen kan du klikke deg inn på www ,"['søk', 'stilling', 'klikk', 'www']",0
9562368,2017-04-18,Butikk- og salgsarbeid,eRecruit ,['erecruit'],0
9562368,2017-04-18,Butikk- og salgsarbeid,no for å registere din CV ,"['register', 'cv']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Vi garanterer å svar innen timer ,"['garanter', 'svar', 'tim']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Kompetenskrav ,['kompetenskrav'],0
9562368,2017-04-18,Butikk- og salgsarbeid,Arbetsplats ort Norge ,"['arbetsplat', 'ort', 'norg']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Arbetstider omfattning Heltid ,"['arbetstid', 'omfattning', 'heltid']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Varaktighet Fast anställning ,"['varakt', 'fast', 'anställning']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Vi tilbyr deg ,['tilbyr'],0
9562368,2017-04-18,Butikk- og salgsarbeid,Anställningsform Fulltid dagtid kväll ,"['anställningsform', 'fulltid', 'dagtid', 'kväll']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Det vil være daglige møter på kontoret med salgstrening og ulike møter før man kjører ut for å jobbe ,"['vær', 'dag', 'møt', 'kontor', 'salgstrening', 'ulik', 'møt', 'kjør', 'jobb']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Selskapet er på utkikk etter deg som kan tenke deg å starte din karriere i salg eller som vil videre i din salgskarriere ,"['selskap', 'utkikk', 'tenk', 'start', 'karrier', 'salg', 'ell', 'vider', 'salgskarrier']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Søknad sendesPostboks Alnabru ,"['søknad', 'sendespostboks', 'alnabru']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Søknaden merkes ,"['søknad', 'merk']",0
9681190,2017-12-04,Butikk- og salgsarbeid,KontaktpersonHR Avdelingen ,"['kontaktpersonhr', 'avdeling']",0
9544900,2017-03-14,Butikk- og salgsarbeid,Vi søker deg som liker å arbeide med salg og som ønsker å gjøre det ytterste for våre kunder ,"['søk', 'lik', 'arbeid', 'salg', 'ønsk', 'gjør', 'ytterst', 'kund']",0
9544900,2017-03-14,Butikk- og salgsarbeid,Som ekstrahjelp kontakter vi deg ved sykdom ferie eller hvis det oppstår ekstra behov ,"['ekstrahjelp', 'kontakt', 'sykdom', 'feri', 'ell', 'oppstår', 'ekstr', 'behov']",0
9544900,2017-03-14,Butikk- og salgsarbeid,Du må derfor ha mulighet til å kunne kontaktes på kort varsel ,"['må', 'derfor', 'mul', 'kunn', 'kontakt', 'kort', 'varsel']",0
9544900,2017-03-14,Butikk- og salgsarbeid,Det forutsettes at du har følgende egenskaper og kvalifikasjoner ,"['forutsett', 'følg', 'egenskap', 'kvalifikasjon']",0
9544900,2017-03-14,Butikk- og salgsarbeid,gjennomført videregående skole med studiekompetanse ,"['gjennomført', 'videregå', 'skol', 'studiekompetans']",0
9544900,2017-03-14,Butikk- og salgsarbeid,er over år og kan arbeide både dag kveld og lørdager ,"['år', 'arbeid', 'båd', 'dag', 'kveld', 'lørdag']",0
9544900,2017-03-14,Butikk- og salgsarbeid,liker å arbeide i et hektisk og travelt miljø ,"['lik', 'arbeid', 'hektisk', 'travelt', 'miljø']",0
9544900,2017-03-14,Butikk- og salgsarbeid,Vi tilbyr en spennende arbeidsplass med gode utviklingsmuligheter og ordnede arbeidsforhold gode forsikringsordninger og gunstige personalrabatter ,"['tilbyr', 'spenn', 'arbeidsplass', 'god', 'utviklingsmu', 'ordn', 'arbeidsforhold', 'god', 'forsikringsordning', 'gunst', 'personalrabatt']",0
9544900,2017-03-14,Butikk- og salgsarbeid,Vil du vite mer om stillingen ta kontakt med butikksjef ,"['vit', 'mer', 'stilling', 'ta', 'kontakt', 'butikksjef']",0
9544900,2017-03-14,Butikk- og salgsarbeid,på telefon ,['telefon'],0
9544900,2017-03-14,Butikk- og salgsarbeid,Dersom du er interessert i stillingen bes du sende inn din søknad via søknadsportalen på denne siden ,"['dersom', 'interesser', 'stilling', 'bes', 'send', 'søknad', 'via', 'søknadsportal', 'denn', 'sid']",0
9544900,2017-03-14,Butikk- og salgsarbeid,Søknad uten attester og vitnemål vil ikke bli vurdert ,"['søknad', 'attest', 'vitnemål', 'ikk', 'vurder']",0
9544900,2017-03-14,Butikk- og salgsarbeid,Søknadsfrist snarest ,"['søknadsfrist', 'snarest']",0
9544900,2017-03-14,Butikk- og salgsarbeid,Tiltredelse etter avtale ,"['tiltred', 'avtal']",0
9544900,2017-03-14,Butikk- og salgsarbeid,Fullstendig informasjon og søk på stillingen via denne siden ,"['fullstend', 'informasjon', 'søk', 'stilling', 'via', 'denn', 'sid']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Vår kunde er et internasjonalt selskap innenfor sikkerhet som nå utvider sitt team ,"['kund', 'internasjonalt', 'selskap', 'innenfor', 'sikker', 'utvid', 'team']",0
9562368,2017-04-18,Butikk- og salgsarbeid,I denne stillingen jobber man i team med andre sikkerhetskonsulenter og en salgsleder ,"['denn', 'stilling', 'jobb', 'team', 'andr', 'sikkerhetskonsulent', 'salgsled']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Lön Fastlønn ,"['lön', 'fastlønn']",0
9562368,2017-04-18,Butikk- og salgsarbeid,provisjon ,['provisjon'],0
9562368,2017-04-18,Butikk- og salgsarbeid,Körkort Inget krav ,"['körkort', 'ing', 'krav']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Egenutvikling innen salg ,"['egenutvikling', 'salg']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Attraktiv oppdragsgiver ,"['attraktiv', 'oppdragsgiv']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Et spennende salgsmiljø ,"['spenn', 'salgsmiljø']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Gode karrieremuligheter ,"['god', 'karrieremu']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Ved spørsmål om stillingen ta kontakt med ,"['spørsmål', 'stilling', 'ta', 'kontakt']",0
9663766,2017-11-03,Butikk- og salgsarbeid,på tlf ,['tlf'],0
9663766,2017-11-03,Butikk- og salgsarbeid,Om du vil søke på stillingen gjør du dette via vår nettside www ,"['søk', 'stilling', 'gjør', 'dett', 'via', 'nettsid', 'www']",0
9663766,2017-11-03,Butikk- og salgsarbeid,personalhuset ,['personalhus'],0
9663766,2017-11-03,Butikk- og salgsarbeid,no ,[],0
9663766,2017-11-03,Butikk- og salgsarbeid,Følg oss på Facebook ,"['følg', 'facebook']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Personalhuset avd Trondheim ,"['personalhus', 'avd', 'trondheim']",0
9671464,2017-11-16,Butikk- og salgsarbeid,ManpowerGroup er Norges ledende bemanningsvirksomhet ,"['manpowergroup', 'norg', 'led', 'bemanningsvirksom']",0
9671464,2017-11-16,Butikk- og salgsarbeid,Vi tilbyr rekruttering til faste og midlertidige stillinger rådgivning kompetansekartlegging og outsourcing ,"['tilbyr', 'rekruttering', 'fast', 'midlertid', 'stilling', 'rådgivning', 'kompetansekartlegging', 'outsourcing']",0
9671464,2017-11-16,Butikk- og salgsarbeid,Manpower ,['manpow'],0
9671464,2017-11-16,Butikk- og salgsarbeid,Vi er et samfunnsansvarlig selskap og oppfordrer alle kvalifiserte kandidater til å søke ,"['samfunnsansvar', 'selskap', 'oppfordr', 'all', 'kvalifiser', 'kandidat', 'søk']",0
9671464,2017-11-16,Butikk- og salgsarbeid,Vi er over eksperter på salg og salgsfremming av varer ,"['ekspert', 'salg', 'salgsfremming']",0
9671464,2017-11-16,Butikk- og salgsarbeid,Våre ansatte har rask responstid gode relasjoner høy kompetanse på salg og salgsfremming ,"['ansatt', 'rask', 'responstid', 'god', 'relasjon', 'høy', 'kompetans', 'salg', 'salgsfremming']",0
9671464,2017-11-16,Butikk- og salgsarbeid,Dette sammen med gode systemer for kommunikasjon og kostnadskontroll ,"['dett', 'samm', 'god', 'system', 'kommunikasjon', 'kostnadskontroll']",0
9671464,2017-11-16,Butikk- og salgsarbeid,Dette gjør oss til en komplett leverandør av salgsfremmende tjenester ,"['dett', 'gjør', 'komplett', 'leverandør', 'salgsfremm', 'tjenest']",0
9663766,2017-11-03,Butikk- og salgsarbeid,God opplæring ,"['god', 'opplæring']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Fastlønn pluss provisjon pr salg ,"['fastlønn', 'pluss', 'provisjon', 'pr', 'salg']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Vi tilbyr ,['tilbyr'],0
9663766,2017-11-03,Butikk- og salgsarbeid,Lærenem og ha ønske om utvikling ,"['lærenem', 'ønsk', 'utvikling']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Startdatum Omedelbart ,"['startdatum', 'omedelbart']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Hur man söker sök via epost ,"['hur', 'söker', 'sök', 'via', 'epost']",0
9562368,2017-04-18,Butikk- og salgsarbeid,Sista ansökningsdag ,"['sist', 'ansökningsdag']",0
9575638,2017-05-10,Butikk- og salgsarbeid,Som medarbeider i vår kro må du kunne servere og selge mat betjene våre to kasser hvorav den ene butikk kiosk ,"['medarbeid', 'kro', 'må', 'kunn', 'server', 'selg', 'mat', 'betj', 'to', 'kass', 'hvorav', 'ene', 'butikk', 'kiosk']",0
9575638,2017-05-10,Butikk- og salgsarbeid,Varierte arbeidsoppgaver etter beskrivelse og opplæring i et hyggelig miljø ,"['varier', 'arbeidsoppgav', 'beskriv', 'opplæring', 'hygg', 'miljø']",0
9663766,2017-11-03,Butikk- og salgsarbeid,På grunn av økende oppdragsmengde fra våre kunder søker vi medarbeidere som er entusiastiske serviceinnstilte og hør høyt konkurranseinnstinkt ,"['grunn', 'økend', 'oppdragsmengd', 'kund', 'søk', 'medarbeider', 'entusiastisk', 'serviceinnstilt', 'hør', 'høyt', 'konkurranseinnstinkt']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Deltidsjobb ,['deltidsjobb'],0
9663766,2017-11-03,Butikk- og salgsarbeid,Har du ambisjoner innen salg ,"['ambisjon', 'salg']",0
9663766,2017-11-03,Butikk- og salgsarbeid,På grunn av økende oppdragsmengde søker vi nå etter personer som brenner for salg og mersalg ,"['grunn', 'økend', 'oppdragsmengd', 'søk', 'person', 'brenn', 'salg', 'mersalg']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Siste publiseringsdato ,"['sist', 'publiseringsdato']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Du vil få god opplæring og coaching av erfarne salgsledere ,"['få', 'god', 'opplæring', 'coaching', 'erfarn', 'salgsleder']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Kundebehandling Kundestøtte ,"['kundebehandling', 'kundestøtt']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Arbeidstid ,['arbeidstid'],0
9663766,2017-11-03,Butikk- og salgsarbeid,Kveldsteam jobber tirsdag til torsdag fra ,"['kveldsteam', 'jobb', 'tirsdag', 'torsdag']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Ønskede kvalifikasjoner ,"['ønsk', 'kvalifikasjon']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Du er en selger ,['selg'],0
9663766,2017-11-03,Butikk- og salgsarbeid,Har pågangsmot og interesse for å jobbe med salg ,"['pågangsmot', 'interess', 'jobb', 'salg']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Trives i et hektisk og målrettet miljø ,"['triv', 'hektisk', 'målrett', 'miljø']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Personlige egenskaper ,"['person', 'egenskap']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Trives i et hektisk arbeidsmijø ,"['triv', 'hektisk', 'arbeidsmijø']",0
9663766,2017-11-03,Butikk- og salgsarbeid,Arbeidsoppgaver ,['arbeidsoppgav'],0
9671464,2017-11-16,Butikk- og salgsarbeid,Våre kunder har flere av de sterkeste merkevarene i norsk dagligvare ,"['kund', 'fler', 'sterkest', 'merkevar', 'norsk', 'dagligvar']",0
9681190,2017-12-04,Butikk- og salgsarbeid,LønnLønn etter avtale ,"['lønnlønn', 'avtal']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Type stillingFast stilling Dagtid Heltid ,"['typ', 'stillingf', 'stilling', 'dagtid', 'heltid']",0
9619010,2017-08-14,Butikk- og salgsarbeid, medarbeidere og ,['medarbeider'],0
9619010,2017-08-14,Butikk- og salgsarbeid, butikker fordelt på land ,"['butikk', 'fordelt', 'land']",0
9619010,2017-08-14,Butikk- og salgsarbeid,Servicekontoret ligger på Slependen utenfor Oslo ,"['servicekontor', 'ligg', 'slepend', 'utenfor', 'oslo']",0
9619010,2017-08-14,Butikk- og salgsarbeid,Vi ønsker at våre kunder skal oppleve service kvalitet og utvalg til den beste prisen ,"['ønsk', 'kund', 'opplev', 'servic', 'kvalit', 'utvalg', 'best', 'pris']",0
9619010,2017-08-14,Butikk- og salgsarbeid,Vi er nøye i jakten på de rette personene og vi gir oss ikke før vi finner folk som ,"['nøye', 'jakt', 'rett', 'person', 'gir', 'ikk', 'finn', 'folk']",0
9619010,2017-08-14,Butikk- og salgsarbeid,SMILER ,['smil'],0
9619010,2017-08-14,Butikk- og salgsarbeid,vil ha det gøy på jobb ,"['gøy', 'jobb']",0
9619010,2017-08-14,Butikk- og salgsarbeid,byr på seg selv gir energi og sprer glede ,"['byr', 'gir', 'energi', 'sprer', 'gled']",0
9619010,2017-08-14,Butikk- og salgsarbeid,har humor og er uhøytydelige ,"['humor', 'uhøytyd']",0
9619010,2017-08-14,Butikk- og salgsarbeid,er fleksible og smidige ,"['fleksibl', 'smid']",0
9619010,2017-08-14,Butikk- og salgsarbeid,stiller krav og er interessert i å lære ,"['still', 'krav', 'interesser', 'lær']",0
9619010,2017-08-14,Butikk- og salgsarbeid,har konkurranseinstinkt og sterk vinnervilje ,"['konkurranseinstinkt', 'sterk', 'vinnervilj']",0
9619010,2017-08-14,Butikk- og salgsarbeid,Du er positiv og møter alle kunder med et stort smil ,"['positiv', 'møt', 'all', 'kund', 'stort', 'smil']",0
9619010,2017-08-14,Butikk- og salgsarbeid,Er dette noe for deg ,['dett'],0
9619010,2017-08-14,Butikk- og salgsarbeid,Da bør du søke stillingen ,"['bør', 'søk', 'stilling']",0
9619010,2017-08-14,Butikk- og salgsarbeid,Vi kan tilby deg en spennende og morsom hverdag med gode karrieremuligheter i Nordens største kleskjede for menn ,"['tilby', 'spenn', 'morsom', 'hverdag', 'god', 'karrieremu', 'nord', 'størst', 'kleskj', 'menn']",0
9593054,2017-06-12,Butikk- og salgsarbeid,Selger ved ,['selg'],0
9593054,2017-06-12,Butikk- og salgsarbeid,Vi trenger forsterkninger og søker selger i stilling i varm butikk ,"['treng', 'forsterkning', 'søk', 'selg', 'stilling', 'varm', 'butikk']",0
9593054,2017-06-12,Butikk- og salgsarbeid,Arbeidsoppgaver ,['arbeidsoppgav'],0
9619010,2017-08-14,Butikk- og salgsarbeid,DressmannXL er en del av Dressmann som igjen er en del av Varner som består av motekjeder med nærmere ,"['dressmannxl', 'del', 'dressmann', 'igj', 'del', 'varn', 'består', 'motekjed', 'nærmer']",0
9593054,2017-06-12,Butikk- og salgsarbeid,Salg av jernvare festemidler bekledning og andre nærliggende varegrupper ,"['salg', 'jernvar', 'festemidl', 'bekledning', 'andr', 'nærligg', 'varegrupp']",0
9619010,2017-08-14,Butikk- og salgsarbeid,DressmannXL tilbyr gode kvalitetsprodukter meget konkurransedyktige priser og god service ,"['dressmannxl', 'tilbyr', 'god', 'kvalitetsprodukt', 'konkurransedykt', 'pris', 'god', 'servic']",0
9619010,2017-08-14,Butikk- og salgsarbeid,dressmannxl ,['dressmannxl'],0
9627607,2017-08-30,Butikk- og salgsarbeid,Du brenner for å promotere produktene Apple tilbyr ,"['brenn', 'promoter', 'produkt', 'appl', 'tilbyr']",0
9627607,2017-08-30,Butikk- og salgsarbeid,Du har et sterkt øye for detaljer og setter din stolthet i å holde butikken representativ til enhver tid ,"['sterkt', 'øye', 'detalj', 'sett', 'stolt', 'hold', 'butikk', 'representativ', 'enhv', 'tid']",0
9627607,2017-08-30,Butikk- og salgsarbeid,Ekstraordinær serviceinnstilling ,"['ekstraordinær', 'serviceinnstilling']",0
9627607,2017-08-30,Butikk- og salgsarbeid,God til å tekniske spesifikasjoner slik at kundene forstår budskapet ,"['god', 'teknisk', 'spesifikasjon', 'kund', 'forstår', 'budskap']",0
9627607,2017-08-30,Butikk- og salgsarbeid,Vi tilbyr ,['tilbyr'],0
9627607,2017-08-30,Butikk- og salgsarbeid,Muligheten til å markedsføre et av verdens største merkevarer ,"['mul', 'markedsfør', 'verd', 'størst', 'merkevar']",0
9627607,2017-08-30,Butikk- og salgsarbeid,En dynamisk hverdag som alltid byr på utfordringer og utvikling ,"['dynamisk', 'hverdag', 'alltid', 'byr', 'utfordring', 'utvikling']",0
9627607,2017-08-30,Butikk- og salgsarbeid,En jobb der du kan sette preg på din egen og andres hverdag ,"['jobb', 'sett', 'preg', 'egen', 'andr', 'hverdag']",0
9627607,2017-08-30,Butikk- og salgsarbeid,En mulighet til å gjøre en forskjell for andre mennesker ,"['mul', 'gjør', 'forskjell', 'andr', 'mennesk']",0
9627607,2017-08-30,Butikk- og salgsarbeid,God produktopplæring ,"['god', 'produktopplæring']",0
9627607,2017-08-30,Butikk- og salgsarbeid,Konkurransedyktig lønn og bonus ,"['konkurransedykt', 'lønn', 'bonus']",0
9627607,2017-08-30,Butikk- og salgsarbeid,Noe fleksibel arbeidstid men kvelder og helger må påregnes ,"['fleksibel', 'arbeidstid', 'kveld', 'helg', 'må', 'påregn']",0
9627607,2017-08-30,Butikk- og salgsarbeid,Åpningstider i butikken er ,"['åpningstid', 'butikk']",0
9627607,2017-08-30,Butikk- og salgsarbeid,Oppstart så snart vi finner den rette ,"['oppstart', 'snart', 'finn', 'rett']",0
9627607,2017-08-30,Butikk- og salgsarbeid,Søknader vil bli behandlet fortløpende ,"['søknad', 'behandl', 'fortløp']",0
9627607,2017-08-30,Butikk- og salgsarbeid,Velkommen med din søknad ,"['velkomm', 'søknad']",0
9619010,2017-08-14,Butikk- og salgsarbeid,DressmannXL er spesialbutikken med klær for store menn ,"['dressmannxl', 'spesialbutikk', 'klær', 'stor', 'menn']",0
9619010,2017-08-14,Butikk- og salgsarbeid,Siden etableringen i er det åpnet mer enn butikker i land ,"['sid', 'etablering', 'åpn', 'mer', 'butikk', 'land']",0
9619010,2017-08-14,Butikk- og salgsarbeid,DressmannXL tilbyr også handel på nettet via www ,"['dressmannxl', 'tilbyr', 'handel', 'nett', 'via', 'www']",0
9619010,2017-08-14,Butikk- og salgsarbeid,com ,['com'],0
9593054,2017-06-12,Butikk- og salgsarbeid,Bidra til at din avdeling fremstår som bransjens beste og mest attraktive ,"['bidr', 'avdeling', 'fremstår', 'bransj', 'best', 'mest', 'attraktiv']",0
9593054,2017-06-12,Butikk- og salgsarbeid,Du må være ,"['må', 'vær']",0
9593054,2017-06-12,Butikk- og salgsarbeid,Allsidig og sette pris på en hektisk hverdag ,"['allsid', 'sett', 'pris', 'hektisk', 'hverdag']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Lett for å komme i kontakt med andre mennesker ,"['lett', 'komm', 'kontakt', 'andr', 'mennesk']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Noe datakunnskap ,['datakunnskap'],0
9681190,2017-12-04,Butikk- og salgsarbeid, Krav ,['krav'],0
9681190,2017-12-04,Butikk- og salgsarbeid,Fortrinnsvis bosatt i nærheten av avdelingen ,"['fortrinnsvis', 'bosatt', 'nær', 'avdeling']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Hva tilbyr vi ,['tilbyr'],0
9681190,2017-12-04,Butikk- og salgsarbeid,Gode kollegaer ,"['god', 'kollega']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Ordnede arbeidsforhold ,"['ordn', 'arbeidsforhold']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Lønn i henhold til Butikksjefs skala og erfaring ,"['lønn', 'henhold', 'butikksjef', 'erfaring']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Ansattrabatter ,['ansattrabatt'],0
9681190,2017-12-04,Butikk- og salgsarbeid,Trivelige arbeidslokaler ,"['triv', 'arbeidslokal']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Klare retningslinjer ,"['klar', 'retningslinj']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Dersom du finner dette interessant så sender du en ,"['dersom', 'finn', 'dett', 'interessant', 'send']",0
9681190,2017-12-04,Butikk- og salgsarbeid,jobb ,['jobb'],0
9681190,2017-12-04,Butikk- og salgsarbeid,hvor du i emnefeltet skriver inn ,"['emnefelt', 'skriv']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Søknad butikksjef Tiller ,"['søknad', 'butikksjef', 'till']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Vedlegg CV og Søknad skal være i pdf eller word format ,"['vedlegg', 'cv', 'søknad', 'vær', 'pdf', 'ell', 'word', 'format']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Søknadsfrist ,['søknadsfrist'],0
9681190,2017-12-04,Butikk- og salgsarbeid,Vi behandler søknader fortløpende ,"['behandl', 'søknad', 'fortløp']",0
9681190,2017-12-04,Butikk- og salgsarbeid,ArbeidsstedTrondheim ,['arbeidsstedtrondheim'],0
9681190,2017-12-04,Butikk- og salgsarbeid,Ordensmenneske ,['ordensmennesk'],0
9681190,2017-12-04,Butikk- og salgsarbeid,Ledererfaring gjerne fra butikk ,"['ledererfaring', 'gjern', 'butikk']",0
9681190,2017-12-04,Butikk- og salgsarbeid,Hva ser vi etter ,['ser'],0
9681190,2017-12-04,Butikk- og salgsarbeid,Du må være villig til å jobbe annenhver lørdag og i åpningstidene våre ,"['må', 'vær', 'jobb', 'annenhv', 'lørdag', 'åpningstid']",0
9593054,2017-06-12,Butikk- og salgsarbeid,Fleksibel med tanke på arbeidstid ,"['fleksibel', 'tank', 'arbeidstid']",0
9593054,2017-06-12,Butikk- og salgsarbeid,For den rette tilbys konkurransedyktige betingelser i et hektisk og spennende system i konstant utvikling ,"['rett', 'tilby', 'konkurransedykt', 'beting', 'hektisk', 'spenn', 'system', 'konstant', 'utvikling']",0
