Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9664409,2017-11-06,Bygg og anlegg,Ryddige og seriøse lønns ,"['rydd', 'seriøs', 'lønn']",0
9583292,2017-05-24,Bygg og anlegg,Servicerørlegger ,['servicerørlegg'],0
9583292,2017-05-24,Bygg og anlegg,søker nå Servicerørlegger ,"['søk', 'servicerørlegg']",0
9599754,2017-06-23,Bygg og anlegg,Konkurransedyktige betingelser ,"['konkurransedykt', 'beting']",0
9599754,2017-06-23,Bygg og anlegg,Skikkelig arbeidsforhold ,"['skikk', 'arbeidsforhold']",0
9599754,2017-06-23,Bygg og anlegg,Godt miljø ,"['godt', 'miljø']",0
9599754,2017-06-23,Bygg og anlegg,Spennende prosjekter ,"['spenn', 'prosjekt']",0
9599754,2017-06-23,Bygg og anlegg,In ,['in'],0
9599754,2017-06-23,Bygg og anlegg,Kvalitet og resultatbevisst ,"['kvalit', 'resultatbevisst']",0
9599754,2017-06-23,Bygg og anlegg,Tegningsforståelse ,['tegningsforstå'],0
9599754,2017-06-23,Bygg og anlegg,Kvalifikasjoner ,['kvalifikasjon'],0
9599754,2017-06-23,Bygg og anlegg,Samarbeidsvillig ,['samarbeidsvil'],0
9599754,2017-06-23,Bygg og anlegg,Pliktoppfyllende ,['pliktoppfyll'],0
9599754,2017-06-23,Bygg og anlegg,Ærlig ,['ærl'],0
9583292,2017-05-24,Bygg og anlegg,i Caverion består av en felles prosjektorganisasjon og ulike serviceavdelinger i fylkene Hordaland Sogn og Fjordane Møre og Romsdal og Trøndelag ,"['caverion', 'består', 'fell', 'prosjektorganisasjon', 'ulik', 'serviceavdeling', 'fylk', 'hordaland', 'sogn', 'fjord', 'mør', 'romsdal', 'trøndelag']",0
9599754,2017-06-23,Bygg og anlegg,Personlige egenskaper ,"['person', 'egenskap']",0
9664486,2017-11-06,Bygg og anlegg,eller e post ,"['ell', 'e', 'post']",0
9664486,2017-11-06,Bygg og anlegg,Spørsmål og søknad til stillingen rettes til Rune B Johansen tlf ,"['spørsmål', 'søknad', 'stilling', 'rett', 'run', 'b', 'johans', 'tlf']",0
9664486,2017-11-06,Bygg og anlegg,og pensjonsordning ,['pensjonsordning'],0
9664486,2017-11-06,Bygg og anlegg,Servicebil gode lønnsbetingelser samt bonus ,"['servicebil', 'god', 'lønnsbeting', 'samt', 'bonus']",0
9664486,2017-11-06,Bygg og anlegg,Vi kan tilby varierte og utviklende arbeidsoppgaver i et hyggelig fagmiljø ,"['tilby', 'varier', 'utvikl', 'arbeidsoppgav', 'hygg', 'fagmiljø']",0
9664486,2017-11-06,Bygg og anlegg,Du må ha relevant erfaring og være klar for nye utfordringer da det kreves at valgt kandidat skal kunne utføre selvstendige prosjektjobber og serviceoppdrag ,"['må', 'relevant', 'erfaring', 'vær', 'klar', 'nye', 'utfordring', 'krev', 'valgt', 'kandidat', 'kunn', 'utfør', 'selvstend', 'prosjektjobb', 'serviceoppdrag']",0
9664486,2017-11-06,Bygg og anlegg,InHouse AS søker fortløpende etter dyktige fagfolk for våre oppdragsgivere innen elektro telekommunikasjon og tekniske fag ,"['inhous', 'as', 'søk', 'fortløp', 'dykt', 'fagfolk', 'oppdragsgiver', 'elektro', 'telekommunikasjon', 'teknisk', 'fag']",0
9583683,2017-05-24,Bygg og anlegg, fo,['fo'],0
9583683,2017-05-24,Bygg og anlegg,span style ,"['span', 'styl']",0
9583683,2017-05-24,Bygg og anlegg,Interessante og varierte arbeidsoppgaver ,"['interessant', 'varier', 'arbeidsoppgav']",0
9583683,2017-05-24,Bygg og anlegg,En utfordrende stilling i et godt arbeidsmiljø ,"['utfordr', 'stilling', 'godt', 'arbeidsmiljø']",0
9583683,2017-05-24,Bygg og anlegg,Arbeidsom ,['arbeidsom'],0
9583683,2017-05-24,Bygg og anlegg,CE ,['ce'],0
9599754,2017-06-23,Bygg og anlegg,For vår kunde søker vi Betongarbeider forskalingssnekker Jernbinder ,"['kund', 'søk', 'betongarbeid', 'forskalingssnekk', 'jernbind']",0
9583292,2017-05-24,Bygg og anlegg,Prosjektorganisasjonen har avdelinger i Hordaland Sunnmøre og Trøndelag ,"['prosjektorganisasjon', 'avdeling', 'hordaland', 'sunnmør', 'trøndelag']",0
9583292,2017-05-24,Bygg og anlegg,Vi søker rørleggere som trives med og ønsker å jobbe med eneboliger og restaureringsoppdrag ,"['søk', 'rørlegger', 'triv', 'ønsk', 'jobb', 'enebo', 'restaureringsoppdrag']",0
9583292,2017-05-24,Bygg og anlegg,med varme og sanitæranlegg i boliger og rekkehus som sitt spesialfelt ,"['varm', 'sanitæranlegg', 'bol', 'rekkehus', 'spesialfelt']",0
9647125,2017-10-05,Bygg og anlegg,Prosjektledere ,['prosjektleder'],0
9647125,2017-10-05,Bygg og anlegg,vår anleggsavdeling med ,['anleggsavdeling'],0
9647125,2017-10-05,Bygg og anlegg,Vi har mange spennende prosjekter foran oss og ønsker å styrke ,"['mang', 'spenn', 'prosjekt', 'foran', 'ønsk', 'styrk']",0
9583292,2017-05-24,Bygg og anlegg,Arbeide i en bedrift som vektlegger ordnede arbeidsforhold og høy etisk standard ,"['arbeid', 'bedrift', 'vektlegg', 'ordn', 'arbeidsforhold', 'høy', 'etisk', 'standard']",0
9583292,2017-05-24,Bygg og anlegg,Ha pensjons ,['pensjon'],0
9583292,2017-05-24,Bygg og anlegg,Jobbe trygt i bransjens beste system innen Helse Miljø og Sikkerhet ,"['jobb', 'trygt', 'bransj', 'best', 'system', 'hels', 'miljø', 'sikker']",0
9583292,2017-05-24,Bygg og anlegg,Ha mulighet til å trives i et positivt arbeidsmiljø hvor medarbeidertilfredsheten jevnlig blir målt gjennom vår medarbeiderundersøkelse ,"['mul', 'triv', 'positiv', 'arbeidsmiljø', 'medarbeidertilfreds', 'jevn', 'målt', 'gjennom', 'medarbeiderundersøk']",0
9583292,2017-05-24,Bygg og anlegg,Få mulighet til å utvikle deg faglig og personlig i et flerfaglig miljø ,"['få', 'mul', 'utvikl', 'fag', 'person', 'flerfag', 'miljø']",0
9583292,2017-05-24,Bygg og anlegg,Som medarbeider i Caverion skal du ,"['medarbeid', 'caverion']",0
9583292,2017-05-24,Bygg og anlegg,Caverions medarbeidergaranti ,"['caverion', 'medarbeidergaranti']",0
9583292,2017-05-24,Bygg og anlegg,Vi har som målsetning å rekruttere flere kvinner til Caverion og oppfordrer derfor også kvinner til å søke ,"['målsetning', 'rekrutter', 'fler', 'kvinn', 'caverion', 'oppfordr', 'derfor', 'kvinn', 'søk']",0
9583292,2017-05-24,Bygg og anlegg,Servicebil ,['servicebil'],0
9583292,2017-05-24,Bygg og anlegg,Lønn etter avtale ,"['lønn', 'avtal']",0
9583292,2017-05-24,Bygg og anlegg,En trygg arbeidsplass ,"['trygg', 'arbeidsplass']",0
9583292,2017-05-24,Bygg og anlegg,Ordnede arbeidsforhold og høy etisk standard ,"['ordn', 'arbeidsforhold', 'høy', 'etisk', 'standard']",0
9583292,2017-05-24,Bygg og anlegg,og forsikringsordninger ,['forsikringsordning'],0
9583292,2017-05-24,Bygg og anlegg,Gode pensjons ,"['god', 'pensjon']",0
9583292,2017-05-24,Bygg og anlegg,Mulighet til å utvikle deg faglig og personlig i et flerfaglig miljø ,"['mul', 'utvikl', 'fag', 'person', 'flerfag', 'miljø']",0
9583292,2017-05-24,Bygg og anlegg,Godt arbeidsmiljø ,"['godt', 'arbeidsmiljø']",0
9583292,2017-05-24,Bygg og anlegg,En meget utfordrende jobb ,"['utfordr', 'jobb']",0
9583292,2017-05-24,Bygg og anlegg,Vi tilbyr ,['tilbyr'],0
9583292,2017-05-24,Bygg og anlegg,Gode samarbeidsevner og kan bidra positivt til vårt trivelige arbeidsmiljø ,"['god', 'samarbeidsevn', 'bidr', 'positiv', 'vårt', 'triv', 'arbeidsmiljø']",0
9583292,2017-05-24,Bygg og anlegg,Serviceorientert og trives med mye kundekontakt ,"['serviceorienter', 'triv', 'mye', 'kundekontakt']",0
9583292,2017-05-24,Bygg og anlegg,Personlige egenskaper ,"['person', 'egenskap']",0
9583292,2017-05-24,Bygg og anlegg,Ønskede kvalifikasjoner ,"['ønsk', 'kvalifikasjon']",0
9583292,2017-05-24,Bygg og anlegg,Kundekontakt ,['kundekontakt'],0
9583292,2017-05-24,Bygg og anlegg,Være en viktig bidragsyter i et flerfaglig miljø ,"['vær', 'vikt', 'bidragsyt', 'flerfag', 'miljø']",0
9583292,2017-05-24,Bygg og anlegg,Dine hovedarbeidsoppgaver vil være ,"['hovedarbeidsoppgav', 'vær']",0
9583292,2017-05-24,Bygg og anlegg,I tillegg må påregnes en del vanlig servicearbeider både for privatpersoner og i næring skolebygg ,"['tillegg', 'må', 'påregn', 'del', 'van', 'servicearbeid', 'båd', 'privatperson', 'næring', 'skolebygg']",0
9583683,2017-05-24,Bygg og anlegg,Kvalifikasjone ,['kvalifikasjon'],0
9583683,2017-05-24,Bygg og anlegg,Oppfølging av kontrakt ,"['oppfølging', 'kontrakt']",0
9583683,2017-05-24,Bygg og anlegg,Mindre anleggsarbeid ,"['mindr', 'anleggsarbeid']",0
9583683,2017-05-24,Bygg og anlegg,Veimesterrolle ,['veimesterroll'],0
9618609,2017-08-14,Bygg og anlegg,hvis du vil ,[],0
9618609,2017-08-14,Bygg og anlegg,Du vil jobbe i en bedrift der du har videre karrieremuligheter ,"['jobb', 'bedrift', 'vider', 'karrieremu']",0
9618609,2017-08-14,Bygg og anlegg,for da blir du bedre og da blir bedriften bedre ,"['bedr', 'bedrift', 'bedr']",0
9618609,2017-08-14,Bygg og anlegg,Du vil jobbe i en bedrift som stiller strenge krav til din faglige dyktighet ,"['jobb', 'bedrift', 'still', 'streng', 'krav', 'fag', 'dykt']",0
9618609,2017-08-14,Bygg og anlegg,Du vil jobbe med det du liker aller best hos en bedrift som vet å sette pris på deg og jobben du gjør ,"['jobb', 'lik', 'all', 'best', 'hos', 'bedrift', 'vet', 'sett', 'pris', 'jobb', 'gjør']",0
9618609,2017-08-14,Bygg og anlegg,så du blir fornøyd og oppdragsgiver blir fornøyd ,"['fornøyd', 'oppdragsgiv', 'fornøyd']",0
9618609,2017-08-14,Bygg og anlegg,Du er trygg på faget ditt og løser utfordringer ,"['trygg', 'fag', 'løs', 'utfordring']",0
9618609,2017-08-14,Bygg og anlegg,Hos oss ,['hos'],0
9618609,2017-08-14,Bygg og anlegg,Og det kan du ,[],0
9618609,2017-08-14,Bygg og anlegg,Tilfredsheten med å fundamentere binde jern støype forskale og slipe er så stor at du kunne ha gjort det hele livet ,"['tilfreds', 'fundamenter', 'bind', 'jern', 'støyp', 'forskal', 'slip', 'stor', 'kunn', 'gjort', 'hel', 'liv']",0
9618609,2017-08-14,Bygg og anlegg,en form for kjærlighet for betong ,"['form', 'kjær', 'betong']",0
9618609,2017-08-14,Bygg og anlegg,Prøv oss du også da vel ,"['prøv', 'vel']",0
9618609,2017-08-14,Bygg og anlegg,Personalutleie og rekruttering til faste stillinger ,"['personalutlei', 'rekruttering', 'fast', 'stilling']",0
9618609,2017-08-14,Bygg og anlegg,Vi i STOLT brenner for utvikling engasjement arbeidsglede og no bullshit policy ,"['stolt', 'brenn', 'utvikling', 'engasjement', 'arbeidsgl', 'bullshit', 'policy']",0
9618609,2017-08-14,Bygg og anlegg,gjennom NHO Service og kvalifisert i StartBANK ,"['gjennom', 'nho', 'servic', 'kvalifiser', 'startbank']",0
9618609,2017-08-14,Bygg og anlegg,Vi har vært der ute for våre kunder og kandidater siden er ,"['ute', 'kund', 'kandidat', 'sid']",0
9618609,2017-08-14,Bygg og anlegg,Norge ,['norg'],0
9618609,2017-08-14,Bygg og anlegg,Geografisk dekker vi oppdrag i øst sør vest og midt ,"['geografisk', 'dekk', 'oppdrag', 'øst', 'sør', 'vest', 'midt']",0
9618609,2017-08-14,Bygg og anlegg,Små og store superhelter innen fagområdene bygg og anlegg industri bilfag lager transport og merkantile fag ,"['små', 'stor', 'superhelt', 'fagområd', 'bygg', 'anlegg', 'industri', 'bilfag', 'lag', 'transport', 'merkantil', 'fag']",0
9618609,2017-08-14,Bygg og anlegg,STOLT er en markedsutfordrer i sterk vekst hvor det legges vekt på ryddighet i alle ledd og et godt sosialt miljø ,"['stolt', 'markedsutfordr', 'sterk', 'vekst', 'legg', 'vekt', 'rydd', 'all', 'ledd', 'godt', 'sosialt', 'miljø']",0
9664881,2017-11-06,Bygg og anlegg,For elektronisk søknadsskjema ,"['elektronisk', 'søknadsskjem']",0
9664881,2017-11-06,Bygg og anlegg, mob ,['mob'],0
9664881,2017-11-06,Bygg og anlegg,Kontakter ,['kontakt'],0
9664881,2017-11-06,Bygg og anlegg,Sted Trondheim ,"['sted', 'trondheim']",0
9664881,2017-11-06,Bygg og anlegg,Arbeide i en bedrift som vektlegger ordnede arbeidsforhold og høy etisk standard ,"['arbeid', 'bedrift', 'vektlegg', 'ordn', 'arbeidsforhold', 'høy', 'etisk', 'standard']",0
9664881,2017-11-06,Bygg og anlegg,Ha pensjons ,['pensjon'],0
9664881,2017-11-06,Bygg og anlegg,Jobbe trygt i bransjens beste system innen Helse Miljø og Sikkerhet ,"['jobb', 'trygt', 'bransj', 'best', 'system', 'hels', 'miljø', 'sikker']",0
9664881,2017-11-06,Bygg og anlegg,Ha mulighet til å trives i et positivt arbeidsmiljø hvor medarbeidertilfredsheten jevnlig blir målt gjennom vår medarbeiderundersøkelse ,"['mul', 'triv', 'positiv', 'arbeidsmiljø', 'medarbeidertilfreds', 'jevn', 'målt', 'gjennom', 'medarbeiderundersøk']",0
9664881,2017-11-06,Bygg og anlegg,Få mulighet til å utvikle deg faglig og personlig i et flerfaglig miljø ,"['få', 'mul', 'utvikl', 'fag', 'person', 'flerfag', 'miljø']",0
9618609,2017-08-14,Bygg og anlegg,Du vil jobbe i en bedrift der du får stor grad av frihet ,"['jobb', 'bedrift', 'får', 'stor', 'grad', 'frih']",0
9647125,2017-10-05,Bygg og anlegg,Annleggsledere ,['annleggsleder'],0
9618609,2017-08-14,Bygg og anlegg,når du fortjener det ,['fortjen'],0
9618609,2017-08-14,Bygg og anlegg,Vi tilbyr ,['tilbyr'],0
9583683,2017-05-24,Bygg og anlegg,Maskinkjøring ,['maskinkjøring'],0
9583683,2017-05-24,Bygg og anlegg,Arbeidsoppgaver ,['arbeidsoppgav'],0
9583683,2017-05-24,Bygg og anlegg,Mesta er opptatt av mangfold og oppfordrer alle kvalifiserte kandidater til å søke jobb hos oss uavhengig av kjønn nasjonalitet eller etnisk bakgrunn ,"['mest', 'opptatt', 'mangfold', 'oppfordr', 'all', 'kvalifiser', 'kandidat', 'søk', 'jobb', 'hos', 'uavheng', 'kjønn', 'nasjonalit', 'ell', 'etnisk', 'bakgrunn']",0
9583683,2017-05-24,Bygg og anlegg,Søknadsfrist juni ,"['søknadsfrist', 'juni']",0
9583683,2017-05-24,Bygg og anlegg, tlf ,['tlf'],0
9583683,2017-05-24,Bygg og anlegg,For ytterligere informasjon om stillingen ta kontakt med prosjektleder ,"['ytterliger', 'informasjon', 'stilling', 'ta', 'kontakt', 'prosjektled']",0
9583683,2017-05-24,Bygg og anlegg,være med på vaktordninger i forhold til beredskap utrykkning ,"['vær', 'vaktordning', 'forhold', 'beredskap', 'utrykkning']",0
9583683,2017-05-24,Bygg og anlegg,Stillingen vil kreve at man må ,"['stilling', 'krev', 'må']",0
9583683,2017-05-24,Bygg og anlegg,Arbeidstid vil hovedsakelig være dagtid med muligheter for skiftordning ved behov ,"['arbeidstid', 'hovedsak', 'vær', 'dagtid', 'mul', 'skiftordning', 'behov']",0
9583683,2017-05-24,Bygg og anlegg,Arbeidssted er kontraktsområdet med oppmøteplass på Sandstad arbeidsområdet ,"['arbeidssted', 'kontraktsområd', 'oppmøteplass', 'sandstad', 'arbeidsområd']",0
9680046,2017-12-01,Bygg og anlegg,eller e post ,"['ell', 'e', 'post']",0
9680046,2017-12-01,Bygg og anlegg,Spørsmål til stillingen kan rettes til Rune B Johansen tlf ,"['spørsmål', 'stilling', 'rett', 'run', 'b', 'johans', 'tlf']",0
9680046,2017-12-01,Bygg og anlegg,Vi er ikke redde for å dele vår kunnskap med hverandre og du får jobbe tett sammen med byggmestere på spennende og varierte prosjekter ,"['ikk', 'redd', 'del', 'kunnskap', 'hverandr', 'får', 'jobb', 'tett', 'samm', 'byggmester', 'spenn', 'varier', 'prosjekt']",0
9680046,2017-12-01,Bygg og anlegg,Oppfyller du disse ønskene og i tillegg er lojal og fleksibel kan as tilby deg en jobb med gode lønns og arbeidsforhold i et felleskap der vi vektlegger faglig utvikling ,"['oppfyll', 'diss', 'ønsk', 'tillegg', 'lojal', 'fleksibel', 'as', 'tilby', 'jobb', 'god', 'lønn', 'arbeidsforhold', 'felleskap', 'vektlegg', 'fag', 'utvikling']",0
9680046,2017-12-01,Bygg og anlegg,Firmaet har en sunn økonomi og har en stadig økende oppdragsmengde ,"['firma', 'sunn', 'økonomi', 'stad', 'økend', 'oppdragsmengd']",0
9680046,2017-12-01,Bygg og anlegg,Vårt fokus er å utøve godt håndverk på alle nivåer hver dag ,"['vårt', 'fokus', 'utøv', 'godt', 'håndverk', 'all', 'nivå', 'dag']",0
