Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9357406,2016-02-05,"Helse, pleie og omsorg",Helse ,['hels'],0
9450177,2016-08-17,"Helse, pleie og omsorg",avd ,['avd'],0
9450177,2016-08-17,"Helse, pleie og omsorg",mob ,['mob'],0
9450177,2016-08-17,"Helse, pleie og omsorg",Kontaktperson ,['kontaktperson'],0
9450177,2016-08-17,"Helse, pleie og omsorg",Muligheter for faglig utvikling og flere velferdsgoder ,"['mul', 'fag', 'utvikling', 'fler', 'velferdsgod']",0
9450177,2016-08-17,"Helse, pleie og omsorg",Vi kan tilby en spennende og god arbeidsplass med mye hverdagsglede ,"['tilby', 'spenn', 'god', 'arbeidsplass', 'mye', 'hverdagsgl']",0
9450177,2016-08-17,"Helse, pleie og omsorg",motivasjon og engasjement i arbeid med eldre ,"['motivasjon', 'engasjement', 'arbeid', 'eldr']",0
9450177,2016-08-17,"Helse, pleie og omsorg",Ved bokollektivet ,['bokollektiv'],0
9450177,2016-08-17,"Helse, pleie og omsorg",leder ved bokollektivet ,"['led', 'bokollektiv']",0
9450177,2016-08-17,"Helse, pleie og omsorg",Jobbnorge ID ,"['jobbnorg', 'id']",0
8314775,2014-05-21,"Helse, pleie og omsorg",For elektronisk søknadsskjema ,"['elektronisk', 'søknadsskjem']",0
8314775,2014-05-21,"Helse, pleie og omsorg",Antall stillinger ,"['antall', 'stilling']",0
8314775,2014-05-21,"Helse, pleie og omsorg",Vikariat ,['vikariat'],0
8314775,2014-05-21,"Helse, pleie og omsorg",Stillingsbrøk ,['stillingsbrøk'],0
8314775,2014-05-21,"Helse, pleie og omsorg",Annonsør St Ref ,"['annonsør', 'st', 'ref']",0
8314775,2014-05-21,"Helse, pleie og omsorg", Seksjonsleder ,['seksjonsled'],0
8314775,2014-05-21,"Helse, pleie og omsorg",gate Trondheim ,"['gat', 'trondheim']",0
8314775,2014-05-21,"Helse, pleie og omsorg",Søknadsfrist ,['søknadsfrist'],0
9450177,2016-08-17,"Helse, pleie og omsorg",Søknad sendes elektronisk via denne siden ,"['søknad', 'send', 'elektronisk', 'via', 'denn', 'sid']",0
9450177,2016-08-17,"Helse, pleie og omsorg",Søknader behandles fortløpende men med endelig søknadsfrist ,"['søknad', 'behandl', 'fortløp', 'end', 'søknadsfrist']",0
9450177,2016-08-17,"Helse, pleie og omsorg",Lønn i h h t gjeldende avtaler ,"['lønn', 'h', 'h', 't', 'gjeld', 'avtal']",0
9189578,2015-09-11,"Helse, pleie og omsorg",Stillingsbrøk ,['stillingsbrøk'],0
9189578,2015-09-11,"Helse, pleie og omsorg",nr ,['nr'],0
9189578,2015-09-11,"Helse, pleie og omsorg",Ref ,['ref'],0
9189578,2015-09-11,"Helse, pleie og omsorg",Annonsør Trondheim kommune ,"['annonsør', 'trondheim', 'kommun']",0
9189578,2015-09-11,"Helse, pleie og omsorg", Fagleder ,['fagled'],0
9189578,2015-09-11,"Helse, pleie og omsorg", Enhetsleder ,['enhetsled'],0
9189578,2015-09-11,"Helse, pleie og omsorg",Lønn etter gjeldende avtaler ,"['lønn', 'gjeld', 'avtal']",0
9189578,2015-09-11,"Helse, pleie og omsorg",Løsningsfokus og personlig egnethet vektlegges ,"['løsningsfokus', 'person', 'egnet', 'vektlegg']",0
9189578,2015-09-11,"Helse, pleie og omsorg",kunnskaper ,['kunnskap'],0
9189578,2015-09-11,"Helse, pleie og omsorg",og velferdssenter ,['velferdssent'],0
9189578,2015-09-11,"Helse, pleie og omsorg",Tempe helse ,"['temp', 'hels']",0
9189578,2015-09-11,"Helse, pleie og omsorg",Vernepleier ,['verneplei'],0
9450177,2016-08-17,"Helse, pleie og omsorg",no,[],0
9450177,2016-08-17,"Helse, pleie og omsorg",jobbnorge ,['jobbnorg'],0
9450177,2016-08-17,"Helse, pleie og omsorg",Se annonsen og søk på stillingen www ,"['se', 'annons', 'søk', 'stilling', 'www']",0
9450177,2016-08-17,"Helse, pleie og omsorg",Eksamensbevis og attester legges fram ved samtale ,"['eksamensbevis', 'attest', 'legg', 'fram', 'samtal']",0
9450177,2016-08-17,"Helse, pleie og omsorg",Pensjonsordning i Trondheim kommunale pensjonskasse ,"['pensjonsordning', 'trondheim', 'kommunal', 'pensjonskass']",0
8314775,2014-05-21,"Helse, pleie og omsorg",Faglig og personlig utvikling ,"['fag', 'person', 'utvikling']",0
8314775,2014-05-21,"Helse, pleie og omsorg",Høyt faglig nivå ,"['høyt', 'fag', 'nivå']",0
8314775,2014-05-21,"Helse, pleie og omsorg",Må ha høy arbeidsmoral ,"['må', 'høy', 'arbeidsmoral']",0
8314775,2014-05-21,"Helse, pleie og omsorg",Være en god teamarbeider ,"['vær', 'god', 'teamarbeid']",0
7273075,2014-01-09,"Helse, pleie og omsorg",Kontaktperson er ,['kontaktperson'],0
7273075,2014-01-09,"Helse, pleie og omsorg",Startdato for ansettelse vikariat engasjement ,"['startdato', 'ansett', 'vikariat', 'engasjement']",0
7273075,2014-01-09,"Helse, pleie og omsorg",Antall stillinger ,"['antall', 'stilling']",0
7273075,2014-01-09,"Helse, pleie og omsorg",Fast ,['fast'],0
7273075,2014-01-09,"Helse, pleie og omsorg",Stillingsbrøk ,['stillingsbrøk'],0
7273075,2014-01-09,"Helse, pleie og omsorg",Andre opplysninger ,"['andr', 'opplysning']",0
7273075,2014-01-09,"Helse, pleie og omsorg",Fast jobb i trivelig miljø på Nevrosenteret lønn etter avtale ,"['fast', 'jobb', 'triv', 'miljø', 'nevrosenter', 'lønn', 'avtal']",0
7273075,2014-01-09,"Helse, pleie og omsorg",Vi tilbyr ,['tilbyr'],0
7273075,2014-01-09,"Helse, pleie og omsorg",Kvalifikasjoner ,['kvalifikasjon'],0
7273075,2014-01-09,"Helse, pleie og omsorg",Handel Kontor ,"['handel', 'kontor']",0
7273075,2014-01-09,"Helse, pleie og omsorg",Utdanningsretning ,['utdanningsretning'],0
7273075,2014-01-09,"Helse, pleie og omsorg",Videregående skole ,"['videregå', 'skol']",0
7273075,2014-01-09,"Helse, pleie og omsorg",Utdanningsnivå ,['utdanningsnivå'],0
7273075,2014-01-09,"Helse, pleie og omsorg",Språk ,['språk'],0
7273075,2014-01-09,"Helse, pleie og omsorg",Det vil være en viktig oppgave fremover å bidra til å integrere ny IKT og tekniske løsninger som videreutvikler klinikkens post og telefoni ,"['vær', 'vikt', 'oppgav', 'fremov', 'bidr', 'integrer', 'ny', 'ikt', 'teknisk', 'løsning', 'videreutvikl', 'klinikk', 'post', 'telefoni']",0
7273075,2014-01-09,"Helse, pleie og omsorg",Sørge for en god håndtering av innkomne samtaler til klinikken ,"['sørg', 'god', 'håndtering', 'innkomn', 'samtal', 'klinikk']",0
7273075,2014-01-09,"Helse, pleie og omsorg",Ha ansvar for klinikkens innkomne post ,"['ansv', 'klinikk', 'innkomn', 'post']",0
7273075,2014-01-09,"Helse, pleie og omsorg", tlf ,['tlf'],0
9189578,2015-09-11,"Helse, pleie og omsorg",Fast ,['fast'],0
7273075,2014-01-09,"Helse, pleie og omsorg",For fullstendig utlysningstekst og elektronisk søknadsskjema ,"['fullstend', 'utlysningstekst', 'elektronisk', 'søknadsskjem']",0
8837397,2015-02-24,"Helse, pleie og omsorg",Vi vil legge stor vekt på personlig egnethet ,"['legg', 'stor', 'vekt', 'person', 'egnet']",0
8314775,2014-05-21,"Helse, pleie og omsorg",nr ,['nr'],0
8314775,2014-05-21,"Helse, pleie og omsorg",OG ØYESYKDOMMER ref ,"['øyesykdomm', 'ref']",0
8314775,2014-05-21,"Helse, pleie og omsorg",HALS KJEVE ,"['hal', 'kjev']",0
8314775,2014-05-21,"Helse, pleie og omsorg",NESE ,['nes'],0
8314775,2014-05-21,"Helse, pleie og omsorg",KLINIKK FOR ØRE ,"['klinikk', 'øre']",0
8314775,2014-05-21,"Helse, pleie og omsorg",Øye ,['øye'],0
8314775,2014-05-21,"Helse, pleie og omsorg",Operasjonssykepleier ,['operasjonssykeplei'],0
8837397,2015-02-24,"Helse, pleie og omsorg",For elektronisk søknadsskjema ,"['elektronisk', 'søknadsskjem']",0
8837397,2015-02-24,"Helse, pleie og omsorg",Antall stillinger ,"['antall', 'stilling']",0
8837397,2015-02-24,"Helse, pleie og omsorg",Vikariat Fast ,"['vikariat', 'fast']",0
8837397,2015-02-24,"Helse, pleie og omsorg",nr ,['nr'],0
8837397,2015-02-24,"Helse, pleie og omsorg",Ref ,['ref'],0
8837397,2015-02-24,"Helse, pleie og omsorg",HF ,['hf'],0
8837397,2015-02-24,"Helse, pleie og omsorg",Annonsør ,['annonsør'],0
8837397,2015-02-24,"Helse, pleie og omsorg",H ,['h'],0
8837397,2015-02-24,"Helse, pleie og omsorg", Levanger ,['levang'],0
8837397,2015-02-24,"Helse, pleie og omsorg",Medlemskap i pensjonsordning pensjonstrekk gruppelivsforsikring og ulykkesforsikring ,"['medlemskap', 'pensjonsordning', 'pensjonstrekk', 'gruppelivsforsikring', 'ulykkesforsikring']",0
7273075,2014-01-09,"Helse, pleie og omsorg",Søknadsfrist ,['søknadsfrist'],0
7273075,2014-01-09,"Helse, pleie og omsorg",Personalansvar for per tid ansatte sekretærer med faglig utvikling og kompetanseoppbygging i denne gruppa ,"['personalansv', 'per', 'tid', 'ansatt', 'sekretær', 'fag', 'utvikling', 'kompetanseoppbygging', 'denn', 'grupp']",0
9189578,2015-09-11,"Helse, pleie og omsorg",Antall stillinger ,"['antall', 'stilling']",0
8915958,2015-04-22,"Helse, pleie og omsorg",Lederstilling i Tiltak for ,"['lederstilling', 'tiltak']",0
9204556,2015-09-18,"Helse, pleie og omsorg",Stillingsbrøk ,['stillingsbrøk'],0
9204556,2015-09-18,"Helse, pleie og omsorg",nr ,['nr'],0
9204556,2015-09-18,"Helse, pleie og omsorg",Ref ,['ref'],0
9204556,2015-09-18,"Helse, pleie og omsorg",Annonsør Trondheim kommune ,"['annonsør', 'trondheim', 'kommun']",0
9204556,2015-09-18,"Helse, pleie og omsorg", Personalkonsulent ,['personalkonsulent'],0
9204556,2015-09-18,"Helse, pleie og omsorg", Enhetsleder ,['enhetsled'],0
9204556,2015-09-18,"Helse, pleie og omsorg", Daglig leder ,"['dag', 'led']",0
9204556,2015-09-18,"Helse, pleie og omsorg",Fast ,['fast'],0
9204556,2015-09-18,"Helse, pleie og omsorg",Lønn etter sentrale og lokale avtaler ,"['lønn', 'sentral', 'lokal', 'avtal']",0
9204556,2015-09-18,"Helse, pleie og omsorg",personlig egnethet vektlegges ,"['person', 'egnet', 'vektlegg']",0
9204556,2015-09-18,"Helse, pleie og omsorg",uke ,['uke'],0
9204556,2015-09-18,"Helse, pleie og omsorg",og helgearbeid tilsvarende kveld pr ,"['helgearbeid', 'tilsvar', 'kveld', 'pr']",0
9204556,2015-09-18,"Helse, pleie og omsorg",I stillingen er det kvelds ,"['stilling', 'kveld']",0
9204556,2015-09-18,"Helse, pleie og omsorg",n og innsøking av midler ,"['n', 'innsøking', 'midl']",0
9204556,2015-09-18,"Helse, pleie og omsorg",Administrasjon som utleie av Kattemkjeller ,"['administrasjon', 'utlei', 'kattemkjell']",0
9204556,2015-09-18,"Helse, pleie og omsorg",Samarbeid med skole FAU og nærmiljø ,"['samarbeid', 'skol', 'fau', 'nærmiljø']",0
9204556,2015-09-18,"Helse, pleie og omsorg",Teater Musikk Dans ,"['teat', 'musikk', 'dan']",0
9204556,2015-09-18,"Helse, pleie og omsorg",Antall stillinger ,"['antall', 'stilling']",0
9204556,2015-09-18,"Helse, pleie og omsorg",For elektronisk søknadsskjema ,"['elektronisk', 'søknadsskjem']",0
4782885,2013-02-11,"Helse, pleie og omsorg",Stillingen omfatter behandlingstilbud til alle grupper i befolkningen også voksne betalende pasienter ,"['stilling', 'omfatt', 'behandlingstilbud', 'all', 'grupp', 'befolkning', 'voksn', 'betal', 'pasient']",0
4782885,2013-02-11,"Helse, pleie og omsorg",Sted ,['sted'],0
4782885,2013-02-11,"Helse, pleie og omsorg",Ledige stillinger innen ,"['led', 'stilling']",0
4782885,2013-02-11,"Helse, pleie og omsorg",no ,[],0
4782885,2013-02-11,"Helse, pleie og omsorg",ntfk ,['ntfk'],0
4782885,2013-02-11,"Helse, pleie og omsorg",fylkeskommune via vår hjemmeside www ,"['fylkeskommun', 'via', 'hjemmesid', 'www']",0
4782885,2013-02-11,"Helse, pleie og omsorg",Søknad på stillingen sendes elektronisk til ,"['søknad', 'stilling', 'send', 'elektronisk']",0
4782885,2013-02-11,"Helse, pleie og omsorg", e post ,"['e', 'post']",0
4782885,2013-02-11,"Helse, pleie og omsorg",fylkestannlegen tlf ,"['fylkestann', 'tlf']",0
