Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9562748,2017-04-18,Industriarbeid,Stillingen som produksjonsdirektør COO inngår i ledergruppen i AquaGen ,"['stilling', 'produksjonsdirektør', 'coo', 'inngår', 'ledergrupp', 'aquag']",0
9669990,2017-11-14,Industriarbeid,Kvalifikasjoner ,['kvalifikasjon'],0
9669990,2017-11-14,Industriarbeid,Gode PC ,"['god', 'pc']",0
9669990,2017-11-14,Industriarbeid,kunnskaper ,['kunnskap'],0
9669990,2017-11-14,Industriarbeid,Du jobber godt alene og i team ,"['jobb', 'godt', 'alen', 'team']",0
9669990,2017-11-14,Industriarbeid,Du trives med kundefokus og noe reisevirksomhet ,"['triv', 'kundefokus', 'reisevirksom']",0
9669990,2017-11-14,Industriarbeid,Vi tilbyr ,['tilbyr'],0
9669990,2017-11-14,Industriarbeid,Bistand i tekniske spørsmål ,"['bistand', 'teknisk', 'spørsmål']",0
9669990,2017-11-14,Industriarbeid,Spennende jobb hos kunder med utfordrende arbeidsoppgaver og ansvar ,"['spenn', 'jobb', 'hos', 'kund', 'utfordr', 'arbeidsoppgav', 'ansv']",0
9669990,2017-11-14,Industriarbeid,Nødvendig kurs og opplæring ,"['nødvend', 'kur', 'opplæring']",0
9669990,2017-11-14,Industriarbeid,Konkurransedyktige betingelser forsikring og pensjonsordning ,"['konkurransedykt', 'beting', 'forsikring', 'pensjonsordning']",0
9524015,2017-02-06,Industriarbeid, gangs utlysning ,"['gang', 'utlysning']",0
9524015,2017-02-06,Industriarbeid,Stillingen medfører delaktighet i den ,"['stilling', 'medfør', 'delakt']",0
9524015,2017-02-06,Industriarbeid,og reguleringsanleggene ,['reguleringsanlegg'],0
9524015,2017-02-06,Industriarbeid,i tillegg til daglig ledelse ,"['tillegg', 'dag', 'led']",0
9669990,2017-11-14,Industriarbeid,Som utetekniker i Brubakken disponerer du moderne fullrigget servicebil ,"['uteteknik', 'brubakk', 'disponer', 'modern', 'fullrigg', 'servicebil']",0
9524015,2017-02-06,Industriarbeid,Vi søker etter en innovativ leder som innehar følgende kvalifikasjoner ,"['søk', 'innovativ', 'led', 'inneh', 'følg', 'kvalifikasjon']",0
9669990,2017-11-14,Industriarbeid,Kundebehandling ,['kundebehandling'],0
9669990,2017-11-14,Industriarbeid,Vi tilbyr følgende utfordringer og ansvar ,"['tilbyr', 'følg', 'utfordring', 'ansv']",0
9637528,2017-09-19,Industriarbeid,v tlf ,"['v', 'tlf']",0
9637528,2017-09-19,Industriarbeid,Konfidensiell behandling overfor oppdragsgiver hvis ønskelig ,"['konfidensiell', 'behandling', 'overfor', 'oppdragsgiv', 'ønsk']",0
9669990,2017-11-14,Industriarbeid,Brubakken konsernet er en av Nordens største og mest fleksible maskin partnere og leverandør av nye og brukte trucker godshåndteringsutstyr personløftere lift og anleggsmaskiner ,"['brubakk', 'konsern', 'nord', 'størst', 'mest', 'fleksibl', 'maskin', 'partner', 'leverandør', 'nye', 'brukt', 'truck', 'godshåndteringsutstyr', 'personløfter', 'lift', 'anleggsmaskin']",0
9669990,2017-11-14,Industriarbeid,Brubakken ble etablert i virksomheten drives i Norge Sverige og Estland ,"['brubakk', 'etabler', 'virksom', 'driv', 'norg', 'sver', 'estland']",0
9669990,2017-11-14,Industriarbeid,Brubakken tilbyr produkter og tjenester for hele maskinparken alt i fra den minste maskin til kundetilpassede helhetsløsninger ,"['brubakk', 'tilbyr', 'produkt', 'tjenest', 'hel', 'maskinpark', 'alt', 'minst', 'maskin', 'kundetilpass', 'helhetsløsning']",0
9669990,2017-11-14,Industriarbeid,Det er vår styrke å ha alt under samme tak og vår ambisjon og målsetting er å være en maskinpartner med gode og langsiktige relasjoner med våre kunder ,"['styrk', 'alt', 'und', 'samm', 'tak', 'ambisjon', 'målsetting', 'vær', 'maskinpartn', 'god', 'langsikt', 'relasjon', 'kund']",0
9669990,2017-11-14,Industriarbeid,Serviceoppdrag ute hos kunder ,"['serviceoppdrag', 'ute', 'hos', 'kund']",0
9669990,2017-11-14,Industriarbeid,Vårt mål er å hjelpe våre kunder til å oppnå så effektivt maskinhold som mulig for å maksimere verdiskapningen i hele deres verdikjede ,"['vårt', 'mål', 'hjelp', 'kund', 'oppnå', 'effektiv', 'maskinhold', 'mul', 'maksimer', 'verdiskapning', 'hel', 'verdikj']",0
9669990,2017-11-14,Industriarbeid,omsetter for ca MNOK og sysselsetter ca ansatte i Norge Sverige og Estland ,"['omsett', 'ca', 'mnok', 'sysselsett', 'ca', 'ansatt', 'norg', 'sver', 'estland']",0
9669990,2017-11-14,Industriarbeid,Selskapet har hovedkontor i Porsgrunn og ansatte i Norge ,"['selskap', 'hovedkontor', 'porsgrunn', 'ansatt', 'norg']",0
9669990,2017-11-14,Industriarbeid,Vår serviceorganisasjon har mer enn erfarne og engasjerte teknikere som arbeider med vedlikehold service reparasjoner reservedeler og teknisk support uansett hvilket fabrikat ,"['serviceorganisasjon', 'mer', 'erfarn', 'engasjer', 'tekniker', 'arbeid', 'vedlikehold', 'servic', 'reparasjon', 'reservedel', 'teknisk', 'support', 'uansett', 'hvilk', 'fabrikat']",0
9669990,2017-11-14,Industriarbeid,Avdelingen i Trøndelag har sitt serviceteam lokalisert i Melhus ,"['avdeling', 'trøndelag', 'serviceteam', 'lokaliser', 'melhus']",0
9669990,2017-11-14,Industriarbeid,Brubakken AS er nå importør for Case anleggsmaskiner i Sør Vest og ,"['brubakk', 'as', 'importør', 'cas', 'anleggsmaskin', 'sør', 'vest']",0
9669990,2017-11-14,Industriarbeid,produkter ute hos kunder ,"['produkt', 'ute', 'hos', 'kund']",0
9669990,2017-11-14,Industriarbeid,Som en av de største service og utleiepartnere for denne typen utstyr har Brubakken kunder innen de fleste bransjer herunder oljeservice industri logistikk utleie selskaper terminaldrift og handel ,"['størst', 'servic', 'utleiepartner', 'denn', 'typ', 'utstyr', 'brubakk', 'kund', 'flest', 'bransj', 'herund', 'oljeservic', 'industri', 'logistikk', 'utlei', 'selskap', 'terminaldrift', 'handel']",0
9637528,2017-09-19,Industriarbeid, på oppdragSend din søknad snarest eller ta kontakt med Back ,"['oppdragsend', 'søknad', 'snarest', 'ell', 'ta', 'kontakt', 'back']",0
9524015,2017-02-06,Industriarbeid,Lede bedriften til å være en engasjert og synlig samfunnsaktør ,"['led', 'bedrift', 'vær', 'engasjer', 'syn', 'samfunnsaktør']",0
9524015,2017-02-06,Industriarbeid,Vi kan tilby den rette personen konkurransedyktige betingelser ,"['tilby', 'rett', 'person', 'konkurransedykt', 'beting']",0
9665584,2017-11-07,Industriarbeid,Arbeidsoppgaver ,['arbeidsoppgav'],0
9665584,2017-11-07,Industriarbeid,Båndtekking ,['båndtekking'],0
9665584,2017-11-07,Industriarbeid,Takrennemontering ,['takrennemontering'],0
9665584,2017-11-07,Industriarbeid,Vindusbeslag ,['vindusbeslag'],0
9665584,2017-11-07,Industriarbeid,Til den som tiltrer stillingen kan vi tilby gode og konkurransedyktige betingelser sammen med godt arbeidsmiljø ,"['tiltr', 'stilling', 'tilby', 'god', 'konkurransedykt', 'beting', 'samm', 'godt', 'arbeidsmiljø']",0
9665584,2017-11-07,Industriarbeid,Du kan også forvente gode utviklingsmuligheter og muligheten til å bidra med plannlegging og ideer gjennom hele prosjekt ,"['forvent', 'god', 'utviklingsmu', 'mul', 'bidr', 'plannlegging', 'ide', 'gjennom', 'hel', 'prosjekt']",0
9665584,2017-11-07,Industriarbeid,På grunn av økt oppdragsmengde hos kunden vår søker vi selvstendig og engasjerte blikkenslagere for langvarige prosjekter i Trondheim ,"['grunn', 'økt', 'oppdragsmengd', 'hos', 'kund', 'søk', 'selvstend', 'engasjer', 'blikkenslager', 'langvar', 'prosjekt', 'trondheim']",0
9665584,2017-11-07,Industriarbeid,For søknad på stillingen trykk på link til høyre Søk her ,"['søknad', 'stilling', 'trykk', 'link', 'høyr', 'søk']",0
9680641,2017-12-04,Industriarbeid,TettPå ,['tettpå'],0
9680641,2017-12-04,Industriarbeid,Bemanning er et lokalt og personlig bemanningsbyrå for formidling av faste medarbeidere og utleie av vikarer ,"['bemanning', 'lokalt', 'person', 'bemanningsbyrå', 'formidling', 'fast', 'medarbeider', 'utlei', 'vikar']",0
9680641,2017-12-04,Industriarbeid,Selskapet ble stiftet i ,"['selskap', 'stift']",0
9680641,2017-12-04,Industriarbeid,Vi er lokalisert i Trondheim og har et spesielt fokus på de rette medarbeidere og nære forhold ,"['lokaliser', 'trondheim', 'spesielt', 'fokus', 'rett', 'medarbeider', 'nær', 'forhold']",0
9680641,2017-12-04,Industriarbeid,Bemanning satser på kvalitet for den enkelte og har som mål å være den samarbeidspartner som kan tilby den tetteste oppfølgingen av kunder vikarer og kandidater ,"['bemanning', 'sats', 'kvalit', 'enkelt', 'mål', 'vær', 'samarbeidspartn', 'tilby', 'tettest', 'oppfølging', 'kund', 'vikar', 'kandidat']",0
9680641,2017-12-04,Industriarbeid,Se vår hjemmeside på www ,"['se', 'hjemmesid', 'www']",0
9665584,2017-11-07,Industriarbeid,Spørsmål om stillingen kan rettes til ,"['spørsmål', 'stilling', 'rett']",0
9524015,2017-02-06,Industriarbeid,driftslederansvar for SEV ,"['driftslederansv', 'sev']",0
9665584,2017-11-07,Industriarbeid,Prøv oss du også da vel ,"['prøv', 'vel']",0
9665584,2017-11-07,Industriarbeid,Vi i STOLT brenner for utvikling engasjement arbeidsglede og no bullshit policy ,"['stolt', 'brenn', 'utvikling', 'engasjement', 'arbeidsgl', 'bullshit', 'policy']",0
9524015,2017-02-06,Industriarbeid,For mer informasjon vedr ,"['mer', 'informasjon', 'vedr']",0
9524015,2017-02-06,Industriarbeid,stillingen kontakt tilsettingsutvalgets leder ,"['stilling', 'kontakt', 'tilsettingsutvalg', 'led']",0
