Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9602363,2017-06-29,Ingen yrkesbakgrunn eller uoppgitt,Frittstående anlegg med optimale lagringsforhold for alle typer fryseprodukter ,"['frittstå', 'anlegg', 'optimal', 'lagringsforhold', 'all', 'typ', 'fryseprodukt']",0
9585737,2017-05-29,Ingen yrkesbakgrunn eller uoppgitt,Vi søker deltidsansatt som kan jobbe fast på kveldstid og i helger ,"['søk', 'deltidsansatt', 'jobb', 'fast', 'kveldstid', 'helg']",0
9585737,2017-05-29,Ingen yrkesbakgrunn eller uoppgitt,Det er en fordel dersom du har erfaring med post i butikk tipping rikstoto eller fastfood ,"['fordel', 'dersom', 'erfaring', 'post', 'butikk', 'tipping', 'rikstoto', 'ell', 'fastfood']",0
9585737,2017-05-29,Ingen yrkesbakgrunn eller uoppgitt,Vi tilbyr et godt arbeidsmiljø god opplæring og variert arbeid ,"['tilbyr', 'godt', 'arbeidsmiljø', 'god', 'opplæring', 'varier', 'arbeid']",0
9585737,2017-05-29,Ingen yrkesbakgrunn eller uoppgitt,Vi trenger søknad fra deg som vet du kommer til å jobbe her i minimum år ,"['treng', 'søknad', 'vet', 'komm', 'jobb', 'minimum', 'år']",0
9591699,2017-06-08,Ingen yrkesbakgrunn eller uoppgitt,Vi søker en medarbeider som kan jobbe med tømrerarbeid maling og ,"['søk', 'medarbeid', 'jobb', 'tømrerarbeid', 'maling']",0
9591699,2017-06-08,Ingen yrkesbakgrunn eller uoppgitt,Du som søker må kunne jobbe selvstendig og være et ordensmenneske ,"['søk', 'må', 'kunn', 'jobb', 'selvstend', 'vær', 'ordensmennesk']",0
9591699,2017-06-08,Ingen yrkesbakgrunn eller uoppgitt,September ,['septemb'],0
9591699,2017-06-08,Ingen yrkesbakgrunn eller uoppgitt,Personlig oppmøte med attester innen ,"['person', 'oppmøt', 'attest']",0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,Er du ,[],0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,Usedvanlig opptatt av god service ,"['usedvan', 'opptatt', 'god', 'servic']",0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,Arbeidsoppgaver ,['arbeidsoppgav'],0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,Kundeservice ,['kundeservic'],0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,Kassebehandling ,['kassebehandling'],0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,Produksjon av mat ,"['produksjon', 'mat']",0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,Stengeansvar åpneansvar ,"['stengeansv', 'åpneansv']",0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,Trondheims morsomste arbeidsplass ,"['trondheim', 'morsomst', 'arbeidsplass']",0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,Et godt arbeidsmiljø ,"['godt', 'arbeidsmiljø']",0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,Full opplæring ,"['full', 'opplæring']",0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,Fleksibel arbeidstid ,"['fleksibel', 'arbeidstid']",0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,En jobb som kan kombineres med studier ,"['jobb', 'kombiner', 'studi']",0
9593496,2017-06-12,Ingen yrkesbakgrunn eller uoppgitt,Søknad sendes til e post ,"['søknad', 'send', 'e', 'post']",0
9675180,2017-11-23,Ingen yrkesbakgrunn eller uoppgitt,Merkes Nattevakt,"['merk', 'nattevakt']",0
9675180,2017-11-23,Ingen yrkesbakgrunn eller uoppgitt,Søknad med CV sendes pr e mail ,"['søknad', 'cv', 'send', 'pr', 'e', 'mail']",0
9675180,2017-11-23,Ingen yrkesbakgrunn eller uoppgitt,S Stabell tlf ,"['s', 'stabell', 'tlf']",0
9675180,2017-11-23,Ingen yrkesbakgrunn eller uoppgitt,For ytterligere informasjon ta kontakt med ,"['ytterliger', 'informasjon', 'ta', 'kontakt']",0
9521970,2017-02-02,Ingen yrkesbakgrunn eller uoppgitt,no,[],0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Er du ,[],0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Over år ,['år'],0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Usedvanlig opptatt av god kvalitet ,"['usedvan', 'opptatt', 'god', 'kvalit']",0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Arbeidsoppgaver ,['arbeidsoppgav'],0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Arrangering av bursdagsselskap ,"['arrangering', 'bursdagsselskap']",0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Kasse ,['kass'],0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Matproduksjon og servering ,"['matproduksjon', 'servering']",0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Forfallende arbeid ,"['forfall', 'arbeid']",0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Trondheims morsomste arbeidsplass ,"['trondheim', 'morsomst', 'arbeidsplass']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Kredinor ble etablert i og er i dag Norges nest største inkassoselskap ,"['kredinor', 'etabler', 'dag', 'norg', 'nest', 'størst', 'inkassoselskap']",0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Et godt arbeidsmiljø ,"['godt', 'arbeidsmiljø']",0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Fleksibel arbeidstid ,"['fleksibel', 'arbeidstid']",0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,En jobb som kan kombineres med studier ,"['jobb', 'kombiner', 'studi']",0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Søknad sendes til e post ,"['søknad', 'send', 'e', 'post']",0
9675180,2017-11-23,Ingen yrkesbakgrunn eller uoppgitt,Er du vår nye NATTEVAKT ,"['nye', 'nattevakt']",0
9675180,2017-11-23,Ingen yrkesbakgrunn eller uoppgitt,Vi forventer at du ,['forvent'],0
9675180,2017-11-23,Ingen yrkesbakgrunn eller uoppgitt,Stillingen innebærer ,"['stilling', 'innebær']",0
9675180,2017-11-23,Ingen yrkesbakgrunn eller uoppgitt,Nattevakter deltid og tilkalling ,"['nattevakt', 'deltid', 'tilkalling']",0
9675180,2017-11-23,Ingen yrkesbakgrunn eller uoppgitt,Lønn etter tariff ,"['lønn', 'tariff']",0
9675180,2017-11-23,Ingen yrkesbakgrunn eller uoppgitt,Tiltredelse etter avtale ,"['tiltred', 'avtal']",0
9675180,2017-11-23,Ingen yrkesbakgrunn eller uoppgitt,Søknadsfrist ,['søknadsfrist'],0
9614991,2017-08-03,Ingen yrkesbakgrunn eller uoppgitt,Full opplæring ,"['full', 'opplæring']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Vi er totalleverandør av betalings ,"['totalleverandør', 'betaling']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,og innfordringstjenester og tilbyr løsninger i hele verdikjeden fra fakturering betalingsvarsling og inkasso til overvåking og oppkjøp av fordringer ,"['innfordringstjenest', 'tilbyr', 'løsning', 'hel', 'verdikjed', 'fakturering', 'betalingsvarsling', 'inkasso', 'overvåking', 'oppkjøp', 'fordring']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Vi tilbyr også advokatbistand kurs ,"['tilbyr', 'advokatbistand', 'kur']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Personlige egenskaper ,"['person', 'egenskap']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Løsnings ,['løsning'],0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Konkurranseinstinkt ,['konkurranseinstinkt'],0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Personlig egnethet vektlegges ,"['person', 'egnet', 'vektlegg']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Vi søker deg som er opptatt av ,"['søk', 'opptatt']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Godt arbeidsmiljø ,"['godt', 'arbeidsmiljø']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Gode muligheter for personlig og faglig utvikling ,"['god', 'mul', 'person', 'fag', 'utvikling']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,En trygg arbeidsplass med velordnede arbeidsforhold ,"['trygg', 'arbeidsplass', 'velordn', 'arbeidsforhold']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,En organisasjon som har et sterkt etisk verdigrunnlag og fokus på medmenneskelig respekt ,"['organisasjon', 'sterkt', 'etisk', 'verdigrunnlag', 'fokus', 'medmennesk', 'respekt']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Vi tilbyr ,['tilbyr'],0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Kundebehandling Kundeservice ,"['kundebehandling', 'kundeservic']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Velordnede arbeidsforhold og god opplæring ,"['velordn', 'arbeidsforhold', 'god', 'opplæring']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Gode utviklingsmuligheter innenfor kundebehandling kommunikasjon forhandlingsteknikk og konfliktløsning ,"['god', 'utviklingsmu', 'innenfor', 'kundebehandling', 'kommunikasjon', 'forhandlingsteknikk', 'konfliktløsning']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Et dynamisk arbeidsmiljø med god takhøyde ,"['dynamisk', 'arbeidsmiljø', 'god', 'takhøyd']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Er du personen vi ser etter ,"['person', 'ser']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Søknader behandles fortløpende ,"['søknad', 'behandl', 'fortløp']",0
9554889,2017-03-30,Ingen yrkesbakgrunn eller uoppgitt,Arbeidsoppgaver ,['arbeidsoppgav'],0
9554889,2017-03-30,Ingen yrkesbakgrunn eller uoppgitt,Søkere som vil påberope seg fortrinnsrett må angi dette i søknaden ,"['søker', 'påberop', 'fortrinnsrett', 'må', 'angi', 'dett', 'søknad']",0
9554889,2017-03-30,Ingen yrkesbakgrunn eller uoppgitt,Ved eventuelle interne rokkeringer kan andre stillinger bli ledige ,"['eventuell', 'intern', 'rokkering', 'andr', 'stilling', 'led']",0
9554889,2017-03-30,Ingen yrkesbakgrunn eller uoppgitt,Søkere med interesse for dette må oppgi dette i søknaden ,"['søker', 'interess', 'dett', 'må', 'oppgi', 'dett', 'søknad']",0
9554889,2017-03-30,Ingen yrkesbakgrunn eller uoppgitt,Kommunen er røykfri ,"['kommun', 'røykfri']",0
9554889,2017-03-30,Ingen yrkesbakgrunn eller uoppgitt,Lønnsvilkår ,['lønnsvilkår'],0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Store faglige utfordringer ,"['stor', 'fag', 'utfordring']",0
9521970,2017-02-02,Ingen yrkesbakgrunn eller uoppgitt,kommune ,['kommun'],0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Telecom ,['telecom'],0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Inkassovirksomhet ,['inkassovirksom'],0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,og seminarvirksomhet av høy kvalitet innenfor fagområdene vi dekker ,"['seminarvirksom', 'høy', 'kvalit', 'innenfor', 'fagområd', 'dekk']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Selskapet har hovedkontor i Oslo i Anthon B Nilsen gården ved ,"['selskap', 'hovedkontor', 'oslo', 'anthon', 'b', 'nils', 'gård']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt, og avdelingskontorer på steder i Norge ,"['avdelingskontor', 'sted', 'norg']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Kredinor er en spennende arbeidsplass med solid faglig kompetanse fokus på trivsel blant de ansatte satsing på moderne teknologi og fremtidsrettede løsninger ,"['kredinor', 'spenn', 'arbeidsplass', 'solid', 'fag', 'kompetans', 'fokus', 'trivsel', 'blant', 'ansatt', 'satsing', 'modern', 'teknologi', 'fremtidsrett', 'løsning']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Lyst til å være en del av Norges beste kundesenter ,"['lyst', 'vær', 'del', 'norg', 'best', 'kundesent']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Det er dette vi i Kredinor jobber mot hver dag ,"['dett', 'kredinor', 'jobb', 'dag']",0
9614215,2017-08-02,Ingen yrkesbakgrunn eller uoppgitt,Kredinor SA er en bedrift som tilbyr private og offentlige virksomheter løsninger i hele verdikjeden fra fakturering purringer inkasso og juridisk ,"['kredinor', 'sa', 'bedrift', 'tilbyr', 'privat', 'offent', 'virksom', 'løsning', 'hel', 'verdikjed', 'fakturering', 'purring', 'inkasso', 'juridisk']",0
