Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9669717,2017-11-14,Ingeniør- og ikt-fag,AS is one of Norway s largest suppliers of technical consultancy services ,"['as', 'is', 'one', 'of', 'norway', 's', 'largest', 'suppli', 'of', 'technical', 'consultancy', 'servic']",0
9582699,2017-05-23,Ingeniør- og ikt-fag,hos ,['hos'],0
9582699,2017-05-23,Ingeniør- og ikt-fag,og Utvelgelse tlf ,"['utvelg', 'tlf']",0
9582699,2017-05-23,Ingeniør- og ikt-fag,Søk på stillingene via fremobemanning ,"['søk', 'stilling', 'via', 'fremobemanning']",0
9582699,2017-05-23,Ingeniør- og ikt-fag,no ledige ,['led'],0
9582699,2017-05-23,Ingeniør- og ikt-fag,stillinger eller finn ,"['stilling', 'ell', 'finn']",0
9582699,2017-05-23,Ingeniør- og ikt-fag,no ,[],0
9582699,2017-05-23,Ingeniør- og ikt-fag,Alle henvendelser til Fremo vil bli behandlet konfidensielt om ønskelig også ovenfor oppdragsgiver i innledende fase ,"['all', 'henvend', 'fremo', 'behandl', 'konfidensielt', 'ønsk', 'ovenfor', 'oppdragsgiv', 'innled', 'fas']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,Vi i arbeider med bemanning og rekruttering av ,"['arbeid', 'bemanning', 'rekruttering']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,studenter og nyutdannede i begynnelsen av sin karriere ,"['student', 'nyutdann', 'begynn', 'karrier']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,er vår nisje vårt ekspertområde og en målgruppe vi tror sterkt på ,"['nisj', 'vårt', 'ekspertområd', 'målgrupp', 'tror', 'sterkt']",0
9582699,2017-05-23,Ingeniør- og ikt-fag,Nærmere opplysninger om stillingen kan rettes til ,"['nærmer', 'opplysning', 'stilling', 'rett']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,Hos oss kan du jobbe som utleid konsulent på spesifikke oppdrag hos våre kunder eller bli fast ansatt via vår rekrutteringsvirksomhet ,"['hos', 'jobb', 'utleid', 'konsulent', 'spesifikk', 'oppdrag', 'hos', 'kund', 'ell', 'fast', 'ansatt', 'via', 'rekrutteringsvirksom']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,infrastruktur tjenester og tilbyr samtidig førsteklasses support for sine kunder ,"['infrastruktur', 'tjenest', 'tilbyr', 'samtid', 'førsteklass', 'support', 'kund']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,Du vil bli gitt god opplæring med egen mentor hvor målet er å gjøre deg operativ etter opplæringsperioden og trygghet er stikkordet ,"['gitt', 'god', 'opplæring', 'egen', 'mentor', 'mål', 'gjør', 'operativ', 'opplæringsperiod', 'trygg', 'stikkord']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,Du får dermed muligheten til å jobbe i et selskap og en stilling med trygge rammer i et fartsfylt miljø hvor kompetansedeling blir en viktig egenskap for å kunne støtte kunden på en effektiv måte ,"['får', 'dermed', 'mul', 'jobb', 'selskap', 'stilling', 'trygg', 'ramm', 'fartsfylt', 'miljø', 'kompetansedeling', 'vikt', 'egenskap', 'kunn', 'støtt', 'kund', 'effektiv', 'måt']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,I tillegg tilbyr vår kunde ulike sertifiseringer som vil gi deg verdifull kompetanse for din videre karriere ,"['tillegg', 'tilbyr', 'kund', 'ulik', 'sertifisering', 'gi', 'verdifull', 'kompetans', 'vider', 'karrier']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,Din rolle er å være en kvalitetsbevisst og ryddig problemløser som hjelper kunden via fjernstyring telefon og email ,"['roll', 'vær', 'kvalitetsbevisst', 'rydd', 'problemløs', 'hjelp', 'kund', 'via', 'fjernstyring', 'telefon', 'email']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,Du vil møte varierte problemstillinger og kunden i andre enden er avhengig av deg for å få flyt i sin arbeidshverdag ,"['møt', 'varier', 'problemstilling', 'kund', 'andr', 'end', 'avheng', 'få', 'flyt', 'arbeidshverdag']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,Sortere og prioritere innkommende saker og løse dem ,"['sorter', 'prioriter', 'innkomm', 'sak', 'løs']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,Administrere telefonisystem via Cisco ,"['administrer', 'telefonisystem', 'via', 'cisco']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,Utføre generell support via telefon og mail mot enkelte driftskunder for Atea ,"['utfør', 'generell', 'support', 'via', 'telefon', 'mail', 'enkelt', 'driftskund', 'ate']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,I stillingen vil du også rullere på skift som vil variere ifra ,"['stilling', 'ruller', 'skift', 'varier', 'ifr']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,På vegne av vår største kunde Atea og deres avdeling i Trondheim søker vi nå etter flere supportkonsulenter ,"['vegn', 'størst', 'kund', 'ate', 'avdeling', 'trondheim', 'søk', 'fler', 'supportkonsulent']",0
9568700,2017-04-28,Ingeniør- og ikt-fag,VI SØKER DEG SOM ,['søk'],0
9582699,2017-05-23,Ingeniør- og ikt-fag,rørlegger ,['rørlegg'],0
9582699,2017-05-23,Ingeniør- og ikt-fag,Systemforståelse innen VVS ,"['systemforstå', 'vvs']",0
9649569,2017-10-10,Ingeniør- og ikt-fag,Bygg og anlegg ,"['bygg', 'anlegg']",0
9649569,2017-10-10,Ingeniør- og ikt-fag,Videregående skole ,"['videregå', 'skol']",0
9649569,2017-10-10,Ingeniør- og ikt-fag,Samarbeidsvillig ,['samarbeidsvil'],0
9649569,2017-10-10,Ingeniør- og ikt-fag,Personlige egenskaper og egnethet vil bli særlig vektlagt ,"['person', 'egenskap', 'egnet', 'sær', 'vektlagt']",0
9649569,2017-10-10,Ingeniør- og ikt-fag,Lønn som Driftstekniker kode ltr ,"['lønn', 'driftsteknik', 'kod', 'ltr']",0
9649569,2017-10-10,Ingeniør- og ikt-fag, iht Statens lønnsregulativ kr ,"['iht', 'stat', 'lønnsregulativ', 'kr']",0
9649569,2017-10-10,Ingeniør- og ikt-fag, brutto pr ,"['brutto', 'pr']",0
9649569,2017-10-10,Ingeniør- og ikt-fag,år ,['år'],0
9649569,2017-10-10,Ingeniør- og ikt-fag,Medlemskap i Statens pensjonskasse ,"['medlemskap', 'stat', 'pensjonskass']",0
9649569,2017-10-10,Ingeniør- og ikt-fag,Gode forsikrings ,"['god', 'forsikring']",0
9582699,2017-05-23,Ingeniør- og ikt-fag,faget ,['fag'],0
9649569,2017-10-10,Ingeniør- og ikt-fag,og pensjonsordninger ,['pensjonsordning'],0
9649569,2017-10-10,Ingeniør- og ikt-fag,Gode velferdsordninger ,"['god', 'velferdsordning']",0
9649569,2017-10-10,Ingeniør- og ikt-fag,Kontaktinformasjon ,['kontaktinformasjon'],0
9649569,2017-10-10,Ingeniør- og ikt-fag, Regional KA ,"['regional', 'ka']",0
9649569,2017-10-10,Ingeniør- og ikt-fag,Stjørdal ,['stjørdal'],0
9649569,2017-10-10,Ingeniør- og ikt-fag,Nøkkelinformasjon ,['nøkkelinformasjon'],0
9649569,2017-10-10,Ingeniør- og ikt-fag,Ref ,['ref'],0
9649569,2017-10-10,Ingeniør- og ikt-fag,nr ,['nr'],0
9649569,2017-10-10,Ingeniør- og ikt-fag,For elektronisk søknadsskjema ,"['elektronisk', 'søknadsskjem']",0
9582699,2017-05-23,Ingeniør- og ikt-fag,ARBEIDSOPPGAVER ,['arbeidsoppgav'],0
