Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9575387,2017-05-10,"Jordbruk, skogbruk og fiske",Jobbnorge ID ,"['jobbnorg', 'id']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",stroke ,['strok'],0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",webkit ,['webkit'],0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",spacing px ,"['spacing', 'px']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",widows word ,"['widows', 'word']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",space normal ,"['spac', 'normal']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",white ,['whit'],0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",transform none ,"['transform', 'non']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",indent px ,"['indent', 'px']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",align start ,"['align', 'start']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",text ,['text'],0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",width px ,"['width', 'px']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",orphans auto ,"['orphan', 'auto']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",height ,['height'],0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",line ,['lin'],0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",spacing normal ,"['spacing', 'normal']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",letter ,['lett'],0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",weight normal ,"['weight', 'normal']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",variant normal ,"['variant', 'normal']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",style normal ,"['styl', 'normal']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",size px ,"['siz', 'px']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",serif ,['serif'],0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",family Arial Helvetica sans ,"['family', 'arial', 'helvetic', 'san']",0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",px ,['px'],0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",background ,['background'],0
9617992,2017-08-11,"Jordbruk, skogbruk og fiske",color,['color'],0
9605765,2017-07-05,"Jordbruk, skogbruk og fiske",I blandt må man stoppe opp litt ,"['bland', 'må', 'stopp', 'litt']",0
9519654,2017-01-30,"Jordbruk, skogbruk og fiske",Søknadsfrist ,['søknadsfrist'],0
9519654,2017-01-30,"Jordbruk, skogbruk og fiske", fast stilling ,"['fast', 'stilling']",0
9519654,2017-01-30,"Jordbruk, skogbruk og fiske",Park og Idrett enhet eiendom ,"['park', 'idrett', 'enh', 'eiendom']",0
9576617,2017-05-11,"Jordbruk, skogbruk og fiske",Den norske kirke,"['norsk', 'kirk']",0
9576617,2017-05-11,"Jordbruk, skogbruk og fiske",mai ,['mai'],0
9576617,2017-05-11,"Jordbruk, skogbruk og fiske",innen ,[],0
9576617,2017-05-11,"Jordbruk, skogbruk og fiske",Kortfattet søknad sendes oss på ,"['kortfatt', 'søknad', 'send']",0
9576617,2017-05-11,"Jordbruk, skogbruk og fiske",august ,['august'],0
9576617,2017-05-11,"Jordbruk, skogbruk og fiske",Steinkjer kirkelige fellesråd søkeretter sommerhjelp for perioden juni ,"['steinkj', 'kirk', 'fellesråd', 'søkerett', 'sommerhjelp', 'period', 'juni']",0
9605765,2017-07-05,"Jordbruk, skogbruk og fiske",For elektronisk søknadsskjema ,"['elektronisk', 'søknadsskjem']",0
9605765,2017-07-05,"Jordbruk, skogbruk og fiske",Hjemmeside ,['hjemmesid'],0
9605765,2017-07-05,"Jordbruk, skogbruk og fiske",Ansettelsesforhold Fast ,"['ansettelsesforhold', 'fast']",0
9605765,2017-07-05,"Jordbruk, skogbruk og fiske",Lønn etter avtale ,"['lønn', 'avtal']",0
9605765,2017-07-05,"Jordbruk, skogbruk og fiske",Sted Trondheim ,"['sted', 'trondheim']",0
9605765,2017-07-05,"Jordbruk, skogbruk og fiske",Så tar vi det derfra ,"['tar', 'derfr']",0
9605765,2017-07-05,"Jordbruk, skogbruk og fiske",jeg vil gjerne høre fra deg ,"['gjern', 'hør']",0
9605765,2017-07-05,"Jordbruk, skogbruk og fiske",Ring meg ,['ring'],0
