Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9666153,2017-11-08,Kontorarbeid,Problemløsing og veiledning av kunde i ulike kanaler ,"['problemløsing', 'veiledning', 'kund', 'ulik', 'kanal']",1
9666153,2017-11-08,Kontorarbeid,Primært ,['primært'],1
9666153,2017-11-08,Kontorarbeid,ta eierskap til oppgavene ,"['ta', 'eierskap', 'oppgav']",1
9664186,2017-11-06,Kontorarbeid,Ivareta gjestenes sikkerhet ,"['ivaret', 'gjest', 'sikker']",1
9665121,2017-11-07,Kontorarbeid,Seksjon for økonomitjenester har som hovedoppgave transaksjonelle økonomitjenester som ivaretar funksjoner knyttet til lønn bestilling inngående faktura og avstemming ,"['seksjon', 'økonomitjenest', 'hovedoppgav', 'transaksjonell', 'økonomitjenest', 'ivaret', 'funksjon', 'knytt', 'lønn', 'bestilling', 'inngå', 'faktur', 'avstemming']",1
9665121,2017-11-07,Kontorarbeid,Bidra til utvikling av prosesser og rutiner knyttet til variabel lønn og reise ,"['bidr', 'utvikling', 'prosess', 'rutin', 'knytt', 'variabel', 'lønn', 'reis']",1
9677542,2017-11-28,Kontorarbeid,AS er et rekrutteringsselskap med spesialkunnskap på personalutleie og rekruttering innen salg produksjon håndverk ledelse økonomi regnskap samt administrative funksjoner i offentlig og privat sektor ,"['as', 'rekrutteringsselskap', 'spesialkunnskap', 'personalutlei', 'rekruttering', 'salg', 'produksjon', 'håndverk', 'led', 'økonomi', 'regnskap', 'samt', 'administrativ', 'funksjon', 'offent', 'privat', 'sektor']",1
9677542,2017-11-28,Kontorarbeid,På vegne av kunde en håndverksbedrift søker vi en regnskapsfører kontormedarbeider ,"['vegn', 'kund', 'håndverksbedrift', 'søk', 'regnskapsfør', 'kontormedarbeid']",1
9677542,2017-11-28,Kontorarbeid,Hovedansvarsområdet vil være regnskap fra A Å og i tillegg vil det tilkomme en del administrative oppgaver ,"['hovedansvarsområd', 'vær', 'regnskap', 'a', 'tillegg', 'tilkomm', 'del', 'administrativ', 'oppgav']",1
9671350,2017-11-16,Kontorarbeid,Lagermedarbeidere til varemottak ekspedering av kunder og ordreplukk ,"['lagermedarbeider', 'varemottak', 'ekspedering', 'kund', 'ordreplukk']",1
