Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9595014,2017-06-14,Ledere,Vi søker blåruss med stål i ben og armer ,"['søk', 'blåruss', 'stål', 'ben', 'arm']",0
9492093,2016-11-24,Ledere,Du liker å jobbe med mennesker og butikk ,"['lik', 'jobb', 'mennesk', 'butikk']",0
9492093,2016-11-24,Ledere,Kunnskap om kjededrift og merkevare bygging vil vektlegges ,"['kunnskap', 'kjededrift', 'merkevar', 'bygging', 'vektlegg']",0
9492093,2016-11-24,Ledere,AS vil du jobbe tett opp mot våre butikker og leverandører ,"['as', 'jobb', 'tett', 'butikk', 'leverandør']",0
9492093,2016-11-24,Ledere,Som salgssjef i ,['salgssjef'],0
6230669,2013-08-07,Ledere,Søknadsfrist mandag ,"['søknadsfrist', 'mandag']",0
6230669,2013-08-07,Ledere, mob ,['mob'],0
6230669,2013-08-07,Ledere,spørsmål vedrørende disse stillingene kan rettes til daglig leder ,"['spørsmål', 'vedrør', 'diss', 'stilling', 'rett', 'dag', 'led']",0
9492093,2016-11-24,Ledere,Er dette deg ,['dett'],0
6230669,2013-08-07,Ledere,Evt ,['evt'],0
6230669,2013-08-07,Ledere, Finn ,['finn'],0
6230669,2013-08-07,Ledere,no ,[],0
6230669,2013-08-07,Ledere,For mer informasjon om stillingen se finn ,"['mer', 'informasjon', 'stilling', 'se', 'finn']",0
6230669,2013-08-07,Ledere,Vi har siden hatt en meget god utvikling innen produktområdet Festemidler og for å kunne fortsette denne utviklingen søker vi etter offensive og ambisiøse medarbeidere ,"['sid', 'hatt', 'god', 'utvikling', 'produktområd', 'festemidl', 'kunn', 'fortsett', 'denn', 'utvikling', 'søk', 'offensiv', 'ambisiøs', 'medarbeider']",0
9050711,2015-07-06,Ledere,br,['br'],0
9050711,2015-07-06,Ledere, Rådhuset Trondheim ,"['rådhus', 'trondheim']",0
9050711,2015-07-06,Ledere,Munkegt ,['munkegt'],0
6230669,2013-08-07,Ledere,kode ,['kod'],0
9050711,2015-07-06,Ledere,eller ,['ell'],0
9492093,2016-11-24,Ledere,Arbeidsoppgaver ,['arbeidsoppgav'],0
9492093,2016-11-24,Ledere,og kampanjeoppfølging ,['kampanjeoppfølging'],0
7448270,2014-02-26,Ledere,We are looking for an enthusiastic professional with strong motivation to take on challenging tasks in a competitive and demanding international environment ,"['we', 'are', 'looking', 'an', 'enthusiastic', 'professional', 'with', 'strong', 'motivation', 'to', 'tak', 'on', 'challenging', 'task', 'in', 'a', 'competitiv', 'and', 'demanding', 'international', 'environment']",0
