Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9674002,2017-11-21,Meglere og konsulenter,for å komme til vår hjemmeside hvor du kan registrere din CV og søke stillingen ,"['komm', 'hjemmesid', 'registrer', 'cv', 'søk', 'stilling']",0
9646554,2017-10-05,Meglere og konsulenter,Oppgavene i stillingene er drift og økonomistyring innen eksternfinansiering herunder budsjettering og kvalitetssikring på alle utgående søknader ,"['oppgav', 'stilling', 'drift', 'økonomistyring', 'eksternfinansiering', 'herund', 'budsjettering', 'kvalitetssikring', 'all', 'utgå', 'søknad']",0
9646554,2017-10-05,Meglere og konsulenter,Prosjektøkonomene gir rådgivning og opplæring til prosjektledere angående forståelse av lov ,"['prosjektøkonom', 'gir', 'rådgivning', 'opplæring', 'prosjektleder', 'angå', 'forstå', 'lov']",0
9656444,2017-10-23,Meglere og konsulenter,økonomisk virksomhet gjerne fra BM i en bank eller liknende ,"['økonomisk', 'virksom', 'gjern', 'bm', 'bank', 'ell', 'likn']",0
9656444,2017-10-23,Meglere og konsulenter,Din bakgrunn er fra finansiell ,"['bakgrunn', 'finansiell']",0
9656444,2017-10-23,Meglere og konsulenter,Dette gjør du sammen med teamet for vekst og internasjonalisering i og gode samarbeidspartnere ,"['dett', 'gjør', 'samm', 'team', 'vekst', 'internasjonalisering', 'god', 'samarbeidspartner']",0
9656444,2017-10-23,Meglere og konsulenter,Vi søker etter en utadvendt og nysgjerrig entusiast som ønsker å bidra i utviklingen med å få flere vekstselskaper i Trøndelag ,"['søk', 'utadvend', 'nysgjerr', 'entusi', 'ønsk', 'bidr', 'utvikling', 'få', 'fler', 'vekstselskap', 'trøndelag']",0
9656444,2017-10-23,Meglere og konsulenter,Dine arbeidsoppgaver vil være å samarbeide med våre kunder i utvikling og vurdering av verdiskapende prosjekter ,"['arbeidsoppgav', 'vær', 'samarbeid', 'kund', 'utvikling', 'vurdering', 'verdiskap', 'prosjekt']",0
9646554,2017-10-05,Meglere og konsulenter,Det kreves nært samarbeid med øvrige tilsatte ved fakultetets enheter ,"['krev', 'nært', 'samarbeid', 'øvr', 'tilsatt', 'fakultet', 'enhet']",0
9646554,2017-10-05,Meglere og konsulenter,Se mer om dette på http www ,"['se', 'mer', 'dett', 'http', 'www']",0
9646554,2017-10-05,Meglere og konsulenter,ntnu ,['ntnu'],0
9646554,2017-10-05,Meglere og konsulenter,no adm okonomi ,"['adm', 'okonomi']",0
9646554,2017-10-05,Meglere og konsulenter,Det er ønskelig med oppstart ,"['ønsk', 'oppstart']",0
9646554,2017-10-05,Meglere og konsulenter,Krav og ønsker til bakgrunn og kompetanse ,"['krav', 'ønsk', 'bakgrunn', 'kompetans']",0
9656444,2017-10-23,Meglere og konsulenter,legger i sin rekruttering vekt på å sikre et mangfold med hensyn til kjønn alder og kulturell bakgrunn ,"['legg', 'rekruttering', 'vekt', 'sikr', 'mangfold', 'hensyn', 'kjønn', 'ald', 'kulturell', 'bakgrunn']",0
