Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9655186,2017-10-19,Serviceyrker og annet arbeid,Søknad med CV sendes til min epostadr ,"['søknad', 'cv', 'send', 'epostadr']",0
9675612,2017-11-23,Serviceyrker og annet arbeid,Ref ,['ref'],0
9675612,2017-11-23,Serviceyrker og annet arbeid,nr ,['nr'],0
9675612,2017-11-23,Serviceyrker og annet arbeid,For elektronisk søknadsskjema ,"['elektronisk', 'søknadsskjem']",0
9667488,2017-11-09,Serviceyrker og annet arbeid,Vi søker renholder ca timer pr ,"['søk', 'renhold', 'ca', 'tim', 'pr']",0
9667488,2017-11-09,Serviceyrker og annet arbeid,uke med tiltredelse snarest ,"['uke', 'tiltred', 'snarest']",0
9595206,2017-06-15,Serviceyrker og annet arbeid,Vi har nå en ledig stilling som frisør på Stjørdal ,"['led', 'stilling', 'frisør', 'stjørdal']",0
9595206,2017-06-15,Serviceyrker og annet arbeid,Vi har lønninger som kan måle seg med det beste i bransjen ,"['lønning', 'mål', 'best', 'bransj']",0
9595206,2017-06-15,Serviceyrker og annet arbeid,time er kr ,"['tim', 'kr']",0
9595206,2017-06-15,Serviceyrker og annet arbeid,I tillegg har vi gode provisjonsordninger og uker betalt ferie ,"['tillegg', 'god', 'provisjonsordning', 'uker', 'betalt', 'feri']",0
9683534,2017-12-06,Serviceyrker og annet arbeid,Securitas AS i Trøndelag har behov for ferievikarer i sommer ,"['securit', 'as', 'trøndelag', 'behov', 'ferievikar', 'somm']",0
9683534,2017-12-06,Serviceyrker og annet arbeid,I tillegg søker vi fleksible vektere til ulike tjenester ved flere av våre tjenestesteder allerede nå ,"['tillegg', 'søk', 'fleksibl', 'vekter', 'ulik', 'tjenest', 'fler', 'tjenestested', 'aller']",0
9683534,2017-12-06,Serviceyrker og annet arbeid,Arbeidsoppgaver og arbeidstid vil variere etter tjenestegren men det må påregnes arbeid både helg og kveld natt ,"['arbeidsoppgav', 'arbeidstid', 'varier', 'tjenestegr', 'må', 'påregn', 'arbeid', 'båd', 'helg', 'kveld', 'natt']",0
9683534,2017-12-06,Serviceyrker og annet arbeid,Opplæring vil bli gitt ,"['opplæring', 'gitt']",0
9683534,2017-12-06,Serviceyrker og annet arbeid,For sommervikarer forutsettes det høy grad av tilgjengelighet i juni juli og august ,"['sommervikar', 'forutsett', 'høy', 'grad', 'tilgjeng', 'juni', 'juli', 'august']",0
9683534,2017-12-06,Serviceyrker og annet arbeid,Krav til alle søkere er fullført vekterkurs trinn ,"['krav', 'all', 'søker', 'fullført', 'vekterkur', 'trinn']",0
9683534,2017-12-06,Serviceyrker og annet arbeid, fagbrev eller fullført opplæring i henhold til nytt ,"['fagbrev', 'ell', 'fullført', 'opplæring', 'henhold', 'nytt']",0
9683534,2017-12-06,Serviceyrker og annet arbeid,Vårt behov for medarbeidere vil bli vurdert fortløpende ,"['vårt', 'behov', 'medarbeider', 'vurder', 'fortløp']",0
9675612,2017-11-23,Serviceyrker og annet arbeid,Nøkkelinformasjon ,['nøkkelinformasjon'],0
