Stilling id,Registrert dato,Yrke grovgruppe,Setning,Pros. Setning,Kategori
9603794,2017-07-02,Undervisning,Jobbnorge ID of ,"['jobbnorg', 'id', 'of']",0
9643837,2017-09-29,Undervisning,The appointment of the ,"['the', 'appointment', 'of', 'the']",0
9643837,2017-09-29,Undervisning,will be for years and will be made according to Norwegian guidelines for universities and university colleges and to the general regulations regarding university employees ,"['will', 'be', 'year', 'and', 'will', 'be', 'mad', 'according', 'to', 'norwegian', 'guidelin', 'universiti', 'and', 'university', 'col', 'and', 'to', 'the', 'general', 'regulation', 'regarding', 'university', 'employe']",0
9643837,2017-09-29,Undervisning,The position as postdoctoral researcher is remunerated according to the ,"['the', 'position', 'as', 'postdoctoral', 'research', 'is', 'remunerated', 'according', 'to', 'the']",0
9643837,2017-09-29,Undervisning,salary scale ,"['salary', 'scal']",0
9643837,2017-09-29,Undervisning,There is a deduction for superannuation contribution ,"['ther', 'is', 'a', 'deduction', 'superannuation', 'contribution']",0
9643837,2017-09-29,Undervisning,The national labor force must reflect the composition of the population to the greatest possible extent ,"['the', 'national', 'labor', 'forc', 'must', 'reflect', 'the', 'composition', 'of', 'the', 'population', 'to', 'the', 'greatest', 'possibl', 'extent']",0
9643837,2017-09-29,Undervisning,NTNU wants to increase the proportion of women in its scientific posts ,"['ntnu', 'want', 'to', 'increas', 'the', 'proportion', 'of', 'wom', 'in', 'its', 'scientific', 'post']",0
9643837,2017-09-29,Undervisning,Women are encouraged to apply ,"['wom', 'are', 'encouraged', 'to', 'apply']",0
9643837,2017-09-29,Undervisning,The position adheres to the ,"['the', 'position', 'adher', 'to', 'the']",0
9643837,2017-09-29,Undervisning, s policy of equal opportunity regardless of ethnicity age and gender ,"['s', 'policy', 'of', 'equal', 'opportunity', 'regardless', 'of', 'ethnicity', 'age', 'and', 'gend']",0
9643837,2017-09-29,Undervisning,quality papers ,"['quality', 'pap']",0
9643837,2017-09-29,Undervisning,For more information about the position please contact ,"['mor', 'information', 'about', 'the', 'position', 'pleas', 'contact']",0
9643837,2017-09-29,Undervisning,ntnu ,['ntnu'],0
9643837,2017-09-29,Undervisning,no materialteknologi english and http www ,"['materialteknologi', 'english', 'and', 'http', 'www']",0
