,index,Stilling id,Stillingsbeskrivelse vasket,Registrert dato,Arbeidssted fylke,Arbeidssted land,Yrke grovgruppe
0,556,9565035,". er blant Norges eldste og mest anerkjente handelsbedrifter. Siden 1739 har det vært et veletablert konsept som står for kvalitet og trygghet. I de senere år har. utviklet og fornyet seg til å bli en landsomfattende, moderne butikkjede med butikker over hele Norge. Vi tilbyr kvalitetsprodukter i tidsriktig design relatert til bespisning, tilberedning av mat og innredning av hjemmet. en kombinasjon av tradisjonsrike produkter og moderne nyheter. Du finner et stort utvalg av glass, servise, kjøkkenartikler og gaver til enhver anledning. Vårt sortiment består både av velkjente varemerker og egne produkter som er laget spesielt for. Det er vår historie, produktkunnskap og ønsket om å engasjere og skape markedet beste kjøpeopplevelse som gjør oss unike. er for folk flest. til hverdag og fest. Er du den beste til å jobbe i vår butikk. Til vår butikk på. søker vi nå etter en serviceinnstilt sesongmedarbeider til sommeren. I tillegg til faste vakter er det ønskelig at du er fleksibel til å ta ekstravakter ved behov. Vi søker deg som har en utpreget serviceinnstilling med glimt i øyet, og som trives med salg og butikkarbeid. Du jobber etter våre verdier og sørger for at vi skaper markedets beste kjøpsopplevelse. Arbeidsoppgaver. Aktivt salgsarbeid. Varehåndtering og vareeksponering. Varetelling. Sikre at butikken er innbydende og selgende. Kasseoppgjør. Rutiner som delegeres fra butikksjef .  Nøkkelkvalifikasjoner . Salgsorientert. Erfaring fra salg service, gjerne fra detaljhandel er ønskelig, men ikke et krav. Ansvarsbevisst og pliktoppfyllende. Trives med salg og butikkarbeid. Engasjert og blid. Over 18 år  . Å jobbe i butikk medfører spennende og varierte arbeidsoppgaver.  Vi er en kjede i positiv utvikling som satser på våre medarbeidere i et trivelig og uformelt miljø. Gode karrieremessige muligheter, og gunstig personalrabatt ordning.  Lønn etter tariff. Søknadsfrist snarest. Søknader behandles fortløpende, og kun søknader som sendes elektronisk blir vurdert. Vi har desverre ikke kapasitet til å håndtere søknader som kommer via e. post. Spørsmål vedrørende stillingen bes rettet på e. post til Regionsjef. til søknadsskjema: Send søknad",2017-04-21,Nordland,Norge,Butikk- og salgsarbeid
1,680,9545900,"Vi søker en dyktig superselger med stort pågangsmot som trives med å jobbe mot felles mål. Du er imøtekommende av natur, sosial og har en stor interesse for mote og trender. Vårt mål er at alle våre kunder skal få en positiv handleopplevelse, og vi er stolte av å kunne tilby produkter av høy kvalitet. Arbeidsoppgaver.  Bidra til sunn drift av butikk, eventyrlige salgstall og oppnåelse av budsjett. Varehåndtering og oppfølging av kampanjer og salgsaktiviteter. Yte til enhver tid den beste kundeservicen i bransjen. Personlige egenskaper. Resultatorientert og samarbeidsvillig med stor arbeidskapasitet. Kreativ og har evnen til å inspirer andre. Trives i et fartsfylt miljø. Kvalifikasjoner.  Fullført videregående skole og oppnådd generell studiekompetanse. Relevant arbeidserfaring kan kompensere for manglende utdannelse. Har salgserfaring fra tilsvarende bransje. Er fleksibel og kan stille opp i ukedager og helger, samt ferier og når butikken har behov. Vi tilbyr.  Muligheten til å jobbe med produkter av høy kvalitet i et dynamisk selskap. Gode karriere. og utviklingsmuligheter i et veletablert konsern. Konkurransedyktige betingelser. Fantastiske personalkjøpsordninger. Link til søknadsskjema: Send søknad",2017-03-15,Nordland,Norge,Butikk- og salgsarbeid
2,831,9583439,"Butikkmedarbeider, deltid (annenhver helg). Søk på stillingen. Omfang: Annenhver helg og ved behov. (Mer jobb i ferier må påberegnes). Du må være.  Minst 18 år. Pliktoppfyllende. Selvstendig. Fleksibel. Hvis du i tillegg er engasjert, har godt humør og er klar til å yte fast og friendly service i et utfordrende, morsomt og hektisk arbeidsmiljø, er du kanskje den rette for oss. Vi søker deg med gode holdninger og arbeidsmoral, du jobber godt alene (men også i team), og du kan stille opp på kort varsel. Du vil være problemløser for travle kunder som har små og store utfordringer i hverdagen, og du må ha et talent for å yte service og du vil være særdeles viktig for at kundene skal trives og få en god opplevelse. Som stasjonsmedarbeider vil du få ansvar for egne arbeidsoppgaver som blant annet åpning og stenging av stasjonen. Det å ha interesse for rengjøring og matlaging vil være en fordel. Er du et salgs. og servicetalent og ønsker å være et av våre ansikt utad. Hvis dette høres interessant ut må vi absolutt ta en prat :) Send søknad med CV til Karoline på. a. eller kom innom oss på Circle K Sortland. Søknadsfrist: 31. mai 2017. Oppstart: Mai. august 2017. Sektor: Privat",2017-05-24,Nordland,Norge,Butikk- og salgsarbeid
3,901,9585857,"Vi søker etter 2 nye medarbeider i kasse informasjon. 1 i fast stilling og 1 i et års vikariat med mulighet for fast jobb. begge stillingene i full tid. 2 skift turnus i våre åpningstider 7. 20. lørdagsjobbing må påberegnes. Du.  Trives med kundebehandling. Liker å ta i et tak og er løsningsorientert. Er sosial og engasjert. Er fleksibel og kan jobbe i turnus. Har erfaring fra varehandel eller tilsvarend. Vi vil gi deg.  Kunnskap og erfaring. Lønn etter avtale. Interne karrieremuligheter. En verktøykasse full av glade kollegaer. Er du den vi leter etter. Søknadsfrist 11. juni 2017. Har du spørsmål om stillingen, ta kontakt med daglig leder. , tlf. Søknad med CV sendes til. Enhver søknad behandles konfidensielt. ",2017-05-29,Nordland,Norge,Butikk- og salgsarbeid
4,1017,9581712,". Om du har erfaring med salg eller ikke, gir vi deg den profesjonelle salgsopplæringen du trenger for å lykkes som selger hos oss. Vi har høy fokus på videreutvikling av våre selgere i form av jevnlige salgstreninger, kurs og opplæringsmoduler. Nå har du sjansen til å bli en del av Norges, og Europas ledende alarmselskap. Ve. Som salgskonsulent hos vår. , vil du etter opplæring på vårt hovedkontor i Oslo, være spesialist på Verisure alarmsystemer og sikkerhet i hjemmet. Din hverdag vil bestå i å hjelpe kunder med å finne alarmløsninger som passer hjemmet best. Med din seriøsitet og glimt i øyet vil du selge trygghet og sjelefred til våre kunder gjennom et unikt utvalg produkter og tjenester innen boligalarm og det tilkoblede smarte hjemmet. Har du en indre motivasjon for salg som du ønsker å videreutvikle i sikkerhetsbransjen. Hos oss får du fastlønn, i tillegg til at vi har gode provisjon og bonusmodeller.   Du vil bli tilbudt profesjonelle salgskurs, og vil få gode utviklingsmuligheter i et inspirerende miljø som vi er svært stolte av. Vi ser etter deg som motiveres av salg samtidig som du motiverer andre, og har en ambisjon om å bygge deg en god CV innen salg. Du må kunne kommunisere godt på norsk til våre kunder. Med ditt salgstalent vil du selge til både privat og næring, både salg du oppsøker selv og i form av bookede møter.  Er du den vi ser etter. Ta et skritt nærmere drømmejobben. Alle søkere blir vurdert fortløpende. Send inn søknad og CV allerede i dag. Ikke nøl med å ta kontakt med.  . på mob. nr. , hvis du har spørsmål angående stillingen. Link til søknadsskjema: Send søknad",2017-05-22,Nordland,Norge,Butikk- og salgsarbeid
5,1858,9557413,.  . Vi ønsker at du er. Interessante arbeidsoppgaver i et firma i vekst. ,2017-04-04,Nordland,Norge,Butikk- og salgsarbeid
6,2172,9582592,". søker nye medarbeidere til. Butikken drives og eies av. SA. omsatte i 2016 for kr. 9 813 000. Vi søker.  2 butikkmedarbeidere. Tiltredelse 7. august 2014. Det er ønskelig med erfaring fra lignende arbeid. Lønn etter fastsatt tariff. For nærmere informasjon ring Kenneth på telefon: 948 06 478. Skriftlig søknad md CV sendes til. SA. Meieriveien 1. 8646 Korgen, eller på e. post.  a. style. ""color.  0000ff. font. family: Calibri. font. size. .  . ",2017-05-23,Nordland,Norge,Butikk- og salgsarbeid
7,3179,9598298,". ANS søker to nye medarbeidere til salg og service. Vi skal ansette en medarbeider i. og en medarbeider i. for salg av kvalitetsprodukter. Søkere bør være over gjennomsnittet interessert i salg og markedsføring, like å være på veien og yte maksimal service for våre kunder. Du må ha førerkort klasse B. Du må være arbeidssom og lojal. Du må ha gode referanser. Du må ha plettfri vandel. Vi tilbyr. Fast ansettelse. Fast lønn pluss bonus. Full opplæring og oppfølging. Bilordning. Utviklingskonferanser i inn og utland. Ansvarlig for eget fylke. Send søknad og CV til.  ",2017-06-21,Nordland,Norge,Butikk- og salgsarbeid
8,3555,9668392,". For å svare på markedets etterspørsel, trenger vår kunde flere bedriftsselgere til deres bedriftssatsning på Helgeland. i Rana. For godt etablert og markedsledende bedrift i sterk vekst søker vi fremoverlent og proaktiv selger. Bedriften har nærmere 70 ansatte og et salgsteam på 7 selgere. Videre har de sterkt fokus på god etikk og profesjonell framtoning. Du drives av salgsresultater, trigges av utfordringer, trives med aktivt salg, aktiv markedsføring og markedsansvar. Mye av dagen går i kundebesøk og oppsøkende aktivitet i SMB markedet. salget foregår for det meste ute hos kundene. Arbeidsoppgaver. Systematisk markedsføring og salg nåværende og nye kunder Bygge profesjonelt nettverk og kundeportefølje Gjennomføre presentasjoner av produkter løsninger hos kunder Holde foredrag og delta aktivt i næringsforeninger Utarbeide og skreddersy tilbud, delta aktivt i forhandlinger og kontraktsutarbeidelser Logging og enkel rapportering. Ønskede kvalifikasjoner. Har drevet med markedsføring og salg mot bedriftssegment Kan vise til gode oppnådde salgsresultater Meget god på kommunikasjon. muntlig og skriftlig Evner å jobbe strukturert og oppdatert på hva som skjer i ditt markedsområde. Personlige egenskaper. Drives av salg. trives med oppsøkende salg Proaktiv, profesjonell og engasjert Aktiv bidragsyter til et godt og positivt arbeidsmiljø Tillitsvekkende framtoning. du selger på tillit. Har konkurranseinstinkt og er målrettet Tør å ta ansvar og være aktiv medspiller internt og eksternt. Vi tilbyr. Konkurransedyktige lønnsbetingelser er en selvfølge Spennende arbeidsplass med mange muligheter Meget godt miljø med dyktige, kompetente og entusiastiske kolleger God produktopplæring og innføring i bedriftens tjenester Faglig støtte og veiledning og gode faglige utviklingsmuligheter Seriøs arbeidsgiver i sterk vekst Ordnede arbeidsforhold Stort ansvar og frihet til å påvirke utviklingen fremover Interne fagsamlinger og KickOff. Send CV og kortfattet søknad til Lin hos Back. vi gjennomgår søknader fortløpende. Alle henvendeler behandles konfidensielt inntil annet er avtalt med deg. Vi ser fram til å høre fra deg. ",2017-11-10,Nordland,Norge,Butikk- og salgsarbeid
9,3678,9518144,"Nettrakett lever for og av å skape merverdi og målbare resultater for våre kunder. Nå skal vi skape regionens største og beste digitale byrå fra vårt kontor i Bø i Vesterålen. For å få dette til trenger vi flere kloke, energiske og kreative hoder som vil være med å påvirke utvikling av både byrået og kulturen i positiv retning. Er du en webutvikler som brenner for brukervennlige og effektive løsninger. Har du kontroll på universell utforming og skriver kode som mennesker kan lese og forstå. Har du i tillegg erfaring med, eller ønsker å spesialisere deg på WordPress. Da kan det godt hende at du passer perfekt i rollen som webutvikler hos oss.  . Du må. Har skikkelig god greie på HTML, CSS, PHP, jQuery og Javascript. Er eller ønsker å bli en ekspert på WordPress. Forstår grunnleggende teknisk SEO. Er opptatt av dokumentasjon og sikkerhet. Har et øye for god design og gjerne har erfaring med Photoshop. Er strukturert, tar ansvar og har stor gjennomføringskraft. Tåler til tider høyt tempo siden vi er svært opptatt av service og effektivitet i våre kunders prosjekter. Er sosial og liker å kommunisere med andre mennesker. Har et positivt livssyn og vil være med på å skape et godt, hyggelig og ikke minst morsomt arbeidsmiljø. Liker å dele av din kunnskap. Vi tilbyr. Varierende arbeidsdager med stadig nye og spennende prosjekter. Svært gode utviklingsmuligheter. Vi bruker minst 15. av vår tid til å oppdatere vår kunnskap. Fastlønn. Fleksibel arbeidstid og ferier. Omgivelser bestående av Norges vakreste natur, frisk luft og svært lite kø. Høres dette ut som en stilling for deg. Send oss en utfyllende søknad med kodeeksempler og detaljer rundt din erfaring. Søknadsfrist: . Arbeidssted. Tiltredelse: . Søknad med CV sendes til:  . Har du spørsmål til stillingen. Ta kontakt med. :  . Kjenner du noen som passer til denne stillingen. Del den, da vel. ",2017-01-26,Nordland,Norge,Butikk- og salgsarbeid
