,Unnamed: 0,Week,Date,Ads
0,0,1,2017-01-01,33
1,1,2,2017-01-08,25
2,2,3,2017-01-15,18
3,3,4,2017-01-22,36
4,4,5,2017-01-29,27
5,5,6,2017-02-05,23
6,6,7,2017-02-12,22
7,7,8,2017-02-19,26
8,8,9,2017-02-26,13
9,9,10,2017-03-05,31
10,10,11,2017-03-12,18
11,11,12,2017-03-19,28
12,12,13,2017-03-26,33
13,13,14,2017-04-02,17
14,14,15,2017-04-09,6
15,15,16,2017-04-16,31
16,16,17,2017-04-23,26
17,17,18,2017-04-30,17
18,18,19,2017-05-07,20
19,19,20,2017-05-14,20
20,20,21,2017-05-21,31
21,21,22,2017-05-28,17
22,22,23,2017-06-04,19
23,23,24,2017-06-11,18
24,24,25,2017-06-18,15
25,25,26,2017-06-25,24
26,26,27,2017-07-02,41
27,27,28,2017-07-09,19
28,28,29,2017-07-16,5
29,29,30,2017-07-23,8
30,30,31,2017-07-30,8
31,31,32,2017-08-06,17
32,32,33,2017-08-13,20
33,33,34,2017-08-20,31
34,34,35,2017-08-27,26
35,35,36,2017-09-03,18
36,36,37,2017-09-10,20
37,37,38,2017-09-17,21
38,38,39,2017-09-24,27
39,39,40,2017-10-01,25
40,40,41,2017-10-08,23
41,41,42,2017-10-15,37
42,42,43,2017-10-22,37
43,43,44,2017-10-29,31
44,44,45,2017-11-05,37
45,45,46,2017-11-12,51
46,46,47,2017-11-19,28
47,47,48,2017-11-26,30
48,48,49,2017-12-03,35
49,49,50,2017-12-10,28
50,50,51,2017-12-17,13
51,51,52,2017-12-24,0
