Week,Date,Ads
1,2018-01-01,18
2,2018-01-08,25
3,2018-01-15,20
4,2018-01-22,20
5,2018-01-29,18
6,2018-02-05,11
7,2018-02-12,16
8,2018-02-19,16
9,2018-02-26,28
10,2018-03-05,25
11,2018-03-12,25
12,2018-03-19,21
13,2018-03-26,3
14,2018-04-02,20
15,2018-04-09,26
16,2018-04-16,33
17,2018-04-23,34
18,2018-04-30,26
19,2018-05-07,18
20,2018-05-14,20
21,2018-05-21,28
22,2018-05-28,21
23,2018-06-04,32
24,2018-06-11,20
25,2018-06-18,17
26,2018-06-25,19
27,2018-07-02,26
28,2018-07-09,21
29,2018-07-16,16
30,2018-07-23,17
31,2018-07-30,10
32,2018-08-06,24
33,2018-08-13,21
34,2018-08-20,23
35,2018-08-27,19
36,2018-09-03,21
37,2018-09-10,25
38,2018-09-17,23
39,2018-09-24,20
40,2018-10-01,21
41,2018-10-08,17
42,2018-10-15,11
43,2018-10-22,28
44,2018-10-29,21
45,2018-11-05,13
46,2018-11-12,11
47,2018-11-19,14
48,2018-11-26,20
49,2018-12-03,16
50,2018-12-10,12
51,2018-12-17,9
52,2018-12-24,0
