Stilling Id,Antall ord
9526424,266
9508422,207
9530547,125
9530485,102
9530589,257
9531642,44
9531475,49
9532196,33
9532439,92
9531999,150
9524105,348
9523832,136
9531334,450
9531092,273
9531665,30
9531838,191
9532359,30
9532077,207
9531854,71
9504125,531
9517364,264
9517946,82
9517703,124
9517331,66
9533194,456
9533017,28
9530038,293
9505573,55
9533000,87
9508483,39
9530944,301
9530922,149
9531405,344
9531250,36
9531982,181
9532332,477
9500466,201
9500604,320
9500631,259
9499799,30
9502041,317
9503245,296
9585273,49
9583455,391
9565568,172
9559327,242
9559396,115
9559052,173
9563042,197
9576180,81
9581088,382
9499377,237
9499518,127
9499473,338
9500677,171
9502865,104
9502524,20
9502176,252
9502564,157
9501091,149
9535780,145
9526777,85
9526591,320
9538124,187
9502908,155
9499229,386
9503267,151
9499572,150
9499674,129
9499504,50
9499425,121
9573376,138
9583895,80
9565838,206
9565951,35
9563227,14
9559417,104
9558878,16
9559149,110
9585500,150
9585415,404
9583786,142
9584138,302
9566170,178
9566095,184
9565879,168
9526370,187
9526153,220
9538671,149
9538561,115
9539582,205
9539753,169
9555326,119
9554847,156
9540286,193
9555078,96
9539880,68
9540059,194
9515612,201
9515485,310
9536039,299
9504528,133
9528197,188
9528296,22
9527738,17
9507631,554
9507972,133
9508232,154
9499333,57
9499539,459
9499774,95
9499217,133
9528113,376
9528017,191
9526163,34
9502814,110
9500483,236
9585190,180
9592804,24
9566002,43
9559178,132
9559401,113
9559248,240
9559367,80
9562975,367
9538510,139
9539918,38
9539924,61
9539802,520
9539585,143
9539474,207
9540274,80
9539937,318
9555132,147
9554966,37
9555216,12
9511895,149
9503195,181
9536051,165
9526042,168
9526830,311
9527690,29
9527677,10
9527680,32
9536801,52
9559094,183
9559147,165
9559362,451
9559007,225
9563049,153
9502321,334
9500858,66
9501798,118
9503005,67
9500649,129
9503253,276
9503662,68
9499911,18
9502145,178
9502224,160
9501897,457
9501185,182
9500960,191
9501266,160
9500800,149
9515443,356
9535949,113
9536459,163
9536000,503
9527768,25
9517630,172
9517789,147
9532901,228
9532728,375
9510085,287
9504173,77
9530886,157
9505544,197
9505178,500
9540020,197
9539827,395
9539687,78
9555141,13
9539659,559
9690040,443
9690278,253
9654820,288
9655128,334
9689654,356
9585145,154
9585877,206
9585575,152
9593000,439
9584187,363
9558831,235
9503228,159
9500471,46
9500331,105
9500060,375
9501092,99
9501245,23
9501299,471
9501756,57
9502527,141
9502144,14
9500324,285
9499956,128
9580569,88
9580827,115
9583300,3
9583843,137
9583260,147
9583265,194
9584119,196
9563100,196
9563314,227
9563747,255
9565702,370
9569333,151
9508410,35
9530171,249
9531867,174
9532843,325
9532851,325
9517606,83
9517800,321
9517718,171
9517365,145
9532655,74
9532713,53
9509878,75
9509930,74
9504215,182
9510172,64
9509845,235
9510074,168
9501614,303
9502972,351
9499103,34
9500756,159
9500403,153
9500691,180
9585245,144
9585960,182
9585934,346
9589418,74
9584192,206
9583572,350
9565547,151
9565713,310
9559096,104
9559581,310
9559416,28
9559224,514
9559518,48
9559395,58
9563713,160
9689362,559
9689971,96
9654607,110
9654742,283
9655120,259
9675995,130
9652827,163
9537084,152
9537171,9
9538767,38
9538378,134
9563241,402
9563666,179
9581183,64
9580566,119
9580489,49
9580751,39
9500519,291
9500684,201
9500591,315
9503173,159
9503124,262
9500059,143
9502192,142
9502409,480
9501727,119
9502048,149
9503066,153
9502901,383
9502193,66
9501488,80
9501968,58
9585046,148
9585639,171
9573375,332
9585219,329
9566139,69
9565792,204
9508445,100
9508533,415
9530101,106
9530732,314
9530792,109
9530105,517
9531165,408
9531775,82
9532297,43
9532336,60
9532741,320
9508286,344
9517855,14
9517690,66
9517423,67
9532754,305
9532798,200
9532710,228
9509934,35
9504370,114
9509793,99
9578772,122
9581590,250
9585405,136
9593094,144
9592687,75
9566113,297
9563706,22
9559197,24
9558997,41
9559304,309
9566145,269
9585399,93
9584180,123
9566151,53
9565756,405
9565511,316
9565687,299
9565542,318
9563614,321
9559015,128
9559177,133
9563494,231
9566127,508
9565480,284
9576664,45
9581032,153
9580916,99
9581276,159
9584136,172
9583358,267
9584957,85
9584727,103
9584553,315
9585029,258
9585609,30
9585291,34
9585608,256
9562947,191
9563202,271
9576272,224
9580503,139
9580511,78
9581230,387
9581029,350
9499715,263
9499702,83
9499408,147
9500200,81
9502411,38
9502673,372
9502128,24
9501893,68
9501038,262
9501108,383
9563531,28
9563802,52
9559559,437
9558999,58
9559329,53
9562987,123
9565905,347
9500671,280
9500522,348
9503139,342
9499994,199
9499809,411
9502217,270
9502579,39
9502221,138
9502481,95
9501188,265
9501656,15
9501530,197
9502930,90
9503146,254
9500586,181
9500529,236
9500792,321
9502759,223
9500257,270
9500054,446
9502160,435
9502350,65
9500899,124
9501560,77
9505422,72
9523799,63
9530710,557
9530083,318
9530033,345
9531541,278
9532201,285
9532970,144
9533257,69
9532739,153
9532666,112
9533083,55
9508013,377
9508244,278
9517865,165
9517821,230
9517323,123
9533178,35
9504020,143
9504059,126
9504220,351
9530897,98
9577770,180
9578206,48
9578908,91
9652265,226
9652662,11
9652687,16
9689953,529
9654542,151
9654580,224
9559010,179
9563159,225
9563650,110
9563009,214
9580856,140
9583604,30
9583777,117
9583468,190
9501660,153
9500453,161
9500653,67
9500151,117
9499848,108
9500100,61
9500262,56
9500058,174
9501817,440
9501125,96
9500958,60
9501165,384
9497959,416
9500555,193
9502800,390
9503299,207
9499951,139
9502577,162
9501256,150
9500938,28
9501194,550
9500850,105
9501456,43
9580719,150
9581216,104
9583688,442
9583582,471
9569294,28
9583362,394
9569308,194
9581441,84
9584455,228
9584589,175
9584576,313
9580741,275
9580707,100
9581063,84
9583503,140
9583279,51
9581440,51
9581421,85
9562114,42
9585696,317
9585093,57
9585298,154
9585153,99
9584006,284
9584244,118
9584281,359
9583984,257
9585096,48
9585373,167
9547208,287
9546878,29
9546827,122
9526489,121
9526643,83
9526053,78
9526687,352
9526434,81
9535994,547
9537061,300
9538277,76
9540102,154
9539877,155
9539846,195
9539910,181
9540282,269
9539545,85
9539870,155
9540173,397
9540339,93
9554985,133
9511693,252
9515638,103
9535960,219
9535729,194
9536031,359
9535979,69
9504514,289
9528232,353
9527833,222
9528191,86
9527921,101
9528273,204
9528247,115
9501607,305
9502179,167
9503019,228
9498620,22
9500679,88
9500544,358
9500468,358
9499500,230
9499746,176
9499754,89
9499441,45
9584893,14
9554982,230
9555234,202
9554957,110
9511740,468
9512020,417
9536372,20
9536214,53
9504428,187
9528136,157
9528325,482
9555226,12
9515471,216
9515587,257
9515557,154
9536304,250
9528226,91
9528029,164
9565027,17
9565035,328
9571216,34
9571206,217
9575820,93
9576194,162
9576691,14
9559750,259
9560421,228
9559818,244
9564285,158
9564592,233
9564609,62
9564348,164
9563918,112
9564106,116
9572306,128
9574877,259
9575521,90
9575300,169
9570511,130
9504713,318
9521823,124
9522845,74
9583549,133
9583618,536
9583442,254
9583648,314
9583897,129
9584115,93
9583702,238
9584523,32
9584533,213
9585746,159
9585967,263
9504746,31
9519030,460
9518752,135
9511270,208
9511071,126
9519338,67
9519252,198
9520200,103
9545312,142
9545693,10
9545570,51
9515381,14
9514884,522
9546019,85
9546643,125
9546475,488
9505767,123
9550358,334
9592639,229
9565906,140
9563451,178
9565637,92
