index,Stilling id,Registrert dato,Arbeidssted fylke,Yrke grovgruppe,Stillingsbeskrivelse vasket
16333,9678992,2017-11-30,Sogn og Fjordane,Kontorarbeid,". Vi søker ein ryddig og engasjert medarbeidar til vårt team på økonomiavdelingen. Bilagshandtering. Scanning og bokføring via dokumentsenter. Posthandsaming. Utviding av stillings. kan bli aktuelt på sikt. Vi ser etter deg som har erfaring fra rekneskapsarbeid, og kjennskap til. er en fordel. Økonomiutdanning er ønskjelig, men relevant erfaring kan kompensere for dette. Økonomi. Videregående skole. Gode kommunikasjons. og samarbeidsevner. Må kunne jobbe sjøvstendig. Nøyaktig og strukturert. Løysingsorientert. Gode muligheter for faglig utvikling. Gode forsikrings. og pensjonsavtaler. IA. bedrift. Konkurransedyktige betingelser. Fleksitid. Stillingens størrelse kan bli utvida på sikt. Godt arbeidsmiljø. Ingen reiseaktivitet. Kontaktinformasjon. , Økonomisjef, (. 47). ArbeidsstedHavilahuset, Mjølstadnesvegen. 6099 Leirvik i Sogn. Nøkkelinformasjon.  Ref. nr. For elektronisk søknadsskjema. "
92755,9575082,2017-05-09,Akershus,Kontorarbeid,"Kontormedarbeider. Bjertnes videregående skole. Er du strukturert, effektiv og med interesse for å lære er du kanskje vår nye kontormedarbeider. regnskap og lønn. ansvar for nøkkelsystem. behandling av elev. og personaldata i SATS, ePhorte og Agresso. resepsjon og sentralbord. andre forefallende oppgaver i skolens administrasjon. kunne bruke digitalt sak arkivsystem, regnskapssystem (Agresso, Visma e. l. ) og databaseverktøy, ha gode IT. ferdigheter. ha kjennskap til arter og funksjoner fra KOSTRA. erfaring fra lignende arbeid er ønskelig. gode kommunikasjonsferdigheter i norsk, både skriftlig og muntlig. godt humør og lysten på nye utfordringer. interesse for og evne til å lære nytt. evner og vilje til samarbeid, og samtidig evne til å arbeide selvstendig. evner og vilje til å jobbe i en skole som setter elevene og deres læring i sentrum. evne til å arbeide effektivt selv når arbeidstrykket er høyt. personlig egnethet vil bli tillagt vekt. hektisk hverdag, spennende oppgaver. lønn etter kvalifikasjoner og i henhold til lov og avtaleverk. god pensjonsordning. tiltredelse etter avtale. Kvernstuveien 1, 1482 Nittedal. , Administrativ leder,. Annonsør: Akershus fylkeskommune. Ref. nr. .  Stillingsbrøk: 100. Fast. Antall stillinger: 1. For elektronisk søknadsskjema: "
117984,9665250,2017-11-07,Oslo,Undervisning,". Vi søker en utdannet barnehagelærer som pedagogiskleder i fast 100. stilling med tiltredelse 01. 01. 2018. Stillingsbeskrivelse.  Arbeidsoppgaver inkluderer.  Delt ansvar for planlegging og gjennomføring samt evaluering av barna sammen med de andre pedagogiske lederne. Bidra til å tilrettelegge for et godt samarbeid mellom ansatte og med foreldre. Bidra aktivt til et godt lærings. og lekemiljø. Jobbe målrettet med utvikling av barnas sosiale kompetanse. Veilede og støtte det øvrige personalet. Ønskede kvalifikasjoner og egenskaper.  Kvalifikasjoner: Utdannet barnehagelærer. Du er en aktiv og engasjert voksen. Du må ha bestått Bergenstesten. Dokumentasjon vedlegges i søknaden. Politiattest må fremlegges før ansettelse. Er du søker fra EU EØS, trenger du godkjenning fra Utdanningsdirektoratet. Videre kvalifikasjoner.  interesse i montessoriedagogikk, eventuell tidligere erfaring i en montessoribarnehage. "
70603,9660499,2017-10-30,Akershus,Undervisning,". En barnehage med rom for alle. 1 Pedagogisk leder. med barnehagelærerutdanning i 100. fra 01. 01. 2018. Korsdalen er en barnehage i stadig vekst, med fokus på utvikling for ansatte, barn og barnehagen som pedagogisk virksomhet. Høsten 2018 starter vi Pi. parken Nes, en ekstern avdeling som gjennom trygge rammer, med fokus på realfag og lek skal gi de eldste barna muligheten til å bli glad i teknologi, naturvitenskap, forskning, matematikk, konstruksjon og IKT. Barnehagen har en stor andel pedagoger og fagarbeidere og ønsker medarbeidere som er initiativrike og løsningsorienterte. SA ligger på Auli i Nes kommune. vi har totalt 7 avd. lokalisert i 2 separate hus. Vi er medlem av PBLA og har gode lønns. og forsikringsvilkår. For mer informasjon, ring. , 416 12 363, eller. 951 03 381. Søknad sendes til.  ehage. Grendehusvegen 2. 1929 Auli. "
28928,9502846,2016-12-21,Nordland,Kontorarbeid,"Om stillingen. Det er ledig 94. fast stilling som sekretær ved Sortland ungdomsskole. Arbeidsåret er fordelt på 42 uker med 37,5 t uke. Stillingen er ledig fra 01. 03. 2017. Følgende oppgaver er tillagt stillingen. Post og elevarkiv. Sentralbord. kundebehandling. Elevmottak. elevregistrering. skyssadministrasjon. Personal. fravær. variabel lønn. sykemeldinger. Økonomi. kontering. kontroll. bestilling. kontanter. Karakterer. eksamen. nasjonale prøver. vitnemål. Utleie. Andre forefallende sekretæroppgaver. Oppgavene som er opplistet er ikke fullstendige, og endringer kan skje. Kvalifikasjoner. Relevant utdanning på minst videregående nivå. Relevant erfaring fra tilsvarende arbeid. Gode kommunikasjonsferdigheter både skriftlig og muntlig. Gode datakunnskaper. Erfaring med programmet. er en fordel. Du må være serviceinnstilt og utadvendt. Fleksibel, selvstendig og ha gode samarbeidsevner. Du må like å ute service i et utviklingsorientert miljø. Det kreves punktlighet og nøyaktighet. Personlig egnethet vil bli vektlagt. Vi kan tilby. Variert arbeid i et positivt miljø. Gunstig pensjonsordning. Lønn i henhold til avtaleverket. Tilsettingsvilkår. Arbeidstakere tilsettes i Sortland kommune etter gjeldende lover, reglement og tariffavtaler. Prøvetiden er 6 måneder i. faste stillinger. Ved tilsetting i skole, barnehage, og arbeid med psykisk utviklingshemmede, må det leveres politiattest. ikke eldre enn 3 måneder. Generelt. Det gjøres oppmerksom på at navnet på en søker kan bli offentliggjort selv om søkeren har bedt om at navnet blir. unntatt offentlighet. Ønsker du unntatt offentlighet må det begrunnes, jf. offentleglova § 25, andre ledd. Begrunnelse. sendes til. Søknad sendes. Vi ber om at attester og vitnemål lastes opp, og kun dette. Ved behov for hjelp med registrering og utfylling av søknad, ta kontakt med vår HR. avdeling på tlf. Velkommen som søker. Stillingtype: Fast ansatt. Lokasjon: Sortland ungdomsskole. Kontakter.  , rektor Sortland ungdomsskole, Mobil.  , Arbeid.  Søknad merkes: 591 16. VIHA. For fullstendig utlysningstekst og elektronisk søknadsskjema.  "
117867,9687640,2017-12-13,Akershus,Ingeniør- og ikt-fag,". People4you er et av landets raskest voksende bemannings. og rekrutteringsselskap. Vi løser bemanningsutfordringene for næringslivet. Våre rådgivere har solid erfaring fra bransjen og benytter DNV. sertifiserte verktøy i sitt arbeid. Vi har kontorer i Oslo, Askim, Bergen, Romerike, Ski og Stavanger. Vi har spesialistselskaper innenfor IT og Bygg og Anlegg, der vi tilbyr høyt kvalifiserte konsulenter innenfor bemanning og rekruttering. AS. AS, eller ""KM. Bygg"", er en mellomstor entreprenørbedrift innen grunnarbeider, betong. , mur. og tømrerarbeid. Firmaet ble etablert i 1991 og holder til i moderne lokaler i Rakkestad. Vi har pr. i dag 27 ansatte. Vi har gjennom årene fått en bred erfaring både fra nybygg, ombygging og rehabilitering av skoler, institusjoner, næringsbygg og boliger. I tillegg til tradisjonelle byggeoppdrag, har vi både evne og lyst til å utføre spesialoppdrag, som eksempler kan vi nevne Tusenfryd og TV2. s VM. scene under Fotball. VM 2010. Vi har de siste årene utviklet egne prosjekter og større kontaktflate innenfor boligentrepriser. Vårt primærmarked er Østfold og Akershus. Vi har knyttet til oss kvalitetsbevisste kunder og dyktige fagfolk med høy kompetanse. I tillegg til egne ansatte, har vi et bredt kontaktnett av seriøse samarbeidspartnere og underleverandører. På bakgrunn av stadig økende oppdragsmengde og intern omstrukturering søker People4you for. AS etter prosjektleder innen bygg. Selskapet holder til i Rakkestad men prosjektene de første årene vil i stor grad være i Askim. Prosjekter varierer i størrelse og vi har erfaring fra prosjekter opp til 100 millioner. Selskapet har godt renommé, sunn økonomi og et godt fagmiljø. Du vil jobbe sammen med flere faglig dyktige kollegaer i et godt arbeidsmiljø som er opptatt av gode fremtidige løsninger. Du vil ha ansvar for den kontinuerlige kontakten med byggherre og underleverandører og vil rapportere direkte til daglig leder. Erfaring vil bli prioritert men nyutdannede vil også bli vurdert. Arbeidsoppgaver. Assistere daglig leder i anbudsregning. Forespørre og kontrahere underleverandører. Byggtekniske løsninger og være kontakt ovenfor rådgivende ingeniører og arkitekter. Ansvar for internkontroll og KS samt implementere og etterleve krav fra offentlige myndigheter. Sørge for at prosjektet holder de økonomiske og tidsmessige rammene som er avtalt. Sørge for at prosjektet evalueres ved avslutning. Ønskede kvalifikasjoner. Utdannet byggingeniør bachelor 3. årig høyskole. Erfaring og gode referanser fra tilsvarende prosjekter. Nyutdannede vil også bli vurdert. Norsktalende 100. Førerkort kl. B. Personlige egenskaper. Du er en omgjengelig og hyggelig person med god faglig innsikt. Du er strukturert og selvstendig, samtidig som du liker å jobbe sammen med andre for å oppnå et godt resultat. Du har gode kommunikasjonsevner på norsk, både skriftlig og muntlig. Du har en høflig og korrekt fremtreden, både internt og eksternt. Det er viktig for bedriften at du har en omgjengelig og inkluderende lederstil. Vi tilbyr. For den rette kandidaten kan vi tilby spennende oppgaver faglige utfordringer. Fast stilling. PC. bilordning. Gode forsikringsordninger. Spennende oppgaver og faglige utfordringer. Registrer din CV på våre hjemmesider: www. people4you. no for å søke stillingen. på e. post: stale. paulsen. people4you. no eller mobil. for evt. spørsmål. Hentet fra. stron"
32753,9516490,2017-01-23,Østfold,Reiseliv og transport,Vi søker kjøkkenassistent Hjelpekokk. til våre restaurant. 
39121,9636433,2017-09-18,Oslo,Ingeniør- og ikt-fag,". Vi er et kundeservicemiljø med sterk lagånd, og nå ønsker vi oss flere kollegaer. OneCall og MyCall er nære slektninger, og har for eksempel felles kundeservicesenter. OneCall er i dag den raskest voksende mobiloperatøren i Norge. Vi er her for å skape gode kundeopplevelser, og vårt fokus ligger på lave priser, god kundeservice og høy standard på tjenestene våre. MyCall knytter deg nærmere venner og familie i andre land, med gode priser på utenlandssamtaler. Vi er del av. , og er stolte av å tilby kundene våre det som ifølge TEK. no er landets aller beste dekning. Motiveres du av å hjelpe andre ved å løse problemer og gi gode råd til den beste løsningen for kunden. Da er sjansen stor for at det er nettopp deg og din innsats vi behøver på laget vårt. Vi søker Rådgivende kundekonsulenter til OneCall og MyCall som elsker å skape resultater og fullstendig fornøyde kunder. Vårt mål er å ha de mest fornøyde kundene i bransjen, og vi søker deg som deler denne ambisjonen med oss. Det forventes at du selv også bidrar med ideer og initiativ som gjør oss i stand til å sammen gi enda bedre kundeopplevelser. Ha inngående og utgående kundekontakt gjennom en rekke ulike kanaler. telefon, chat, e. post og sosiale medier på både norsk og engelsk. Bidra til gode resultater på kvalitet og effektivitet. Være vår ambassadør for OneCall og MyCall. Jobbe med merservice som innebærer å gi kunden den beste løsningen og overgå kundens forventninger. Vi er sikre på at du kommer til å trives hos oss. Vi som jobber her er en sammensveiset gjeng, og vi gleder oss alltid til å bli kjent med nye kollegaer. Hos oss får du først og fremst trivelige og flinke folk rundt deg og tett kontakt med kundene våre. Vi tilbyr også god opplæring og støtte fra både medarbeidere og nærmeste leder, trivelige lokaler. Vi engasjeres av å kunne påvirke hvordan vi jobber og leverer service. Det viktigste for oss er ikke hva du har gjort før, men hvem du er og hva du har lyst til å oppnå. Derfor kommer vi til å vektlegge personlige egenskaper, og vi er spesielt ute etter deg som.  Har kundenes beste i fokus, hele tiden. Du er god til å sette deg inn i andres situasjon, tenke løsninger og argumentere for dem, og du er opptatt av å levere de aller beste kundeopplevelsene. For deg betyr det at du alltid tenker service og salg som samme sak, og det preger både hva du foreslår av løsninger og råd, og ikke minst hvordan du gjør det. alt fra muntlig kommunikasjon til hvordan du ordlegger deg skriftlig. Har god teknisk forståelse. Du forstår deg på tekniske duppeditter og kan derfor enkelt hjelpe kundene våre når de lurer på noe teknisk. Motiveres av å jobbe etter mål, og som er engasjert i og har egendriv til å oppnå resultater. Både overordnede mål for avdelingen, men også mål brutt ned i delmål for din egen innsats og prestasjon. Er ryddig og ansvarsfull. Det kommer til syne i at du holder orden i det du jobber med, du er punktlig, presis og pliktoppfølgende, og du er i stand til bevare fokuset i hektiske perioder. Vi er opptatt av å nå målene våre sammen, og vi søker deg som er en god lagspiller som også bidrar til at vi skal fortsette å ha et arbeidsmiljø vi er stolte av å tilhøre. Er det deg vi søker. Velkommen til oss. Vår virksomhet, som består av Telia, Chess, Phonero, OneCall og MyCall, omfatter nesten 1300 medarbeidere som er sammen om et oppdrag. å ta virksomheten til neste nivå og bli en. I dette oppdraget ligger et stort løfte, et viktig ansvar og et hav av muligheter. Løftet om å bli noe mer. Noe som beriker menneskers liv og som åpner muligheter for å kommun"
1398,9568519,2017-04-27,Troms,Reiseliv og transport,"Nestleder. Vi ønsker at du er.  Serviceinnstilt. Ps: Er en fordel om du har lappen, men ikke en nødvendighet. Vi ser etter deg som er flink til å samarbeide, men som også kan arbeide selvstendig. I tillegg er du effektiv og har stor stå. på. vilje. Du er fokusert, har en god holdning og et godt humør. Våre medarbeidere kjennetegnes ved at de er fleksible og stiller opp for hverandre, og vi har gode ordninger for å skape best mulig fleksibilitet for våre ansatte. Du må like å ta ansvar, være strukturert og fleksibel. Kjenner du deg igjen. Tar du utfordringen. Send oss en søknad og CV så snart som mulig så vi kan bli bedre kjent. Ta kontakt med daglig leder på tlf. dersom du har spørsmål til stillingen. Cv og jobbsøknad sendes gjerne pr e. mail.  "
96977,9557723,2017-04-04,Oslo,Undervisning,"Kontaktlærer. Grorud skole. Planlegging og gjennomføring av undervisning. Systematisk arbeid med grunnleggende ferdigheter i lesing, regning og digitale ferdigheter i alle fag. Analyse av resultater, utarbeidelse og oppfølging av tiltaksplaner på trinn. , gruppe. og individnivå for best mulig tilpasset opplæring. Du har minst 30 stp i norsk og matematikk. Du har god kompetanse innen begrepsopplæring. Du har gode datakunnskaper. Personlig egnethet vektlegges. Du er fleksibel og samarbeidsvillig. Du er løsningsorientert og liker utfordringer. Du kommuniserer godt med elever og foresatte. Spennende elevgruppe med aktive, positive og engasjerte foreldre. Grorudveien 4, 0962 Oslo. , Rektor,. Annonsør: Oslo kommune, Utdanningsetaten. Ref. nr. .  Stillingsbrøk: 100. Fast stilling. Startdato: 01. 08. 2017. For elektronisk søknadsskjema.  Søknadsfrist: Snarest"
