Number,Time
1.0,0.124109
2.0,0.238171
3.0,0.300217
4.0,0.36506
5.0,0.606811
6.0,0.831459
7.0,0.844168
8.0,0.99697
9.0,1.057086
10.0,1.148926
11.0,1.2191
12.0,1.37415
13.0,1.533955
14.0,1.564508
15.0,1.687586
16.0,1.84445
17.0,1.909365
18.0,1.980895
19.0,2.124181
20.0,2.282085
21.0,2.330397
22.0,2.554256
23.0,2.60212
24.0,2.667082
25.0,2.812082
26.0,2.882084
27.0,3.001194
28.0,3.108304
29.0,3.24012
30.0,3.370102
31.0,3.420403
32.0,3.530209
33.0,3.613737
34.0,3.726154
35.0,3.869208
36.0,3.957034
37.0,4.005179
38.0,4.097922
39.0,4.153663
40.0,4.351065
41.0,4.365648
42.0,4.467385
43.0,4.522384
44.0,4.551384
45.0,4.644108
46.0,4.705487
47.0,4.81493
48.0,4.837888
49.0,4.898401
50.0,4.940395
51.0,4.993355
52.0,5.061707
53.0,5.076811
54.0,5.305334
55.0,5.416323
56.0,5.474238
57.0,5.489222
58.0,5.614229
59.0,5.689169
60.0,5.803192
61.0,5.863132
62.0,6.051329
63.0,6.14536
64.0,6.231341
65.0,6.269217
66.0,6.387847
67.0,6.47487
68.0,6.583956
69.0,6.696171
70.0,6.785165
71.0,6.854156
72.0,7.045219
73.0,7.211986
74.0,7.338448
75.0,7.516998
76.0,7.644999
77.0,7.776109
78.0,8.047583
79.0,8.239032
80.0,8.390649
81.0,8.409624
82.0,8.567735
83.0,8.790056
84.0,8.948844
85.0,9.090018
86.0,9.210453
87.0,9.353293
88.0,9.469527
89.0,9.506772
90.0,9.621322
91.0,9.693229
92.0,9.794001
93.0,9.927608
94.0,10.003182
95.0,10.079834
96.0,10.120887
97.0,10.252998
98.0,10.432081
99.0,10.565329
100.0,10.622232
101.0,10.674119
102.0,10.693029
103.0,10.819106
104.0,10.844157
105.0,10.938724
106.0,11.134039
107.0,11.229224
108.0,11.309848
109.0,11.357966
110.0,11.602412
111.0,11.733445
112.0,11.898776
113.0,11.973106
114.0,12.160899
115.0,12.21436
116.0,12.425366
117.0,12.483357
118.0,12.65013
119.0,12.787213
120.0,12.824068
121.0,12.951593
122.0,13.093424
123.0,13.229113
124.0,13.332171
125.0,13.431374
126.0,13.598888
127.0,13.636912
128.0,13.717328
129.0,13.768354
130.0,13.858196
131.0,13.928124
132.0,14.066932
133.0,14.284225
134.0,14.489104
135.0,14.663178
136.0,14.740325
137.0,14.79344
138.0,14.986323
139.0,15.027377
140.0,15.092748
141.0,15.261485
142.0,15.38504
143.0,15.513186
144.0,15.619081
