2020: 112321 ads, 207299 vacancies
2019: 243886 ads, 423188 vacancies
2018: 237458 ads, 416780 vacancies
2017: 176285 ads, 285898 vacancies
2016: 147173 ads, 233401 vacancies
2015: 135871 ads, 208414 vacancies
2014: 135097 ads, 203719 vacancies
2013: 143281 ads, 218814 vacancies
2012: 160014 ads, 240727 vacancies
2011: 167762 ads, 252041 vacancies
2010: 158195 ads, 238759 vacancies
2009: 167756 ads, 262344 vacancies
2008: 230474 ads, 360454 vacancies
2007: 255421 ads, 401355 vacancies
2006: 214728 ads, 336808 vacancies
2005: 157622 ads, 247857 vacancies
2004: 132774 ads, 202536 vacancies
2003: 129948 ads, 199834 vacancies
2002: 149686 ads, 231895 vacancies
