Stilling id;Registrert dato;Yrke grovgruppe;Stillingsbeskrivelse vasket
6476461;2013-09-10;Akademiske yrker;. NAV Drammen er et av landets største NAV. kontorer og holder til i et nytt og moderne bygg på Papirbredden. er en internasjonal, pulserende by med stort mangfold og umiddelbar nærhet til elva, fjorden og marka. Drammen har et livskraftig næringsliv. Næringslivet i Drammen er variert, og består av bedrifter og institusjoner med totalt nesten 31000 arbeidsplasser. Drammen plasserer seg høyt på listen blant landets kommuner med hensyn til nye næringsetableringer. NHO kåret Drammensregionen som den mest vellykkede regionen i landet i 2008. I 2010 ble Drammensregionen kåret til Norges nest mest vellykkede region. Drammen har i de siste årene skåret i. kåring av gasellebedrifter i landet. NAV har som mål å få flere i arbeid og aktivitet og færre på stønad. NAV Drammen vil derfor styrke sin kompetanse og kontakt med det lokale arbeidsmarkedet og arbeidsgivere. Er du en relasjonsbyggende selgertype med strukturert og utadvendt arbeidsstil. Er du samtidig samfunnsinteressert med et ønske å gi mennesker muligheter. I så fall kan dette være en spennende mulighet for deg. NAV Drammen skal nå etablere et markedsteam «NAV. » med tre drivende dyktige medarbeidere (engasjement) som sammen med kontorets øvrige 150 kunnskapsrike medarbeidere skal bidra til at vi lykkes med vårt oppdrag. Engasjementene har en varighet til 31. 12. 2014. Planlegge og gjennomføre bedriftskontakt i Drammen. Rekrutterings. og formidlingsbistand til lokalt arbeidsliv. Bidra til opprettelse av arbeidstrenings. og praksisplasser i private og offentlige virksomheter. Planlegge og gjennomføre «Jobbmessa i Drammen». Koordinere og utvikle markedsarbeidet i NAV Drammen. Relevant utdanning tilsvarende bachelorgrad fra høyskole og eller universitet. Relevant erfaring kan kompensere for manglende utdanning. Forretnings. og markedsforståelse. Erfaring fra rekrutterings. og eller salgsarbeid. Evne til å etablere og utvikle kunderelasjoner. Gode kommunikasjonsevner og gode sosiale ferdigheter. Entrepenørånd og selgeregenskaper. Initiativrik og selvgående. Utadvendt, blid, hyggelig og serviceorientert. Sterkt ønske om å lykkes. Analytisk, positiv og løsningsorientert. Pågangsmot og entusiasme. Vi kan tilby. Spennende og meningsfylte arbeidsoppgaver. Et aktivt og engasjert arbeidsmiljø. Mulighet til å påvirke videre utvikling av NAV Drammen og partnerskapet på jakt etter gode løsninger for brukerne. Kommunal tilsetting med lønn kr. 389 200. 457 700 etter kvalifikasjoner. God pensjonsordning gjennom KLP (fra lønnen trekkes 2. ). NAV er opptatt av mangfold, og vi oppfordrer alle kvalifiserte kandidater til å søke jobb hos oss uansett alder, kjønn, funksjonshemming, nasjonal eller etnisk bakgrunn. NAV er IA. virksomhet, og vi vil legge forholdene til rette for søkere med redusert funksjonsevne. Spørsmål om stillingen kan rettes til NAV. leder. , telefon 959 28 186. Søknad og CV sendes via lenken nedenfor. Vi gjør oppmerksom på at CV benyttes i utvidet søkerliste. Vitnemål og attester tas med på et eventuelt intervju. Dersom du ønsker å reservere deg fra oppføring på offentlig søkerliste, må dette opplyses om og begrunnes i søknaden. Opplysninger kan bli offentliggjort selv om du har bedt om ikke å bli oppført på søkerlisten. Du varsles dersom ønsket om reservasjon ikke tas til følge. s
5340225;2013-04-04;Kontorarbeid;". er en del av et moderne multisenter med blant annet 145 butikker og spisesteder, 8 kinosaler, bowling og bibliotek. Hotellet inngår i kjedens Conference konsept. Vi søker en positiv og engasjert medarbeider. Daglig innsalg av Kurs og konferanser, grupper og rom frokost . Gjestehåndtering. Tett samarbeid med booking ansvarlig. Dagtid 60. stiling. Positiv og omgjengelig. Erfaring med bruk av Hotellsystem, gjerne Opera. Løsningsorientert og fleksibel. Har relevant erfaring fra resepsjon booking. Takle stress i et hektisk arbeidsmiljø. Har en utpreget ""det skulle bare mangle"" holdning. og Engelsk kunnskaper er en forutsetning. Kan idetifisere seg med våre verdier: Lokal, Uhøytidelig, Profesjonell og Engasjert. Vi tilbyr. Et nettverk av dyktige og hyggelige kollegaer. Muligheter for kurs. og videreutvikling. Personalfordeler i. En stilling i en av Norges ledende hotellkjeder med gode karrieremuligheter både nasjonalt og internasjonalt.   Link til søknadsskjema: Send søknad For mer informasjon kontakt: , Marina S. Nordås"
5939751;2013-06-26;Helse, pleie og omsorg;Hovedarbeidsoppgåver.  Planleggjing av eit heilskapeleg og fagleg omsorgstilbud for brukarar. Fagleg rettleiing og opplæring av andre tilsette. Direkte arbeid mot brukarar, samarbeid med andre tilsette i bufellesskapet, pårørande og andre instanser.  . Vi søkjer ein person som.  Har gode samarbeidsevner. Er fleksibel. Er bevisst sine haldningar og prioriterer høgt verdier som respekt, lojalitet og etikk. Arbeid i turnus kvar 3 helg. Menn vert oppfordra til å søkje. Personlege eigenskapar vil bli vektlagt. Gyldig politiattest må framleggjast ved evt. tilsetjing. Kvalifikasjonskrav.  Autorisasjon som vernepleiar. Sertifikat kl B. Gode norsk skriftleg og munnleg framstillingsevne. Andre med relevant helse. og eller sosialfagleg eller pedagogisk høgskuleutdanning kan bli vurdert. For meir opplysningar om stillinga ta kontakt med leiar. tlf. . eller ass. avd. leiar. tlf. . Austevoll kommune kan tilby.  Interessante arbeidsoppgåver i positivt miljø. Gode pensjons. og forsikringsvilkår. Full barnehagedekning. Tilrettelagde bustadtomter.  . Lenke til stilling.   . https: www. austevoll. kommune. no Selvbetjening Skjema. aspx. skjemaid. 216ogMId1. 63. 
4721156;2013-02-06;Reiseliv og transport;. Sommerjobb. Haugesund kommune trenger ferievikarer for mange yrkesgrupper. www. haugesund. no
5345733;2013-04-05;Helse, pleie og omsorg;St. nr 1826. Hjelpepleier Helsefagarbeider 22,5. fast stilling ved Namsos bo. og servicesenter. Stillingen er f. t. lagt til helsedistrikt Sør, avd. Namsos bo. og servicesenter, og innebærer jobb i hjemmesykepleien ved Namsos bo. og servicesenter avdeling 1og ute i tilhørende distrikt. Stillingen inngår i turnus med helgejobbing, samt kveldsvakter noen ukedager. Stillingen innebærer at medikamenter skal håndteres forsvarlig i tjenesten, og det kreves derfor bestått elektronisk medikament test ved distriktet. Stillingens arbeidsområde.  Ansvar for det faglige tilbudet til bruker. Delta i direkte tjenesteyting overfor brukere og bidra til at målsettinger innenfor tjenesten oppnås. Vi søker en person som. Er offentlig godkjent hjelpepleier helsefagarbeider. Har gyldig førerkort for bil. Er fleksibel i forhold til arbeidssted og arbeidsoppgaver. Deltar i arbeidsplassens endringsprosesser i takt med samfunnsendringer og krav. Er god på kommunikasjon og samarbeid. Er løsningsorientert og positiv. Er selvstendig og tar initiativ og ansvar. Representerer lojalitet, stabilitet, forutsigbarhet og kontinuitet. Viser interesse og engasjement. Har relevant praksis. Har kunnskap om er komfortabel med bruk av data. Har evne til å ta ansvar for å kvalitetssikre tjenesten i tråd med gjeldende lover og regelverk. Søkere må påregne å bli innkalt til intervju, og personlige egenskaper vil bli vektlagt ved utvelgelsen. Vi ber om at referanser oppgis. Syke. eller vernepleierstudenter med bestått medikament test fra HiNT oppfordres også til å søke på stillingen. St. kode : 7076. Årslønn : etter tariff. Nærmere opplysninger om stillingen fås ved henvendelse til avdelingsleder. , tlf. Stillingen er ikke lyst ledig internt i kommunen. Det tas derfor forbehold om fortrinnsrett for interne søkere jfr arbeidsmiljøloven § 14. 3 hovedtariffavtalen kap 1 § 2. 3. Nærmere opplysninger om stillingen fås ved henvendelse til avdelingsleder. , Tlf. 
7041450;2013-11-29;Kontorarbeid;Vi søker en regnskapsfører som skal arbeide med våre to butikker på Harebakken. Henholdsvis MIX og Life. Dette er to forholdsvis små og enkle regnskap. Arbeidet vil bestå i periodevis føring av regnskap, lønn og årsoppgjør og øvrige rapporter. Evt i samarbeid med revisor. Du kan arbeide selvstendig enten ut fra butikk eller hjemmekontor. Dersom du er interessert i butikkarbeide vil det være en fordel mht stillingsbrøken. Lønn og øvrige betingelser etter avtale. Send gjerne søknad på mail til 
4561076;2013-01-23;Bygg og anlegg;Vi har behov for å knytte til oss i første rekke skadesanerere, men også reholdere for tilkalling ved behov. Til tider ganske stort behov for ekstra bemanning, særlig for skadesanerere. Bra med bakgrunn som snekker, men ikke påkrevet. Opplæring blir gitt, og vi holder verktøy og arbeidsklær. Arbeidstiden er i hovedsak dagtid, men noe overtid kan forekomme i forbindelse med ferdigstilling av arbeide. Litt reisevirksomhet kan også forkomme fra tid til annen. For rett person kan det utvikle seg til fast jobb, dersom markedssituasjonen tilsier behov for det. 
4500561;2013-01-18;Serviceyrker og annet arbeid;. Dine arbeidsoppgaver. Du hjelper kunden gjennom en grundig behovskartlegging, skreddersy motiverende og individuelle kostholds. og treningsplaner som får kunden til å nå målet sitt. Markedsføring av egne tjenester, og tar selv ta ansvar for opparbeidelse av egen kundeportefølje. Du er en positiv inspirator, pådriver og bidragsyter på senteret, og således hjelpe teamet til å utvikle seg videre. Personlige egenskaper. I tillegg til at du har en solid faglig kompetanse, fremstår du som en profesjonell, selvsikker og ydmyk trener og du er. selvstendig og har evne til å ta egne initiativ. utadvendt og omgjengelig, med et glimt i øyet. omstillingsdyktig når nødvendig. Jobbe i ELIXIA. Som medarbeider i ELIXIA, uansett om du jobber med trening, service, renhold, barnepass eller salg, så er du med på å gjøre en samfunnsmessig viktig jobb. DU er med på å hjelpe enkeltmennesker til et bedre liv, til å realisere et mål, eller kanskje til å gjennomføre en drøm. Det er dette som gjør at vi i ELIXIA trolig har en hyggeligere og mer meningsfylt arbeidsdag enn mange andre. ledende treningskjede innenfor PT spesielt, legger vi stor vekt på faglig oppdatering og videreutvikling av våre trenere. Du kan derfor se fram til både læringsrike og innovative kurs og WS, der du tilegner deg kunnskap som resulterer i enda bedre PT. timer og økt lojalitet fra kundene. Sted: ELIXIA. . Kontakter.  , epost.  For elektronisk søknadsskjema.  
6671246;2013-10-08;Butikk- og salgsarbeid;. har i dag ansvaret for to butikker i Hordaland, men skal fra nyttår konsentrere seg om en butikk. I den anledning, søker NILLE på .  en utadvendt, resultatorientert og selvgående butikksjef med sterk kremmerinstinkt.   Hvis du i tillegg er god på planlegging, er strukturert og ønsker å utfordre butikkens medarbeidere til å bli et velsmurt salgsteam. kan DU være den vi søker.  . Butikksjefens ansvarsområder er bl. a. Totalansvar for butikkens drift, utvikling og resultater.  . Kvalifikasjoner egenskaper. Godt utviklet kremmerånd. Vi kan tilby deg. En selvstendig jobb i en bedrift i sterk vekst og med et spennende varesortiment. Ytterligere spørsmål om stillingen kan rettes til distriktssjef. , tlf. nr. Send søknad. 
5600161;2013-05-10;Butikk- og salgsarbeid;Racing. Langrennspesialist. Racingspesialist langrenn nordisk. G. ,. søker deg som har lidenskap for vinter og ski, spesielt racing langrenn. Vi er en sportsbutikk som satser på de aktive utøverne innenfor løp, sykkel, langrenn og klubb. Sted: ASKER. Tiltredelse: 01. 08. 2013. Kontakter.  , tlf: 47. , mob: 47. , epost.  For elektronisk søknadsskjema: 
