Stilling id;Registrert dato;Yrke grovgruppe;Setning;Kategori
6476461;2013-09-10;Akademiske yrker;NAV Drammen er et av landets største NAV ;
6476461;2013-09-10;Akademiske yrker;kontorer og holder til i et nytt og moderne bygg på Papirbredden ;
6476461;2013-09-10;Akademiske yrker;er en internasjonal pulserende by med stort mangfold og umiddelbar nærhet til elva fjorden og marka ;
6476461;2013-09-10;Akademiske yrker;Drammen har et livskraftig næringsliv ;
6476461;2013-09-10;Akademiske yrker;Næringslivet i Drammen er variert og består av bedrifter og institusjoner med totalt nesten arbeidsplasser ;
6476461;2013-09-10;Akademiske yrker;Drammen plasserer seg høyt på listen blant landets kommuner med hensyn til nye næringsetableringer ;
6476461;2013-09-10;Akademiske yrker;NHO kåret Drammensregionen som den mest vellykkede regionen i landet i ;
6476461;2013-09-10;Akademiske yrker;I ble Drammensregionen kåret til Norges nest mest vellykkede region ;
6476461;2013-09-10;Akademiske yrker;Drammen har i de siste årene skåret i kåring av gasellebedrifter i landet ;
6476461;2013-09-10;Akademiske yrker;NAV har som mål å få flere i arbeid og aktivitet og færre på stønad ;
6476461;2013-09-10;Akademiske yrker;NAV Drammen vil derfor styrke sin kompetanse og kontakt med det lokale arbeidsmarkedet og arbeidsgivere ;
6476461;2013-09-10;Akademiske yrker;Er du en relasjonsbyggende selgertype med strukturert og utadvendt arbeidsstil ;
6476461;2013-09-10;Akademiske yrker;Er du samtidig samfunnsinteressert med et ønske å gi mennesker muligheter ;
6476461;2013-09-10;Akademiske yrker;I så fall kan dette være en spennende mulighet for deg ;
6476461;2013-09-10;Akademiske yrker;NAV Drammen skal nå etablere et markedsteam NAV ;
6476461;2013-09-10;Akademiske yrker; med tre drivende dyktige medarbeidere engasjement som sammen med kontorets øvrige kunnskapsrike medarbeidere skal bidra til at vi lykkes med vårt oppdrag ;
6476461;2013-09-10;Akademiske yrker;Engasjementene har en varighet til ;
6476461;2013-09-10;Akademiske yrker;Planlegge og gjennomføre bedriftskontakt i Drammen ;
6476461;2013-09-10;Akademiske yrker;og formidlingsbistand til lokalt arbeidsliv ;
6476461;2013-09-10;Akademiske yrker;Bidra til opprettelse av arbeidstrenings ;
6476461;2013-09-10;Akademiske yrker;og praksisplasser i private og offentlige virksomheter ;
6476461;2013-09-10;Akademiske yrker;Planlegge og gjennomføre Jobbmessa i Drammen ;
6476461;2013-09-10;Akademiske yrker;Koordinere og utvikle markedsarbeidet i NAV Drammen ;
6476461;2013-09-10;Akademiske yrker;Relevant utdanning tilsvarende bachelorgrad fra høyskole og eller universitet ;
6476461;2013-09-10;Akademiske yrker;Relevant erfaring kan kompensere for manglende utdanning ;
6476461;2013-09-10;Akademiske yrker;Erfaring fra rekrutterings ;
6476461;2013-09-10;Akademiske yrker;og eller salgsarbeid ;
6476461;2013-09-10;Akademiske yrker;Evne til å etablere og utvikle kunderelasjoner ;
6476461;2013-09-10;Akademiske yrker;Gode kommunikasjonsevner og gode sosiale ferdigheter ;
6476461;2013-09-10;Akademiske yrker;Entrepenørånd og selgeregenskaper ;
6476461;2013-09-10;Akademiske yrker;Initiativrik og selvgående ;
6476461;2013-09-10;Akademiske yrker;Utadvendt blid hyggelig og serviceorientert ;
6476461;2013-09-10;Akademiske yrker;Sterkt ønske om å lykkes ;
6476461;2013-09-10;Akademiske yrker;Analytisk positiv og løsningsorientert ;
6476461;2013-09-10;Akademiske yrker;Pågangsmot og entusiasme ;
6476461;2013-09-10;Akademiske yrker;Vi kan tilby ;
6476461;2013-09-10;Akademiske yrker;Spennende og meningsfylte arbeidsoppgaver ;
6476461;2013-09-10;Akademiske yrker;Et aktivt og engasjert arbeidsmiljø ;
6476461;2013-09-10;Akademiske yrker;Mulighet til å påvirke videre utvikling av NAV Drammen og partnerskapet på jakt etter gode løsninger for brukerne ;
6476461;2013-09-10;Akademiske yrker;Kommunal tilsetting med lønn kr ;
6476461;2013-09-10;Akademiske yrker; etter kvalifikasjoner ;
6476461;2013-09-10;Akademiske yrker;God pensjonsordning gjennom KLP fra lønnen trekkes ;
6476461;2013-09-10;Akademiske yrker;NAV er opptatt av mangfold og vi oppfordrer alle kvalifiserte kandidater til å søke jobb hos oss uansett alder kjønn funksjonshemming nasjonal eller etnisk bakgrunn ;
6476461;2013-09-10;Akademiske yrker;NAV er IA ;
6476461;2013-09-10;Akademiske yrker;virksomhet og vi vil legge forholdene til rette for søkere med redusert funksjonsevne ;
6476461;2013-09-10;Akademiske yrker;Spørsmål om stillingen kan rettes til NAV ;
6476461;2013-09-10;Akademiske yrker; telefon ;
6476461;2013-09-10;Akademiske yrker;Søknad og CV sendes via lenken nedenfor ;
6476461;2013-09-10;Akademiske yrker;Vi gjør oppmerksom på at CV benyttes i utvidet søkerliste ;
6476461;2013-09-10;Akademiske yrker;Vitnemål og attester tas med på et eventuelt intervju ;
6476461;2013-09-10;Akademiske yrker;Dersom du ønsker å reservere deg fra oppføring på offentlig søkerliste må dette opplyses om og begrunnes i søknaden ;
6476461;2013-09-10;Akademiske yrker;Opplysninger kan bli offentliggjort selv om du har bedt om ikke å bli oppført på søkerlisten ;
6476461;2013-09-10;Akademiske yrker;Du varsles dersom ønsket om reservasjon ikke tas til følge ;
5340225;2013-04-04;Kontorarbeid;er en del av et moderne multisenter med blant annet butikker og spisesteder kinosaler bowling og bibliotek ;
5340225;2013-04-04;Kontorarbeid;Hotellet inngår i kjedens Conference konsept ;
5340225;2013-04-04;Kontorarbeid;Vi søker en positiv og engasjert medarbeider ;
5340225;2013-04-04;Kontorarbeid;Daglig innsalg av Kurs og konferanser grupper og rom frokost ;
5340225;2013-04-04;Kontorarbeid;Tett samarbeid med booking ansvarlig ;
5340225;2013-04-04;Kontorarbeid;Dagtid stiling ;
5340225;2013-04-04;Kontorarbeid;Positiv og omgjengelig ;
5340225;2013-04-04;Kontorarbeid;Erfaring med bruk av Hotellsystem gjerne Opera ;
5340225;2013-04-04;Kontorarbeid;Løsningsorientert og fleksibel ;
5340225;2013-04-04;Kontorarbeid;Har relevant erfaring fra resepsjon booking ;
5340225;2013-04-04;Kontorarbeid;Takle stress i et hektisk arbeidsmiljø ;
5340225;2013-04-04;Kontorarbeid;Har en utpreget det skulle bare mangle holdning ;
5340225;2013-04-04;Kontorarbeid;og Engelsk kunnskaper er en forutsetning ;
5340225;2013-04-04;Kontorarbeid;Kan idetifisere seg med våre verdier Lokal Uhøytidelig Profesjonell og Engasjert ;
5340225;2013-04-04;Kontorarbeid;Et nettverk av dyktige og hyggelige kollegaer ;
5340225;2013-04-04;Kontorarbeid;Muligheter for kurs ;
5340225;2013-04-04;Kontorarbeid;En stilling i en av Norges ledende hotellkjeder med gode karrieremuligheter både nasjonalt og internasjonalt ;
5340225;2013-04-04;Kontorarbeid;Link til søknadsskjema Send søknad For mer informasjon kontakt Marina S Nordås;
5939751;2013-06-26;Helse, pleie og omsorg;Planleggjing av eit heilskapeleg og fagleg omsorgstilbud for brukarar ;
5939751;2013-06-26;Helse, pleie og omsorg;Fagleg rettleiing og opplæring av andre tilsette ;
5939751;2013-06-26;Helse, pleie og omsorg;Direkte arbeid mot brukarar samarbeid med andre tilsette i bufellesskapet pårørande og andre instanser ;
5939751;2013-06-26;Helse, pleie og omsorg;Vi søkjer ein person som ;
5939751;2013-06-26;Helse, pleie og omsorg;Har gode samarbeidsevner ;
