Stilling id,Registrert dato,Yrke grovgruppe,Setning,Kategori,,Notater
6476461,2013-09-10,Akademiske yrker,NAV Drammen er et av landets største NAV,0,0: Ingen,Usikker
6476461,2013-09-10,Akademiske yrker,kontorer og holder til i et nytt og moderne bygg på Papirbredden,0,1: Oppgave,Nynorsk
6476461,2013-09-10,Akademiske yrker,er en internasjonal pulserende by med stort mangfold og umiddelbar nærhet til elva fjorden og marka,0,2: Egenskap,Engelsk
6476461,2013-09-10,Akademiske yrker,Drammen har et livskraftig næringsliv,0,3: Krav,
6476461,2013-09-10,Akademiske yrker,Næringslivet i Drammen er variert og består av bedrifter og institusjoner med totalt nesten arbeidsplasser,0,,
6476461,2013-09-10,Akademiske yrker,Drammen plasserer seg høyt på listen blant landets kommuner med hensyn til nye næringsetableringer,0,,
6476461,2013-09-10,Akademiske yrker,NHO kåret Drammensregionen som den mest vellykkede regionen i landet i,0,,
6476461,2013-09-10,Akademiske yrker,I ble Drammensregionen kåret til Norges nest mest vellykkede region,0,,
6476461,2013-09-10,Akademiske yrker,Drammen har i de siste årene skåret i kåring av gasellebedrifter i landet,0,,
6476461,2013-09-10,Akademiske yrker,NAV har som mål å få flere i arbeid og aktivitet og færre på stønad,0,,
6476461,2013-09-10,Akademiske yrker,NAV Drammen vil derfor styrke sin kompetanse og kontakt med det lokale arbeidsmarkedet og arbeidsgivere,0,,
6476461,2013-09-10,Akademiske yrker,Er du en relasjonsbyggende selgertype med strukturert og utadvendt arbeidsstil,2,,
6476461,2013-09-10,Akademiske yrker,Er du samtidig samfunnsinteressert med et ønske å gi mennesker muligheter,2,,
6476461,2013-09-10,Akademiske yrker,I så fall kan dette være en spennende mulighet for deg,0,,
6476461,2013-09-10,Akademiske yrker,NAV Drammen skal nå etablere et markedsteam NAV,0,,
6476461,2013-09-10,Akademiske yrker,med tre drivende dyktige medarbeidere engasjement som sammen med kontorets øvrige kunnskapsrike medarbeidere skal bidra til at vi lykkes med vårt oppdrag,0,,
6476461,2013-09-10,Akademiske yrker,Engasjementene har en varighet til,0,,
6476461,2013-09-10,Akademiske yrker,Planlegge og gjennomføre bedriftskontakt i Drammen,1,,
6476461,2013-09-10,Akademiske yrker,og formidlingsbistand til lokalt arbeidsliv,1,,
6476461,2013-09-10,Akademiske yrker,Bidra til opprettelse av arbeidstrenings,1,,
6476461,2013-09-10,Akademiske yrker,og praksisplasser i private og offentlige virksomheter,0,,
6476461,2013-09-10,Akademiske yrker,Planlegge og gjennomføre Jobbmessa i Drammen,1,,
6476461,2013-09-10,Akademiske yrker,Koordinere og utvikle markedsarbeidet i NAV Drammen,1,,
6476461,2013-09-10,Akademiske yrker,Relevant utdanning tilsvarende bachelorgrad fra høyskole og eller universitet,3,,
6476461,2013-09-10,Akademiske yrker,Relevant erfaring kan kompensere for manglende utdanning,3,,
6476461,2013-09-10,Akademiske yrker,Erfaring fra rekrutterings,3,,
6476461,2013-09-10,Akademiske yrker,og eller salgsarbeid,1,,
6476461,2013-09-10,Akademiske yrker,Evne til å etablere og utvikle kunderelasjoner,2,,
6476461,2013-09-10,Akademiske yrker,Gode kommunikasjonsevner og gode sosiale ferdigheter,2,,
6476461,2013-09-10,Akademiske yrker,Entrepenørånd og selgeregenskaper,2,,
6476461,2013-09-10,Akademiske yrker,Initiativrik og selvgående,2,,
6476461,2013-09-10,Akademiske yrker,Utadvendt blid hyggelig og serviceorientert,2,,
6476461,2013-09-10,Akademiske yrker,Sterkt ønske om å lykkes,0,,
6476461,2013-09-10,Akademiske yrker,Analytisk positiv og løsningsorientert,2,,
6476461,2013-09-10,Akademiske yrker,Pågangsmot og entusiasme,2,,
6476461,2013-09-10,Akademiske yrker,Vi kan tilby,0,,
6476461,2013-09-10,Akademiske yrker,Spennende og meningsfylte arbeidsoppgaver,0,,
6476461,2013-09-10,Akademiske yrker,Et aktivt og engasjert arbeidsmiljø,0,,
6476461,2013-09-10,Akademiske yrker,Mulighet til å påvirke videre utvikling av NAV Drammen og partnerskapet på jakt etter gode løsninger for brukerne,0,,
6476461,2013-09-10,Akademiske yrker,Kommunal tilsetting med lønn kr,0,,
6476461,2013-09-10,Akademiske yrker,etter kvalifikasjoner,0,,
6476461,2013-09-10,Akademiske yrker,God pensjonsordning gjennom KLP fra lønnen trekkes,0,,
6476461,2013-09-10,Akademiske yrker,NAV er opptatt av mangfold og vi oppfordrer alle kvalifiserte kandidater til å søke jobb hos oss uansett alder kjønn funksjonshemming nasjonal eller etnisk bakgrunn,0,,
