Stilling id;Registrert dato;Yrke grovgruppe;Stillingsbeskrivelse vasket
463906;2002-08-01;Butikk- og salgsarbeid;Ekstrahjelp søkes ved behov. Må være fylt 18 år.
430910;2002-05-13;Kontorarbeid;"For kunde som driver innen tannhelse og importerer og selger produkter til tannleger søker vi en sekretær/assistent. Arbeidsoppgaver: Hente matriell ute hos tannlegene, vurdere og videresende matriell, representere på messer, generelle kontoroppgaver. Kvalifikasjoner: Gjerne bakgrunn fra tannhelse, erfaring fra kundeservice. Personlige egenskaper: Utadvendt, ikke redd for å ta kontakt med folk, systematisk, rolig, men effektiv. Ring oss i dag, ikke vent på at søknadsfristen går ut!!
"
440539;2002-06-04;Helse, pleie og omsorg;"Medisinsk avd. Seksjon for hjerneslag, SA9, 14 senger.
Seksjonen er en spesialenhet for diagnostikk, akuttbehandling og tidligrehabilitering av pasienter med hjerneslag. I tillegg har enheten utstrakt forsknings- og utviklingsarbeid.
Sykepleier, (Nr. 281/02) 1/1 st. fast.
Sykepleier - natt, (Nr. 282/02) 1/2 st. fast.
Sykepleiertjenesten ved Medisinsk avd. har introduksjonsprogram for nytilsatte, store faglige utfordringer og et godt miljø. Det legges vekt på faglig engasjement og evne til samarbeid.
De som tilsettes må beherske norsk for skriftlig og muntlig kommunikasjon.
Send søknad merket med søknadsnr., vedlagt kopier av attester, vitnemål og autorisasjon.
Nr. må benyttes ved henvendelse. Søkes det flere stillinger må det sendes separat søknad med vedlegg for hvert søknadsnr.
Interne søkere må også sende attestkopier. Vennligst oppgi minst 2 referansepersoner.
Tiltredelse senest 3 måneder etter tilskriving hvis annet ikke er anført.
Opplysninger om helse og tuberkulinforhold av ny dato kreves fremlagt før tiltredelse."
416874;2002-04-15;Helse, pleie og omsorg;"Stillingen er ved Avdeling 3A. Avdelingen har 30 beboere og ønsker en person som trives med å jobbe med eldre i et miljø sammensatt av flere yrkesgrupper og kulturer. 
Send søknad.
"
498638;2002-10-15;Kontorarbeid;"Vi søker utadvendt og kundeorientert resepsjonist.
Arbeidsoppgaver:
Kundebehandling og medlemshåndtering. Økonomi/kassahåndtering. Bestilling/supplering av varer. Vedlikeholdsrutiner og generelt forefallende resepsjonsarbeidet.
Kvalifikasjoner:
Fordel med erfaring fra servicebransjen.
Utdanning: Fullført videregående skole.
Egenskaper:
Strukturert og selvgående. Effektiv og utadvendt.
Vi tilbyr:
Et positivt og ungdommelig arbeidsmiljø i en bedrift i stadig utvikling.
Send skriftlig søknad med CV og attester snarest."
476526;2002-08-28;Akademiske yrker;"Førstekonsulent til personalseksjonen administrasjonsavdelingen.
Arbeidsinnhold:
Utredningsoppgaver/prosjektdeltakelse innenfor personalområdet. Rekruttering og tilsetting. Personaladministrasjon/saksbehandling.
Kvalifikasjonskrav:
Juridisk embetseksamen med hovedvekt på arbeidsrett. Erfaring innen personalområdet er ønskelig. Stor grad av selvstendighet. Personlige egenskaper som initiativ og kreativitet, samarbeidsevne, humor, samt god skriftlig og muntlig fremstillingsevne vil bli vektlagt. Søkere med høyere relevant utdanning og god erfaring innen personalområdet kan også være aktuelle.
Lønnsplassering:
Førstekonsulent (kode 1067) ltr. 35-54 (kr. 268 000-368 800), avhengig av kvalifikasjoner.
Generelt:
Kontorets organisasjon er under stadig utvikling og stillingsinnehaver må derfor påregne endringer både i ansvarsområder og arbeidsoppgaver. Tilsettingen skjer for øvrig på de vilkår som følger av lover, instrukser og reglement som til enhver tid gjelder for stillingen. For adgang til å inneha bistillinger/bierverv eller næringsinteresser gjelder spesielle bestemmelser. Stillingen har prøvetid. Den statlige arbeidsstyrken skal i størst mulig grad gjenspeile mangfoldet i befolkningen. Det er derfor et personalpolitisk mål å oppnå en balansert alders- og kjønnssammensetning og rekruttere personer med innvandrerbakgrunn. Personer med innvandrerbakgrunn oppfordres derfor til å søke stillingen. 
Send søknad med CV, kopier av vitnemål og attester."
385719;2002-02-18;Ledere;"Avdeling for økonomi og innkjøpstjenester.
Avdelingen består av 3 seksjoner; regnskap, innkjøp og økonomisk rådgivning. Det er til sammen 45 ansatte.
Arbeidsoppgaver: 
Avdelingsleder for Avdeling for økonomi og innkjøpstjenester. Økonomisjefen vil få det overordnede ansvaret for innkjøp, økonomistyring, likviditet og regnskap. Spesielle utfordringer vil være: Videreutvikling av sykehusets økonomiske styringssystemer. Etablere avtaler med sykehusets avdelinger for de tjenester som avdelingen skal utføre. Kommunisere økonomiske styringsprinsipper overfor sykehusets øvrige ledelse. Bidra til større forretningsmessig og økonomisk forståelse i alle ledd av organisasjonen. Stillingen rapporterer til Direktør for Intern service. Vi tilbyr en utfordrende og interessant stilling i en bransje i endring.
Kvalifikasjonskrav: 
Evne til å kommunisere og samarbeide med andre fagområder. Resultater å vise til fra tilsvarende stilling. Praksis fra komplekse organisasjoner. Høyere økonomisk utdanning.
Nærmere opplysninger ved , tlf.  eller mobil , e-mail:  , tlf. , e-mail:  eller Direktør for , tlf. , e-mail:  
 
Lovfestet pensjonsordning. Vi kan være behjelpelig med bolig og barnehageplass. (Oppgi i søknaden hvis ønskelig) 
Prøvetid: Normalt 6 mnd.
Send søknad. Søknadspapirer vil ikke bli returnert."
500146;2002-10-17;Reiseliv og transport;"Vår nåværende sjef for bookingavdelingen, i vårt forretningsområdet Hurtigruten, har etter mange år i vårt selskap sagt opp sin stilling. I den forbindelse søker vi ny bookingsjef som vil jobbe ssammen med 20 motiverte medarbeidere i et spennende  og utviklende arbeidsmiljø. Stillingen vil inngå som en sentral ressurs i selskapets salgsavdeling.
Hovedoppgavene vil  omfatte: administativt ansvar for bookingavdelingen. Ansvar for strategiske og operasjonelle mål blir nådd. Forstå initiere og iverksette tiltak for optimal utnyttelse av avdelingens medarbeidere og teknisk utstyr.  Sammen med """" og ""Gruppekoordinator"" legge grunnlag for en best mulig disponering av  kapasitet ombord i skipene. Vidreutvikle en  høy  og effektiv  servicegrad mot kundene. Delta i aktivt arbeid etter behov i avdelingen.
Vi ønsker en utadvent og kontaktskapende person med initiativ og mot til å ha meninger. Du må ha evne til målrettet samarbeid med forskjellige typer mennesker, og kunne skape forståelse og entusiasme hos dine medarbeidere for de arbeidsoppgavene som avdelingen skal utføre. Du må kunne vise til erfaring og gode resultater fra tilsvarende arbeidsoppgaver. En relevant utdanningsbakgrunn med gode språkkunnskaper er en selvfølge.
For rette person kan vi tilby konkurranswedyktige vilkår og utfordrende jobb med utviklingsmuligheter.
Skriftlig søknad sendes."
488675;2002-09-20;Serviceyrker og annet arbeid;"Bygge- og eiendomsseksjonen har ledig stilling som vaktmester, med for tiden tjenestested Gåsbakken skole og barnehage.
Vi ønsker en person med gode håndverksmessige kvalifikasjoner og allsidig praksis/innsikt i vedlikehold av bygg og uteområder.
Stillingen kan kombineres med badevakt-stillingen.
Tilsettings- og arbeidsforhold i h.h. til gjeldende lover, reglement og avtaler. 
Send søknad med skjema over utdanning og praksis (CV), samt kopier av vitnemål og attester."
381569;2002-02-11;Meglere og konsulenter;"Vår nåværende lagersjef skal gå av med pensjon og vi søker en dyktig etterfølger som kan overta ansvaret.
Vi kan tilby en variert og spennende stilling som innebærer totalansvar for lageret med en lagermedarbeider.
Vi har moderne IT-verktøy og bruker  økonomisystem. 
Stillingen er operativ og man får ansvaret for å effektivisere lagerdriften, innkjøp av varer, varemottak, pakking og utsendelse av varer.
Vi søker en voksen person med god erfaring fra tilsvarende arbeid som forstår hvordan man skal drive effektivt med minst mulig bruk av ressurser. 
Du må ha god ordenssans, godt humør, gode engelskkunnskaper, være serviceminded og tåle stress.
Vi tilbyr en spennende og utfordrende jobb i godt miljøj og gode forsikringsordninger.
Send skriftlig søknad med CV til vår postadresse eller via mail."
