Stilling id;Registrert dato;Yrke grovgruppe;Setning;Kategori
463906;2002-08-01;Butikk- og salgsarbeid;Ekstrahjelp søkes ved behov ;
463906;2002-08-01;Butikk- og salgsarbeid;Må være fylt år ;
430910;2002-05-13;Kontorarbeid;For kunde som driver innen tannhelse og importerer og selger produkter til tannleger søker vi en sekretær assistent ;
430910;2002-05-13;Kontorarbeid;Arbeidsoppgaver Hente matriell ute hos tannlegene vurdere og videresende matriell representere på messer generelle kontoroppgaver ;
430910;2002-05-13;Kontorarbeid;Kvalifikasjoner Gjerne bakgrunn fra tannhelse erfaring fra kundeservice ;
430910;2002-05-13;Kontorarbeid;Personlige egenskaper Utadvendt ikke redd for å ta kontakt med folk systematisk rolig men effektiv ;
430910;2002-05-13;Kontorarbeid;Ring oss i dag ikke vent på at søknadsfristen går ut ;
440539;2002-06-04;Helse, pleie og omsorg;Seksjon for hjerneslag SA senger ;
440539;2002-06-04;Helse, pleie og omsorg;Seksjonen er en spesialenhet for diagnostikk akuttbehandling og tidligrehabilitering av pasienter med hjerneslag ;
440539;2002-06-04;Helse, pleie og omsorg;I tillegg har enheten utstrakt forsknings og utviklingsarbeid ;
440539;2002-06-04;Helse, pleie og omsorg;Sykepleier natt Nr ;
440539;2002-06-04;Helse, pleie og omsorg;Sykepleiertjenesten ved Medisinsk avd ;
440539;2002-06-04;Helse, pleie og omsorg;har introduksjonsprogram for nytilsatte store faglige utfordringer og et godt miljø ;
440539;2002-06-04;Helse, pleie og omsorg;Det legges vekt på faglig engasjement og evne til samarbeid ;
440539;2002-06-04;Helse, pleie og omsorg;De som tilsettes må beherske norsk for skriftlig og muntlig kommunikasjon ;
440539;2002-06-04;Helse, pleie og omsorg;Send søknad merket med søknadsnr vedlagt kopier av attester vitnemål og autorisasjon ;
440539;2002-06-04;Helse, pleie og omsorg;må benyttes ved henvendelse ;
440539;2002-06-04;Helse, pleie og omsorg;Søkes det flere stillinger må det sendes separat søknad med vedlegg for hvert søknadsnr ;
440539;2002-06-04;Helse, pleie og omsorg;Interne søkere må også sende attestkopier ;
440539;2002-06-04;Helse, pleie og omsorg;Vennligst oppgi minst referansepersoner ;
440539;2002-06-04;Helse, pleie og omsorg;Tiltredelse senest måneder etter tilskriving hvis annet ikke er anført ;
440539;2002-06-04;Helse, pleie og omsorg;Opplysninger om helse og tuberkulinforhold av ny dato kreves fremlagt før tiltredelse ;
416874;2002-04-15;Helse, pleie og omsorg;Stillingen er ved Avdeling A ;
416874;2002-04-15;Helse, pleie og omsorg;Avdelingen har beboere og ønsker en person som trives med å jobbe med eldre i et miljø sammensatt av flere yrkesgrupper og kulturer ;
498638;2002-10-15;Kontorarbeid;Vi søker utadvendt og kundeorientert resepsjonist ;
498638;2002-10-15;Kontorarbeid;Arbeidsoppgaver Kundebehandling og medlemshåndtering ;
498638;2002-10-15;Kontorarbeid;Bestilling supplering av varer ;
498638;2002-10-15;Kontorarbeid;Vedlikeholdsrutiner og generelt forefallende resepsjonsarbeidet ;
498638;2002-10-15;Kontorarbeid;Kvalifikasjoner Fordel med erfaring fra servicebransjen ;
498638;2002-10-15;Kontorarbeid;Utdanning Fullført videregående skole ;
498638;2002-10-15;Kontorarbeid;Egenskaper Strukturert og selvgående ;
498638;2002-10-15;Kontorarbeid;Effektiv og utadvendt ;
